
******************************************************************************

       Photoionization cross-sections for 

>> Verner high energy tail included for gnd level
>> Opacity project data smoothed by phot_smooth.f
>>   Smoothed with a gausian of width 3000 km/sec

          Types of cross sections included:
         -----------------------------------

          20 - Opacity Project: smoothed [number of data pairs]         
          21 - Opacity Project: scaled, smoothed [number of data pairs] 

******************************************************************************

24-May-1996                             !Date
138                                     !Number of energy levels
1                                       !Number of photoionization routes
2.0                                     !Screened nuclear charge
3s2Se/3s_2Se                            !Final state in ion
0.0                                     !Excitation energy of final state
2.0                                     !Statistical weight of ion
3000.0                                  !Sigma used for Gaussian smoothing (km/s)
Megabarns                               !Cross-section unit
False                                   !Split J levels
17446                                   !Total number of data pairs

3s21Se                                  !Configuration name
20                                      !Type of cross-section
150                                     !Number of cross-section points
1.0000D+00 1.093D-02
1.0050D+00 1.201D-02
1.0100D+00 1.541D-02
1.0406D+00 8.589D-02
1.0616D+00 1.365D-01
1.1102D+00 2.643D-01
1.1326D+00 3.907D-01
1.1382D+00 4.175D-01
1.1439D+00 4.141D-01
1.1496D+00 3.676D-01
1.1553D+00 2.931D-01
1.1611D+00 2.213D-01
1.1669D+00 1.770D-01
1.1727D+00 1.685D-01
1.2023D+00 2.844D-01
1.2143D+00 3.300D-01
1.2204D+00 3.291D-01
1.2326D+00 2.780D-01
1.2387D+00 2.575D-01
1.2449D+00 2.584D-01
1.2574D+00 2.916D-01
1.2637D+00 3.005D-01
1.2699D+00 2.999D-01
1.2763D+00 2.972D-01
1.2827D+00 2.974D-01
1.2891D+00 2.999D-01
1.3020D+00 3.043D-01
1.3215D+00 3.077D-01
1.3348D+00 3.109D-01
1.3481D+00 3.162D-01
1.3890D+00 3.297D-01
1.4240D+00 3.412D-01
1.4383D+00 3.450D-01
1.4454D+00 3.451D-01
1.4527D+00 3.432D-01
1.4672D+00 3.348D-01
1.4745D+00 3.310D-01
1.4819D+00 3.292D-01
1.4893D+00 3.302D-01
1.5042D+00 3.373D-01
1.5117D+00 3.399D-01
1.5192D+00 3.388D-01
1.5344D+00 3.273D-01
1.5421D+00 3.217D-01
1.5498D+00 3.192D-01
1.5575D+00 3.192D-01
1.5731D+00 3.220D-01
1.5889D+00 3.241D-01
1.5968D+00 3.258D-01
1.6128D+00 3.332D-01
1.6208D+00 3.374D-01
1.6289D+00 3.393D-01
1.6370D+00 3.373D-01
1.6534D+00 3.256D-01
1.6617D+00 3.219D-01
1.6700D+00 3.215D-01
1.6867D+00 3.269D-01
1.6951D+00 3.293D-01
1.7036D+00 3.304D-01
1.7120D+00 3.300D-01
1.7206D+00 3.291D-01
1.7292D+00 3.287D-01
1.7378D+00 3.292D-01
1.7552D+00 3.315D-01
1.7640D+00 3.323D-01
1.7728D+00 3.326D-01
1.7905D+00 3.320D-01
1.7994D+00 3.318D-01
1.8084D+00 3.318D-01
1.8174D+00 3.320D-01
1.8265D+00 3.321D-01
1.8356D+00 3.321D-01
1.8448D+00 3.319D-01
1.8633D+00 3.312D-01
1.9008D+00 3.276D-01
1.9102D+00 3.268D-01
1.9198D+00 3.264D-01
1.9293D+00 3.264D-01
1.9390D+00 3.266D-01
1.9486D+00 3.267D-01
1.9681D+00 3.262D-01
1.9780D+00 3.261D-01
1.9878D+00 3.260D-01
1.9978D+00 3.260D-01
2.0077D+00 3.256D-01
2.0278D+00 3.242D-01
2.0584D+00 3.206D-01
2.0998D+00 3.163D-01
2.1851D+00 3.113D-01
2.2739D+00 3.064D-01
2.2852D+00 3.057D-01
2.2966D+00 3.051D-01
2.3081D+00 3.045D-01
2.3196D+00 3.039D-01
2.3311D+00 3.032D-01
2.3663D+00 3.013D-01
2.4139D+00 2.987D-01
2.5244D+00 2.919D-01
2.6270D+00 2.817D-01
2.6402D+00 2.804D-01
2.7474D+00 2.693D-01
2.7749D+00 2.664D-01
2.7887D+00 2.650D-01
2.8166D+00 2.621D-01
2.8307D+00 2.607D-01
2.9458D+00 2.505D-01
2.9604D+00 2.500D-01
2.9752D+00 2.497D-01
3.0050D+00 2.494D-01
3.0807D+00 2.490D-01
3.1584D+00 2.486D-01
3.1741D+00 2.484D-01
3.6489D+00 2.050D-01
4.5201D+00 1.583D-01
4.6571D+00 1.528D-01
4.7508D+00 1.484D-01
4.8464D+00 1.402D-01
4.9438D+00 1.335D-01
6.1546D+00 9.722D-02
7.6619D+00 6.962D-02
9.5383D+00 4.903D-02
1.1874D+01 3.401D-02
1.4782D+01 2.324D-02
1.8403D+01 1.566D-02
2.2909D+01 1.041D-02
2.8520D+01 6.824D-03
3.5505D+01 4.412D-03
4.4200D+01 2.813D-03
5.5025D+01 1.769D-03
6.8500D+01 1.097D-03
8.5276D+01 6.712D-04
1.0616D+02 4.048D-04
1.3216D+02 2.408D-04
1.6453D+02 1.413D-04
2.0482D+02 8.174D-05
2.5498D+02 4.667D-05
3.1743D+02 2.630D-05
3.9516D+02 1.463D-05
4.9194D+02 8.040D-06
6.1242D+02 4.365D-06
7.6240D+02 2.343D-06
9.4912D+02 1.244D-06
1.1816D+03 6.535D-07
1.4709D+03 3.400D-07
1.8312D+03 1.752D-07
2.2796D+03 8.954D-08
2.8379D+03 4.538D-08
3.5329D+03 2.283D-08
4.3982D+03 1.140D-08
5.2353D+03 6.537D-09

3s3p3Po                                 !Configuration name
20                                      !Type of cross-section
218                                     !Number of cross-section points
1.0000D+00 6.456D-01
1.0151D+00 5.700D-01
1.0303D+00 5.036D-01
1.0355D+00 5.031D-01
1.0406D+00 5.360D-01
1.0510D+00 6.974D-01
1.0563D+00 7.712D-01
1.0616D+00 7.897D-01
1.0669D+00 7.503D-01
1.0722D+00 6.772D-01
1.0829D+00 5.587D-01
1.0883D+00 5.292D-01
1.0992D+00 4.943D-01
1.1047D+00 4.777D-01
1.1496D+00 3.736D-01
1.2023D+00 3.107D-01
1.2083D+00 3.140D-01
1.2143D+00 3.307D-01
1.2265D+00 4.230D-01
1.2326D+00 4.739D-01
1.2387D+00 4.951D-01
1.2449D+00 4.709D-01
1.2574D+00 3.593D-01
1.2637D+00 3.154D-01
1.2699D+00 2.901D-01
1.2763D+00 2.775D-01
1.2827D+00 2.730D-01
1.2891D+00 2.750D-01
1.2955D+00 2.879D-01
1.3085D+00 3.521D-01
1.3150D+00 3.845D-01
1.3215D+00 3.915D-01
1.3282D+00 3.700D-01
1.3348D+00 3.346D-01
1.3414D+00 3.084D-01
1.3481D+00 3.056D-01
1.3616D+00 3.371D-01
1.3684D+00 3.453D-01
1.3752D+00 3.448D-01
1.3821D+00 3.440D-01
1.3890D+00 3.460D-01
1.3960D+00 3.477D-01
1.4029D+00 3.465D-01
1.4099D+00 3.440D-01
1.4169D+00 3.438D-01
1.4240D+00 3.481D-01
1.4383D+00 3.707D-01
1.4454D+00 3.827D-01
1.4527D+00 3.888D-01
1.4599D+00 3.841D-01
1.4745D+00 3.521D-01
1.4819D+00 3.379D-01
1.4893D+00 3.309D-01
1.4967D+00 3.303D-01
1.5192D+00 3.404D-01
1.5889D+00 3.633D-01
1.6208D+00 3.725D-01
1.6452D+00 3.795D-01
1.6951D+00 3.950D-01
1.7036D+00 3.976D-01
1.7120D+00 3.987D-01
1.7206D+00 3.979D-01
1.7292D+00 3.963D-01
1.7378D+00 3.959D-01
1.7465D+00 3.986D-01
1.7552D+00 4.032D-01
1.7640D+00 4.066D-01
1.7728D+00 4.059D-01
1.7905D+00 3.929D-01
1.7994D+00 3.880D-01
1.8084D+00 3.871D-01
1.8174D+00 3.885D-01
1.8265D+00 3.897D-01
1.8356D+00 3.900D-01
1.8448D+00 3.905D-01
1.8540D+00 3.926D-01
1.8726D+00 4.000D-01
1.8819D+00 4.028D-01
1.8913D+00 4.041D-01
1.9008D+00 4.044D-01
1.9102D+00 4.041D-01
1.9198D+00 4.038D-01
1.9293D+00 4.043D-01
1.9390D+00 4.057D-01
1.9584D+00 4.105D-01
1.9681D+00 4.124D-01
1.9780D+00 4.133D-01
1.9878D+00 4.129D-01
2.0077D+00 4.095D-01
2.0178D+00 4.076D-01
2.0278D+00 4.066D-01
2.0380D+00 4.064D-01
2.0481D+00 4.071D-01
2.0686D+00 4.102D-01
2.0790D+00 4.113D-01
2.0893D+00 4.115D-01
2.0998D+00 4.110D-01
2.1102D+00 4.107D-01
2.1208D+00 4.109D-01
2.1313D+00 4.112D-01
2.1420D+00 4.112D-01
2.1634D+00 4.103D-01
2.1851D+00 4.094D-01
2.1960D+00 4.094D-01
