
******************************************************************************

       Photoionization cross-sections for 

>> Verner high energy tail included for gnd level
>> Opacity project data smoothed by phot_smooth.f
>>   Smoothed with a gausian of width 3000 km/sec

          Types of cross sections included:
         -----------------------------------

          20 - Opacity Project: smoothed [number of data pairs]         
           2 - Hydrogenic: Split l (z states, n > 11)
           3 - Hydrogenic: Pure n level (all l, n >= 13)

 [Reference] Mg\,{\sc iv} photoioinization cross-sections are from the opacity project
 [Reference] \citep{Sea87_op}, and were retrieved from Topbase \citep{Topbase93}.

******************************************************************************

24-May-1996                             !Date
57                                      !Number of energy levels
1                                       !Number of photoionization routes
3.0                                     !Screened nuclear charge
2s2_2p6_1Se / 2s22p61Se                 !Final state in ion
0.0                                     !Excitation energy of final state
1.0                                     !Statistical weight of ion
3000.0                                  !Sigma used for Gaussian smoothing (km/s)
Megabarns                               !Cross-section unit
False                                   !Split J levels
3944                                    !Total number of data pairs

3s2Se                                   !Configuration name
20                                      !Type of cross-section
64                                      !Number of cross-section points
1.0000D+00 3.054D-01
1.2387D+00 2.748D-01
1.2449D+00 2.739D-01
1.2574D+00 2.721D-01
1.2827D+00 2.686D-01
1.3020D+00 2.659D-01
1.3282D+00 2.622D-01
1.3481D+00 2.594D-01
1.4599D+00 2.440D-01
1.4745D+00 2.420D-01
1.5042D+00 2.380D-01
1.5117D+00 2.370D-01
1.5968D+00 2.260D-01
1.6048D+00 2.250D-01
1.7292D+00 2.096D-01
1.7465D+00 2.076D-01
1.9390D+00 1.860D-01
1.9486D+00 1.850D-01
1.9584D+00 1.839D-01
1.9878D+00 1.808D-01
1.9978D+00 1.798D-01
2.1742D+00 1.550D-01
2.1851D+00 1.532D-01
2.1960D+00 1.513D-01
2.2069D+00 1.494D-01
2.2179D+00 1.475D-01
2.3311D+00 1.307D-01
2.8591D+00 9.734D-02
3.5065D+00 7.157D-02
4.3005D+00 5.205D-02
5.2743D+00 3.754D-02
6.4688D+00 2.689D-02
7.9335D+00 1.916D-02
9.7301D+00 1.359D-02
1.1933D+01 9.609D-03
1.4636D+01 6.774D-03
1.7950D+01 4.765D-03
2.2015D+01 3.345D-03
2.7000D+01 2.344D-03
3.3114D+01 1.641D-03
4.0612D+01 1.147D-03
4.9810D+01 8.009D-04
6.1088D+01 5.588D-04
7.4922D+01 3.896D-04
9.1887D+01 2.714D-04
1.1270D+02 1.889D-04
1.3821D+02 1.314D-04
1.6951D+02 9.133D-05
2.0790D+02 6.344D-05
2.5498D+02 4.403D-05
3.1272D+02 3.054D-05
3.8353D+02 2.116D-05
4.7038D+02 1.465D-05
5.7690D+02 1.013D-05
7.0753D+02 7.004D-06
8.6776D+02 4.834D-06
1.0643D+03 3.333D-06
1.3053D+03 2.294D-06
1.6008D+03 1.577D-06
1.9634D+03 1.083D-06
2.4079D+03 7.419D-07
2.9532D+03 5.074D-07
3.4290D+03 3.837D-07
3.4805D+03 3.718D-07

3p2Po                                   !Configuration name
20                                      !Type of cross-section
50                                      !Number of cross-section points
1.0000D+00 4.285D-01
1.0050D+00 4.285D-01
1.0355D+00 4.292D-01
1.0669D+00 4.299D-01
1.0992D+00 4.304D-01
1.1102D+00 4.305D-01
1.1158D+00 4.305D-01
1.1213D+00 4.305D-01
1.1269D+00 4.305D-01
1.1553D+00 4.304D-01
1.1669D+00 4.303D-01
1.2023D+00 4.295D-01
1.2387D+00 4.284D-01
1.2763D+00 4.268D-01
1.3150D+00 4.246D-01
1.3549D+00 4.219D-01
1.3960D+00 4.186D-01
1.4383D+00 4.148D-01
1.4819D+00 4.103D-01
1.5268D+00 4.054D-01
1.5731D+00 3.998D-01
1.6208D+00 3.937D-01
1.6700D+00 3.871D-01
1.7206D+00 3.798D-01
