
******************************************************************************

       Photoionization cross-sections for C II

>> Data is from the Opacity project
>>   Verner high energy tail included for gnd level
     Data not smoothed

          Types of cross sections included:
         -----------------------------------

           1 - Seaton formula fit [sigma_o,alpha,beta]                  

          20 - Opacity Project: smoothed [number of data pairs]         

******************************************************************************

19-Jul-2001                             !Date
219                                     !Number of energy levels
2                                       !Number of photoionization routes
2.0                                     !Screened nuclear charge
2s2_1Se/2s2s1Se                         !Final state in ion
0.0                                     !Excitation energy of final state
1.0                                     !Statistical weight of ion
0.0D0                                   !Sigma used for Gaussian smoothing (km/s)
Megabarns                               !Cross-section unit
False                                   !Split J levels
22584                                   !Total number of data pairs

2s2_2p_2Po                              !Configuration name
20                                      !Type of cross-section
577                                     !Number of cross-section points
 9.776D-01 3.416D+00
 9.835D-01 3.821D+00
 9.873D-01 6.246D+00
 9.891D-01 4.866D+00
 1.000D-00 4.566D+00
 1.093D+00 5.183D+00
 1.098D+00 5.980D+00
 1.100D+00 6.820D+00
 1.101D+00 9.014D+00
 1.102D+00 1.216D+01
 1.103D+00 2.349D+01
 1.104D+00 6.410D+01
 1.105D+00 7.476D-01
 1.106D+00 3.695D-01
 1.107D+00 1.079D+00
 1.108D+00 1.976D+00
 1.110D+00 2.420D+00
 1.111D+00 2.563D+00
 1.112D+00 3.067D+00
 1.113D+00 8.106D+00
 1.113D+00 3.754D+00
 1.114D+00 3.463D+00
 1.159D+00 4.331D+00
 1.163D+00 5.411D+00
 1.163D+00 6.674D+00
 1.164D+00 8.256D+00
 1.164D+00 1.277D+01
 1.165D+00 5.284D+01
 1.165D+00 3.809D+00
 1.166D+00 3.128D-01
 1.166D+00 1.033D+00
 1.167D+00 1.563D+00
 1.168D+00 2.355D+00
 1.169D+00 2.788D+00
 1.184D+00 3.220D+00
 1.187D+00 2.574D+00
 1.187D+00 2.331D+00
 1.188D+00 1.944D+00
 1.188D+00 1.258D+00
 1.188D+00 2.798D-01
 1.189D+00 5.147D+01
 1.189D+00 1.012D+01
 1.189D+00 6.852D+00
 1.190D+00 5.277D+00
 1.190D+00 4.790D+00
 1.194D+00 4.576D+00
 1.195D+00 5.084D+00
 1.196D+00 5.846D+00
 1.196D+00 6.697D+00
 1.197D+00 8.429D+00
 1.197D+00 1.163D+01
 1.197D+00 1.122D+01
 1.197D+00 6.905D+00
 1.198D+00 5.178D+00
 1.198D+00 4.519D+00
 1.198D+00 4.626D+00
 1.199D+00 5.759D+00
 1.200D+00 7.821D+00
 1.200D+00 1.088D+01
 1.200D+00 1.917D+01
 1.201D+00 3.934D+00
 1.201D+00 9.763D-02
 1.201D+00 1.316D+00
 1.202D+00 1.718D+00
 1.202D+00 2.221D+00
 1.209D+00 4.554D+00
 1.211D+00 3.510D+00
 1.216D+00 4.146D+00
 1.217D+00 5.326D+00
 1.217D+00 6.703D+00
 1.218D+00 8.303D+00
 1.218D+00 1.223D+01
 1.218D+00 2.875D+01
 1.218D+00 1.308D-01
 1.218D+00 3.313D-01
 1.218D+00 8.651D-01
 1.219D+00 1.273D+00
 1.219D+00 1.798D+00
 1.220D+00 2.539D+00
 1.228D+00 3.680D+00
 1.229D+00 4.247D+00
 1.229D+00 5.183D+00
 1.229D+00 6.540D+00
 1.230D+00 8.136D+00
 1.230D+00 1.213D+01
 1.230D+00 3.056D+01
 1.230D+00 1.331D-01
 1.230D+00 3.203D-01
 1.230D+00 8.326D-01
 1.230D+00 1.510D+00
 1.231D+00 2.130D+00
 1.232D+00 2.828D+00
 1.237D+00 3.631D+00
 1.237D+00 4.883D+00
 1.238D+00 5.912D+00
 1.238D+00 6.994D+00
 1.238D+00 9.277D+00
 1.238D+00 1.646D+01
 1.238D+00 6.057D+01
 1.238D+00 2.273D+00
 1.238D+00 6.943D-02
 1.238D+00 1.007D+00
 1.238D+00 1.582D+00
 1.239D+00 2.196D+00
 1.239D+00 2.813D+00
 1.242D+00 3.437D+00
 1.243D+00 4.213D+00
 1.243D+00 5.355D+00
 1.243D+00 7.331D+00
 1.244D+00 1.024D+01
 1.244D+00 2.136D+01
 1.244D+00 4.775D+01
 1.244D+00 6.598D-01
 1.244D+00 1.760D-01
 1.244D+00 6.826D-01
 1.244D+00 1.092D+00
 1.244D+00 1.614D+00
 1.244D+00 2.487D+00
 1.244D+00 3.108D+00
 1.244D+00 2.828D+00
 1.245D+00 2.825D+00
 1.245D+00 4.266D+00
 1.330D+00 4.467D+00
 1.335D+00 3.889D+00
 1.344D+00 3.775D+00
 1.348D+00 3.154D+00
 1.357D+00 3.572D+00
 1.364D+00 2.794D+00
 1.364D+00 2.281D+00
 1.370D+00 3.182D+00
 1.386D+00 3.440D+00
 1.386D+00 2.947D+00
 1.388D+00 3.327D+00
 1.420D+00 3.688D+00
 1.421D+00 4.009D+00
 1.421D+00 6.187D+00
 1.422D+00 3.543D+00
 1.423D+00 3.336D+00
 1.423D+00 3.736D+00
 1.424D+00 5.104D+00
 1.424D+00 5.035D+00
 1.425D+00 3.988D+00
 1.426D+00 3.627D+00
 1.431D+00 3.379D+00
 1.438D+00 3.597D+00
 1.440D+00 4.194D+00
 1.440D+00 5.475D+00
 1.441D+00 3.315D+00
 1.441D+00 2.916D+00
 1.455D+00 3.849D+00
 1.455D+00 4.206D+00
 1.455D+00 5.519D+00
 1.455D+00 4.156D+00
 1.456D+00 3.255D+00
 1.456D+00 3.204D+00
 1.456D+00 3.805D+00
 1.456D+00 1.106D+01
 1.457D+00 5.486D+00
 1.457D+00 4.244D+00
 1.458D+00 3.442D+00
 1.474D+00 3.449D+00
 1.475D+00 3.995D+00
 1.475D+00 5.613D+00
 1.475D+00 3.238D+00
 1.475D+00 2.998D+00
 1.475D+00 5.037D+00
 1.476D+00 7.615D+00
 1.476D+00 4.422D+00
 1.476D+00 3.784D+00
 1.477D+00 3.104D+00
 1.487D+00 3.563D+00
 1.487D+00 4.160D+00
 1.487D+00 4.749D+00
 1.487D+00 6.453D+00
 1.487D+00 6.223D+00
 1.488D+00 3.128D+00
 1.488D+00 2.821D+00
 1.488D+00 2.909D+00
 1.488D+00 1.016D+01
 1.488D+00 4.231D+00
 1.488D+00 3.749D+00
 1.488D+00 3.084D+00
 1.489D+00 3.003D+00
 1.491D+00 3.487D+00
 1.491D+00 4.924D+00
 1.491D+00 2.544D+00
 1.491D+00 2.888D+00
 1.493D+00 3.602D+00
 1.493D+00 4.336D+00
 1.493D+00 4.904D+00
 1.493D+00 6.270D+00
 1.493D+00 1.225D+01
 1.493D+00 4.229D+00
 1.493D+00 1.198D+00
 1.494D+00 2.006D+00
 1.494D+00 2.539D+00
 1.496D+00 3.025D+00
 1.496D+00 2.879D+00
 1.496D+00 4.527D+00
 1.496D+00 3.709D+00
 1.496D+00 3.431D+00
 1.497D+00 2.885D+00
 1.499D+00 3.103D+00
 1.499D+00 1.917D+00
 1.499D+00 2.835D+00
 1.501D+00 2.863D+00
 1.501D+00 3.601D+00
 1.501D+00 3.691D+00
 1.501D+00 3.371D+00
 1.502D+00 3.625D+00
 1.502D+00 4.028D+00
 1.502D+00 5.214D+00
 1.502D+00 3.900D+00
 1.502D+00 3.100D+00
 1.503D+00 2.836D+00
 1.503D+00 2.872D+00
 1.504D+00 2.693D+00
 1.504D+00 4.355D+00
 1.504D+00 3.495D+00
 1.504D+00 3.352D+00
 1.504D+00 5.806D+00
 1.504D+00 3.392D+00
 1.519D+00 2.826D+00
 1.551D+00 2.947D+00
 1.555D+00 2.620D+00
 1.558D+00 3.047D+00
 1.558D+00 3.697D+00
 1.559D+00 2.682D+00
 1.568D+00 3.253D+00
 1.570D+00 2.877D+00
 1.590D+00 2.933D+00
 1.593D+00 2.544D+00
 1.603D+00 3.217D+00
 1.604D+00 2.862D+00
 1.612D+00 3.124D+00
 1.613D+00 3.354D+00
 1.613D+00 4.063D+00
 1.613D+00 2.889D+00
 1.614D+00 2.607D+00
 1.617D+00 3.115D+00
 1.619D+00 2.693D+00
 1.628D+00 2.853D+00
 1.632D+00 1.949D+00
 1.633D+00 2.415D+00
 1.640D+00 2.904D+00
 1.640D+00 3.271D+00
 1.641D+00 2.749D+00
 1.643D+00 3.211D+00
 1.644D+00 2.900D+00
 1.650D+00 2.844D+00
 1.652D+00 2.370D+00
 1.655D+00 3.020D+00
 1.655D+00 2.769D+00
 1.657D+00 2.936D+00
 1.657D+00 3.291D+00
 1.657D+00 2.898D+00
 1.658D+00 3.470D+00
 1.659D+00 4.196D+00
 1.659D+00 2.866D+00
 1.660D+00 3.084D+00
 1.660D+00 2.505D+00
 1.664D+00 2.684D+00
 1.665D+00 2.315D+00
 1.669D+00 3.059D+00
 1.669D+00 3.425D+00
 1.669D+00 2.700D+00
 1.669D+00 2.589D+00
 1.670D+00 3.087D+00
 1.671D+00 2.348D+00
 1.673D+00 2.683D+00
 1.674D+00 2.332D+00
 1.676D+00 3.024D+00
 1.676D+00 3.374D+00
 1.677D+00 2.877D+00
 1.677D+00 3.115D+00
 1.677D+00 2.853D+00
 1.677D+00 3.176D+00
 1.677D+00 2.652D+00
 1.680D+00 2.740D+00
 1.680D+00 2.411D+00
 1.682D+00 2.944D+00
 1.692D+00 2.570D+00
 1.692D+00 2.334D+00
 1.700D+00 2.780D+00
 1.700D+00 2.985D+00
 1.701D+00 2.734D+00
 1.701D+00 2.877D+00
 1.701D+00 2.549D+00
 1.706D+00 2.418D+00
 1.706D+00 2.216D+00
 1.711D+00 2.755D+00
 1.711D+00 3.069D+00
 1.711D+00 2.771D+00
 1.712D+00 2.818D+00
 1.712D+00 2.541D+00
 1.715D+00 2.515D+00
 1.715D+00 2.195D+00
 1.715D+00 2.107D+00
 1.718D+00 2.804D+00
 1.718D+00 3.058D+00
 1.718D+00 2.732D+00
 1.719D+00 2.824D+00
 1.719D+00 2.492D+00
 1.721D+00 2.545D+00
 1.721D+00 2.045D+00
 1.721D+00 2.319D+00
 1.724D+00 3.051D+00
 1.724D+00 2.729D+00
 1.724D+00 2.696D+00
 1.724D+00 2.514D+00
 2.119D+00 1.802D+00
 2.162D+00 1.697D+00
 2.205D+00 1.598D+00
 2.250D+00 1.779D+00
 3.203D+00 8.316D-01
 4.443D+00 4.408D-01
 5.684D+00 2.675D-01
 6.924D+00 1.765D-01
 8.165D+00 1.235D-01
 9.405D+00 9.016D-02
 1.065D+01 6.808D-02
 1.189D+01 5.280D-02
 1.313D+01 4.185D-02
 1.313D+01 1.058D-01
 1.313D+01 1.058D-01
 1.313D+01 2.977D-01
 1.313D+01 2.977D-01
 1.313D+01 6.176D-01
 1.322D+01 6.075D-01
 1.322D+01 8.008D-01
 1.409D+01 3.399D-02
 1.442D+01 3.208D-02
 1.475D+01 3.027D-02
 1.510D+01 2.856D-02
 1.545D+01 2.694D-02
 1.581D+01 2.540D-02
 1.618D+01 2.395D-02
 1.655D+01 2.258D-02
 1.694D+01 2.128D-02
 1.733D+01 2.005D-02
 1.774D+01 1.889D-02
 1.815D+01 1.779D-02
 1.857D+01 1.676D-02
 1.901D+01 1.578D-02
 1.945D+01 1.485D-02
 1.990D+01 1.398D-02
 2.037D+01 1.315D-02
 2.084D+01 1.238D-02
 2.133D+01 1.164D-02
 2.182D+01 1.095D-02
 2.233D+01 1.029D-02
 2.285D+01 9.678D-03
 2.338D+01 9.097D-03
 2.393D+01 8.549D-03
 2.448D+01 8.033D-03
 2.505D+01 7.546D-03
 2.564D+01 7.088D-03
 2.624D+01 6.656D-03
 2.685D+01 6.250D-03
 2.747D+01 5.867D-03
 2.811D+01 5.507D-03
 2.877D+01 5.168D-03
 2.944D+01 4.849D-03
 3.012D+01 4.549D-03
 3.082D+01 4.267D-03
 3.154D+01 4.002D-03
 3.228D+01 3.752D-03
 3.303D+01 3.518D-03
 3.380D+01 3.297D-03
 3.459D+01 3.090D-03
 3.539D+01 2.896D-03
 3.622D+01 2.713D-03
 3.706D+01 2.542D-03
 3.792D+01 2.381D-03
 3.881D+01 2.229D-03
 3.971D+01 2.087D-03
 4.063D+01 1.954D-03
 4.158D+01 1.829D-03
 4.255D+01 1.712D-03
 4.354D+01 1.602D-03
 4.455D+01 1.499D-03
 4.559D+01 1.402D-03
 4.665D+01 1.312D-03
 4.774D+01 1.227D-03
 4.885D+01 1.147D-03
 4.999D+01 1.073D-03
 5.116D+01 1.003D-03
 5.235D+01 9.373D-04
 5.357D+01 8.760D-04
 5.481D+01 8.186D-04
 5.609D+01 7.648D-04
 5.740D+01 7.145D-04
 5.873D+01 6.674D-04
 6.010D+01 6.234D-04
 6.150D+01 5.821D-04
 6.294D+01 5.436D-04
 6.440D+01 5.075D-04
 6.590D+01 4.737D-04
 6.744D+01 4.422D-04
 6.901D+01 4.127D-04
 7.061D+01 3.851D-04
 7.226D+01 3.593D-04
 7.394D+01 3.352D-04
 7.566D+01 3.127D-04
 7.743D+01 2.917D-04
 7.923D+01 2.720D-04
 8.108D+01 2.537D-04
 8.296D+01 2.365D-04
 8.490D+01 2.205D-04
 8.687D+01 2.056D-04
 8.890D+01 1.916D-04
 9.097D+01 1.786D-04
 9.309D+01 1.664D-04
 9.526D+01 1.551D-04
 9.748D+01 1.445D-04
 9.975D+01 1.346D-04
 1.021D+02 1.254D-04
 1.044D+02 1.168D-04
 1.069D+02 1.087D-04
 1.094D+02 1.013D-04
 1.119D+02 9.429D-05
 1.145D+02 8.779D-05
 1.172D+02 8.172D-05
 1.199D+02 7.607D-05
 1.227D+02 7.081D-05
 1.256D+02 6.590D-05
 1.285D+02 6.132D-05
 1.315D+02 5.706D-05
 1.346D+02 5.309D-05
 1.377D+02 4.939D-05
 1.409D+02 4.595D-05
 1.442D+02 4.274D-05
 1.475D+02 3.975D-05
 1.510D+02 3.697D-05
 1.545D+02 3.438D-05
 1.581D+02 3.197D-05
 1.618D+02 2.972D-05
 1.655D+02 2.763D-05
 1.694D+02 2.569D-05
 1.733D+02 2.388D-05
 1.774D+02 2.219D-05
 1.815D+02 2.062D-05
 1.857D+02 1.917D-05
 1.901D+02 1.781D-05
 1.945D+02 1.655D-05
 1.990D+02 1.537D-05
 2.037D+02 1.428D-05
 2.084D+02 1.327D-05
 2.133D+02 1.232D-05
 2.182D+02 1.145D-05
 2.233D+02 1.063D-05
 2.285D+02 9.873D-06
 2.338D+02 9.168D-06
 2.393D+02 8.513D-06
 2.448D+02 7.904D-06
 2.505D+02 7.338D-06
 2.564D+02 6.813D-06
 2.624D+02 6.324D-06
 2.685D+02 5.870D-06
 2.747D+02 5.448D-06
 2.811D+02 5.057D-06
 2.877D+02 4.693D-06
 2.944D+02 4.355D-06
 3.012D+02 4.041D-06
 3.082D+02 3.749D-06
 3.154D+02 3.479D-06
 3.228D+02 3.227D-06
 3.303D+02 2.994D-06
 3.380D+02 2.777D-06
 3.459D+02 2.576D-06
 3.539D+02 2.389D-06
 3.622D+02 2.216D-06
 3.706D+02 2.055D-06
 3.792D+02 1.906D-06
 3.881D+02 1.767D-06
 3.971D+02 1.639D-06
 4.063D+02 1.520D-06
 4.158D+02 1.409D-06
 4.255D+02 1.306D-06
 4.354D+02 1.211D-06
 4.455D+02 1.122D-06
 4.559D+02 1.040D-06
 4.665D+02 9.644D-07
 4.774D+02 8.938D-07
 4.885D+02 8.284D-07
 4.999D+02 7.677D-07
 5.116D+02 7.115D-07
 5.235D+02 6.593D-07
 5.357D+02 6.109D-07
 5.481D+02 5.661D-07
 5.609D+02 5.245D-07
 5.740D+02 4.859D-07
 5.873D+02 4.502D-07
 6.010D+02 4.171D-07
 6.150D+02 3.863D-07
 6.294D+02 3.579D-07
 6.440D+02 3.315D-07
 6.590D+02 3.070D-07
 6.744D+02 2.844D-07
 6.901D+02 2.634D-07
 7.062D+02 2.439D-07
 7.226D+02 2.259D-07
 7.394D+02 2.092D-07
 7.567D+02 1.937D-07
 7.743D+02 1.794D-07
 7.923D+02 1.661D-07
 8.108D+02 1.538D-07
 8.297D+02 1.424D-07
 8.490D+02 1.318D-07
 8.688D+02 1.220D-07
 8.890D+02 1.130D-07
 9.097D+02 1.046D-07
 9.309D+02 9.679D-08
 9.526D+02 8.959D-08
 9.748D+02 8.293D-08
 9.975D+02 7.675D-08
 1.021D+03 7.104D-08
 1.044D+03 6.574D-08
 1.069D+03 6.084D-08
 1.094D+03 5.631D-08
 1.119D+03 5.211D-08
 1.145D+03 4.822D-08
 1.172D+03 4.462D-08
 1.199D+03 4.129D-08
 1.227D+03 3.820D-08
 1.256D+03 3.535D-08
 1.285D+03 3.270D-08
 1.315D+03 3.026D-08
 1.346D+03 2.799D-08
 1.377D+03 2.590D-08
 1.409D+03 2.396D-08
 1.442D+03 2.216D-08
 1.475D+03 2.050D-08
 1.510D+03 1.896D-08
 1.545D+03 1.754D-08
 1.581D+03 1.622D-08
 1.618D+03 1.501D-08
 1.655D+03 1.388D-08
 1.694D+03 1.284D-08
 1.733D+03 1.187D-08
 1.774D+03 1.098D-08
 1.815D+03 1.015D-08
 1.857D+03 9.390D-09
