
******************************************************************************

       Photoionization cross-sections for C II

>> Data is from the Opacity project
>>   Verner high energy tail included for gnd level
>>   Smoothed with a gausian of width 2999 km/sec

          Types of cross sections included:
         -----------------------------------

           1 - Seaton formula fit [sigma_o,alpha,beta]                  
          20 - Opacity Project: smoothed [number of data pairs]         

******************************************************************************

19-Jul-2001                             !Date
219                                     !Number of energy levels
2                                       !Number of photoionization routes
2.0                                     !Screened nuclear charge
2s2_1Se/2s2s1Se                         !Final state in ion
0.0                                     !Excitation energy of final state
1.0                                     !Statistical weight of ion
3000.0D0                                !Sigma used for Gaussian smoothing (km/s)
Megabarns                               !Cross-section unit
False                                   !Split J levels
9576                                    !Total number of data pairs

2s2_2p_2Po                              !Configuration name
20                                      !Type of cross-section
141                                     !Number of cross-section points
 1.000D+00 4.619D+00
 1.072D+00 5.092D+00
 1.083D+00 5.584D+00
 1.094D+00 6.806D+00
 1.099D+00 7.206D+00
 1.105D+00 7.013D+00
 1.121D+00 4.488D+00
 1.127D+00 4.071D+00
 1.133D+00 3.950D+00
 1.138D+00 4.011D+00
 1.155D+00 4.622D+00
 1.161D+00 4.686D+00
 1.179D+00 4.316D+00
 1.196D+00 4.623D+00
 1.214D+00 4.071D+00
 1.226D+00 3.880D+00
 1.264D+00 4.289D+00
 1.302D+00 4.394D+00
 1.322D+00 4.295D+00
 1.355D+00 3.375D+00
 1.368D+00 3.217D+00
 1.424D+00 3.638D+00
 1.467D+00 3.551D+00
 1.519D+00 2.997D+00
 1.542D+00 2.908D+00
 1.565D+00 2.926D+00
 1.605D+00 2.887D+00
 1.755D+00 2.460D+00
 2.196D+00 1.650D+00
 2.274D+00 1.747D+00
 3.206D+00 8.383D-01
 4.453D+00 4.418D-01
 5.683D+00 2.691D-01
 6.936D+00 1.767D-01
 8.174D+00 1.237D-01
 9.397D+00 9.070D-02
 1.075D+01 6.687D-02
 1.187D+01 5.310D-02
 1.273D+01 4.591D-02
 1.279D+01 4.761D-02
 1.286D+01 5.534D-02
 1.292D+01 7.814D-02
 1.299D+01 1.293D-01
 1.305D+01 2.175D-01
 1.318D+01 4.608D-01
 1.325D+01 5.586D-01
 1.331D+01 6.092D-01
 1.338D+01 6.131D-01
 1.352D+01 5.356D-01
 1.393D+01 1.860D-01
 1.399D+01 1.358D-01
 1.406D+01 9.483D-02
 1.413D+01 6.570D-02
 1.421D+01 4.775D-02
 1.428D+01 3.844D-02
 1.435D+01 3.427D-02
 1.442D+01 3.257D-02
 1.531D+01 2.760D-02
 1.649D+01 2.281D-02
 1.777D+01 1.881D-02
 1.915D+01 1.548D-02
 2.063D+01 1.272D-02
 2.212D+01 1.056D-02
 2.372D+01 8.759D-03
 2.543D+01 7.251D-03
 2.727D+01 5.993D-03
 2.924D+01 4.946D-03
 3.119D+01 4.132D-03
 3.328D+01 3.447D-03
 3.550D+01 2.873D-03
 3.788D+01 2.391D-03
 4.041D+01 1.987D-03
 4.290D+01 1.674D-03
 4.554D+01 1.408D-03
 4.834D+01 1.184D-03
 5.132D+01 9.944D-04
 5.448D+01 8.344D-04
 5.783D+01 6.995D-04
 6.139D+01 5.858D-04
 6.517D+01 4.903D-04
 6.884D+01 4.161D-04
 7.272D+01 3.529D-04
 7.681D+01 2.992D-04
 8.113D+01 2.534D-04
 8.570D+01 2.145D-04
 9.053D+01 1.815D-04
 9.562D+01 1.534D-04
 1.010D+02 1.296D-04
 1.062D+02 1.112D-04
 1.116D+02 9.529D-05
 1.173D+02 8.164D-05
 1.233D+02 6.991D-05
 1.362D+02 5.120D-05
 1.504D+02 3.744D-05
 1.662D+02 2.733D-05
 1.827D+02 2.024D-05
 2.008D+02 1.497D-05
 2.196D+02 1.123D-05
 2.402D+02 8.419D-06
 2.627D+02 6.304D-06
 2.859D+02 4.793D-06
 3.112D+02 3.641D-06
 3.370D+02 2.808D-06
 3.649D+02 2.165D-06
 3.952D+02 1.667D-06
 4.279D+02 1.284D-06
 4.611D+02 1.004D-06
 4.969D+02 7.845D-07
 5.354D+02 6.128D-07
 5.769D+02 4.784D-07
 6.185D+02 3.796D-07
 6.632D+02 3.010D-07
 7.075D+02 2.427D-07
 7.548D+02 1.955D-07
 8.053D+02 1.575D-07
 8.592D+02 1.268D-07
 9.121D+02 1.038D-07
 9.682D+02 8.494D-08
 1.023D+03 7.067D-08
 1.080D+03 5.878D-08
 1.141D+03 4.888D-08
 1.205D+03 4.064D-08
 1.267D+03 3.436D-08
 1.332D+03 2.904D-08
 1.399D+03 2.454D-08
 1.538D+03 1.782D-08
 1.683D+03 1.315D-08
 1.831D+03 9.869D-09
 1.983D+03 7.529D-09
 2.137D+03 5.840D-09
 2.280D+03 4.685D-09
 2.420D+03 3.822D-09
 2.556D+03 3.171D-09
 2.687D+03 2.675D-09
 2.953D+03 1.937D-09
 3.182D+03 1.500D-09
 3.378D+03 1.223D-09
 3.551D+03 1.031D-09
 3.864D+03 7.716D-10
 4.001D+03 6.876D-10
 4.082D+03 6.637D-10
2s_2p2_4Pe                              !Configuration name
20                                      !Type of cross-section
51                                      !Number of cross-section points
 1.000D+00 0.000D+00
 1.245D+00 0.000D+00
 1.251D+00 3.653D-06
 1.257D+00 5.655D-05
 1.264D+00 5.376D-04
 1.270D+00 3.875D-03
 1.276D+00 2.175D-02
 1.283D+00 9.458D-02
 1.289D+00 3.262D-01
 1.295D+00 8.911D-01
 1.302D+00 1.974D+00
 1.308D+00 3.579D+00
 1.315D+00 5.460D+00
 1.322D+00 7.171D+00
 1.328D+00 8.401D+00
 1.335D+00 9.079D+00
 1.348D+00 9.428D+00
 1.460D+00 8.641D+00
 1.475D+00 8.275D+00
 1.504D+00 6.763D+00
 1.527D+00 6.432D+00
 1.653D+00 6.225D+00
 1.695D+00 5.451D+00
 1.712D+00 5.331D+00
 1.746D+00 5.450D+00
 1.782D+00 5.066D+00
 1.808D+00 5.003D+00
 1.929D+00 4.143D+00
 2.378D+00 2.662D+00
 2.575D+00 2.127D+00
 2.734D+00 1.778D+00
 2.902D+00 1.486D+00
 3.081D+00 1.242D+00
 3.254D+00 1.054D+00
 3.437D+00 8.942D-01
 3.631D+00 7.587D-01
 4.031D+00 5.545D-01
 4.431D+00 4.175D-01
 4.846D+00 3.190D-01
 5.274D+00 2.475D-01
 5.683D+00 1.978D-01
 6.094D+00 1.605D-01
 6.501D+00 1.322D-01
 6.901D+00 1.105D-01
 7.290D+00 9.375D-02
 8.013D+00 7.059D-02
 8.677D+00 5.558D-02
 9.211D+00 4.646D-02
 1.018D+01 3.446D-02
 1.080D+01 2.882D-02
 1.113D+01 2.708D-02
2s_2p2_2De                              !Configuration name
20                                      !Type of cross-section
127                                     !Number of cross-section points
 1.000D+00 1.052D+00
 1.005D+00 1.844D+00
 1.010D+00 3.818D+00
 1.015D+00 7.834D+00
 1.025D+00 2.022D+01
 1.030D+00 2.336D+01
 1.035D+00 2.131D+01
 1.041D+00 1.538D+01
 1.046D+00 8.801D+00
 1.051D+00 4.100D+00
 1.056D+00 1.655D+00
 1.062D+00 7.242D-01
 1.067D+00 4.729D-01
 1.072D+00 4.494D-01
 1.078D+00 4.838D-01
 1.088D+00 5.963D-01
 1.094D+00 6.935D-01
 1.099D+00 8.672D-01
 1.105D+00 1.172D+00
 1.110D+00 1.636D+00
 1.116D+00 2.171D+00
 1.121D+00 2.566D+00
 1.127D+00 2.600D+00
 1.133D+00 2.237D+00
 1.138D+00 1.672D+00
 1.144D+00 1.157D+00
 1.150D+00 8.523D-01
 1.155D+00 7.982D-01
 1.161D+00 1.046D+00
 1.167D+00 1.742D+00
 1.173D+00 3.016D+00
 1.179D+00 4.720D+00
 1.184D+00 6.217D+00
 1.190D+00 6.763D+00
 1.196D+00 6.089D+00
 1.208D+00 3.074D+00
 1.214D+00 1.891D+00
 1.220D+00 1.196D+00
 1.226D+00 9.069D-01
 1.233D+00 9.083D-01
 1.245D+00 1.243D+00
 1.251D+00 1.315D+00
 1.257D+00 1.253D+00
 1.270D+00 9.960D-01
 1.276D+00 9.397D-01
 1.283D+00 9.494D-01
 1.289D+00 1.017D+00
 1.295D+00 1.148D+00
 1.302D+00 1.360D+00
 1.308D+00 1.683D+00
 1.315D+00 2.157D+00
 1.328D+00 3.340D+00
 1.335D+00 3.695D+00
 1.341D+00 3.780D+00
 1.348D+00 3.756D+00
 1.362D+00 3.999D+00
 1.368D+00 4.392D+00
 1.375D+00 5.161D+00
 1.382D+00 6.611D+00
 1.389D+00 8.998D+00
 1.396D+00 1.243D+01
 1.410D+00 2.043D+01
 1.417D+00 2.285D+01
 1.424D+00 2.288D+01
 1.431D+00 2.062D+01
 1.445D+00 1.372D+01
 1.453D+00 1.114D+01
 1.460D+00 9.533D+00
 1.467D+00 8.627D+00
 1.482D+00 7.864D+00
 1.504D+00 7.573D+00
 1.527D+00 7.980D+00
 1.534D+00 7.869D+00
 1.558D+00 6.925D+00
 1.565D+00 6.886D+00
 1.573D+00 7.143D+00
 1.581D+00 7.846D+00
 1.589D+00 9.166D+00
 1.605D+00 1.273D+01
 1.613D+00 1.353D+01
 1.621D+00 1.299D+01
 1.637D+00 9.994D+00
 1.645D+00 9.043D+00
 1.653D+00 8.817D+00
 1.678D+00 9.684D+00
 1.687D+00 9.392D+00
 1.712D+00 7.023D+00
 1.721D+00 6.363D+00
 1.729D+00 6.057D+00
 1.764D+00 6.490D+00
 1.845D+00 6.211D+00
 1.882D+00 6.400D+00
 1.920D+00 7.175D+00
 1.929D+00 7.180D+00
 1.939D+00 6.886D+00
 1.968D+00 5.459D+00
 1.988D+00 5.145D+00
 2.038D+00 5.730D+00
 2.079D+00 5.225D+00
 2.100D+00 5.245D+00
 2.142D+00 5.162D+00
 2.218D+00 4.661D+00
 2.831D+00 2.843D+00
 3.050D+00 2.428D+00
 3.303D+00 2.052D+00
 3.559D+00 1.749D+00
 3.835D+00 1.489D+00
 4.133D+00 1.265D+00
 4.453D+00 1.073D+00
 4.774D+00 9.184D-01
 5.145D+00 7.763D-01
 5.544D+00 6.552D-01
 5.944D+00 5.585D-01
 6.765D+00 4.141D-01
 7.436D+00 3.312D-01
 8.297D+00 2.556D-01
 9.030D+00 2.081D-01
 9.730D+00 1.736D-01
 1.043D+01 1.464D-01
 1.113D+01 1.248D-01
 1.187D+01 1.062D-01
 1.331D+01 7.982D-02
 1.449D+01 6.431D-02
 1.593D+01 4.973D-02
 1.760D+01 3.689D-02
 1.868D+01 3.084D-02
 1.925D+01 2.895D-02
2s_2p2_2Se                              !Configuration name
20                                      !Type of cross-section
155                                     !Number of cross-section points
 1.000D+00 1.089D-02
 1.010D+00 1.403D-02
 1.015D+00 1.665D-02
 1.020D+00 2.282D-02
 1.025D+00 5.279D-02
 1.030D+00 2.086D-01
 1.035D+00 8.663D-01
 1.041D+00 2.943D+00
 1.046D+00 7.862D+00
 1.051D+00 1.623D+01
 1.056D+00 2.612D+01
 1.062D+00 3.270D+01
 1.067D+00 3.208D+01
 1.072D+00 2.477D+01
 1.078D+00 1.515D+01
 1.083D+00 7.498D+00
 1.088D+00 3.148D+00
 1.094D+00 1.339D+00
 1.099D+00 7.979D-01
 1.105D+00 7.441D-01
 1.110D+00 8.657D-01
 1.116D+00 1.110D+00
 1.121D+00 1.569D+00
 1.127D+00 2.463D+00
 1.133D+00 4.135D+00
 1.138D+00 6.769D+00
 1.144D+00 1.001D+01
 1.150D+00 1.262D+01
 1.155D+00 1.324D+01
 1.161D+00 1.141D+01
 1.173D+00 4.650D+00
 1.179D+00 2.253D+00
 1.184D+00 1.032D+00
 1.190D+00 7.355D-01
 1.196D+00 1.338D+00
 1.202D+00 3.538D+00
 1.208D+00 8.968D+00
 1.214D+00 1.953D+01
 1.226D+00 4.986D+01
 1.233D+00 5.724D+01
 1.239D+00 5.277D+01
 1.245D+00 3.948D+01
 1.251D+00 2.447D+01
 1.257D+00 1.324D+01
 1.264D+00 6.715D+00
 1.270D+00 3.455D+00
 1.276D+00 1.880D+00
 1.283D+00 1.286D+00
 1.289D+00 1.433D+00
 1.302D+00 2.786D+00
 1.308D+00 3.047D+00
 1.315D+00 2.670D+00
 1.328D+00 1.102D+00
 1.335D+00 5.701D-01
 1.341D+00 3.232D-01
 1.348D+00 2.927D-01
 1.355D+00 4.238D-01
 1.362D+00 7.087D-01
 1.375D+00 1.553D+00
 1.382D+00 1.797D+00
 1.389D+00 1.779D+00
 1.396D+00 1.644D+00
 1.403D+00 1.605D+00
 1.424D+00 2.055D+00
 1.438D+00 2.151D+00
 1.445D+00 2.108D+00
 1.460D+00 1.859D+00
 1.467D+00 1.935D+00
 1.475D+00 2.422D+00
 1.482D+00 3.415D+00
 1.489D+00 4.788D+00
 1.504D+00 7.798D+00
 1.512D+00 9.615D+00
 1.519D+00 1.246D+01
 1.527D+00 1.690D+01
 1.534D+00 2.214D+01
 1.542D+00 2.599D+01
 1.550D+00 2.623D+01
 1.558D+00 2.272D+01
 1.565D+00 1.756D+01
 1.573D+00 1.301D+01
 1.581D+00 1.017D+01
 1.589D+00 8.778D+00
 1.597D+00 8.210D+00
 1.613D+00 7.989D+00
 1.621D+00 8.247D+00
 1.629D+00 8.910D+00
 1.645D+00 1.097D+01
 1.653D+00 1.137D+01
 1.662D+00 1.088D+01
 1.678D+00 8.631D+00
 1.687D+00 7.796D+00
 1.695D+00 7.315D+00
 1.712D+00 6.921D+00
 1.721D+00 6.929D+00
 1.729D+00 7.262D+00
 1.738D+00 8.233D+00
 1.746D+00 9.989D+00
 1.755D+00 1.214D+01
 1.764D+00 1.371D+01
 1.773D+00 1.387D+01
 1.782D+00 1.264D+01
 1.799D+00 9.149D+00
 1.808D+00 8.000D+00
 1.817D+00 7.312D+00
 1.827D+00 6.967D+00
 1.836D+00 6.988D+00
 1.845D+00 7.469D+00
 1.863D+00 9.201D+00
 1.873D+00 9.542D+00
 1.882D+00 9.185D+00
 1.901D+00 7.853D+00
 1.910D+00 7.642D+00
 1.929D+00 7.803D+00
 2.048D+00 7.114D+00
 2.163D+00 6.833D+00
 2.229D+00 7.013D+00
 2.251D+00 6.596D+00
 2.285D+00 5.397D+00
 2.308D+00 5.197D+00
 2.331D+00 5.218D+00
 2.462D+00 4.802D+00
 2.537D+00 5.120D+00
 2.588D+00 4.354D+00
 2.601D+00 4.284D+00
 2.653D+00 4.479D+00
 2.707D+00 4.104D+00
 2.734D+00 4.037D+00
 2.775D+00 4.067D+00
 2.902D+00 3.589D+00
 3.238D+00 2.874D+00
 3.472D+00 2.484D+00
 3.741D+00 2.127D+00
 4.051D+00 1.797D+00
 4.365D+00 1.531D+00
 4.704D+00 1.300D+00
 5.068D+00 1.101D+00
 5.461D+00 9.314D-01
 5.885D+00 7.858D-01
 6.310D+00 6.692D-01
 6.765D+00 5.689D-01
 7.700D+00 4.194D-01
 8.464D+00 3.340D-01
 9.444D+00 2.562D-01
 1.023D+01 2.104D-01
 1.102D+01 1.749D-01
 1.176D+01 1.489D-01
 1.254D+01 1.266D-01
 1.338D+01 1.075D-01
 1.508D+01 7.954D-02
 1.633D+01 6.487D-02
 1.751D+01 5.429D-02
 1.993D+01 3.783D-02
 2.116D+01 3.162D-02
 2.191D+01 2.906D-02
2s_2p2_2Pe                              !Configuration name
20                                      !Type of cross-section
176                                     !Number of cross-section points
 1.000D+00 1.104D-02
 1.025D+00 1.026D-02
 1.030D+00 1.056D-02
 1.035D+00 1.534D-02
 1.041D+00 4.461D-02
 1.046D+00 1.713D-01
 1.051D+00 5.715D-01
 1.056D+00 1.516D+00
 1.062D+00 3.115D+00
 1.067D+00 4.994D+00
 1.072D+00 6.235D+00
 1.078D+00 6.098D+00
 1.083D+00 4.695D+00
 1.088D+00 2.854D+00
 1.094D+00 1.390D+00
 1.099D+00 5.516D-01
 1.105D+00 1.947D-01
 1.110D+00 7.621D-02
 1.116D+00 4.580D-02
 1.121D+00 3.992D-02
 1.127D+00 3.981D-02
 1.138D+00 4.339D-02
 1.161D+00 5.690D-02
 1.167D+00 5.779D-02
 1.179D+00 5.274D-02
 1.184D+00 5.239D-02
 1.190D+00 5.862D-02
 1.196D+00 7.299D-02
 1.202D+00 9.534D-02
 1.208D+00 1.257D-01
 1.214D+00 1.684D-01
 1.220D+00 2.352D-01
 1.226D+00 3.650D-01
 1.233D+00 6.766D-01
 1.239D+00 1.509D+00
 1.245D+00 3.538D+00
 1.251D+00 7.648D+00
 1.257D+00 1.395D+01
 1.264D+00 2.083D+01
 1.270D+00 2.503D+01
 1.276D+00 2.420D+01
 1.283D+00 1.894D+01
 1.289D+00 1.216D+01
 1.295D+00 6.637D+00
 1.302D+00 3.256D+00
 1.308D+00 1.593D+00
 1.315D+00 8.511D-01
 1.322D+00 5.196D-01
 1.328D+00 3.615D-01
 1.335D+00 2.872D-01
 1.341D+00 2.514D-01
 1.355D+00 1.966D-01
 1.368D+00 1.217D-01
 1.375D+00 9.454D-02
 1.382D+00 8.080D-02
