**************************************************************************************************
 
 C III photoioization data

 [Reference] C\,{\sc iii} photoioization data is from P.~J.Storey (private communication).

**************************************************************************************************

13-Mar-2002 18:22:42              !Date
217                               !Number of energy levels
2                                 !Number of photoionization routes
3.0                               !Screened nuclear charge
2s2Se/2s_2Se                      !Final state in ion
0                                 !Excitation energy of final state
2                                 !Statistical weight of ion
500.0                             !Sigma used for Gaussian smoothing (km/s)
Megabarns                         !Cross-section unit
False                             !Split J levels
56901                             !Total number of data pairs

2s2s1Se                      !Configuration name
20                           !Type of cross-section
174                          !Number of cross-section points
 1.00000E+00   1.7655E+00
 1.00526E+00   2.0223E+00
 1.00773E+00   2.3322E+00
 1.00914E+00   2.7543E+00
 1.00984E+00   3.1950E+00
 1.01020E+00   3.5544E+00
 1.01055E+00   4.0678E+00
 1.01161E+00   6.2852E+00
 1.01197E+00   6.5214E+00
 1.01232E+00   6.0021E+00
 1.01268E+00   4.7637E+00
 1.01303E+00   3.2078E+00
 1.01338E+00   1.8349E+00
 1.01374E+00   9.3544E-01
 1.01409E+00   5.1081E-01
 1.01445E+00   3.9626E-01
 1.01480E+00   4.2988E-01
 1.01622E+00   7.5327E-01
 1.01765E+00   9.5513E-01
 1.02014E+00   1.1450E+00
 1.02587E+00   1.3353E+00
 1.04471E+00   1.5415E+00
 1.04763E+00   1.4863E+00
 1.04873E+00   1.3407E+00
 1.04947E+00   1.1091E+00
 1.05057E+00   5.4391E-01
 1.05094E+00   3.8310E-01
 1.05131E+00   2.9242E-01
 1.05167E+00   2.8930E-01
 1.05204E+00   3.6566E-01
 1.05241E+00   4.9532E-01
 1.05351E+00   9.2441E-01
 1.05462E+00   1.1909E+00
 1.05647E+00   1.3982E+00
 1.06277E+00   1.8036E+00
 1.06426E+00   2.0595E+00
 1.06500E+00   2.3704E+00
 1.06538E+00   2.6611E+00
 1.06612E+00   3.6565E+00
 1.06649E+00   4.1793E+00
 1.06687E+00   4.3759E+00
 1.06724E+00   4.0100E+00
 1.06761E+00   3.1377E+00
 1.06799E+00   2.1039E+00
 1.06836E+00   1.2864E+00
 1.06874E+00   8.4684E-01
 1.06911E+00   7.1311E-01
 1.06948E+00   7.3837E-01
 1.07098E+00   1.0073E+00
 1.07323E+00   1.1892E+00
 1.07964E+00   1.3737E+00
 1.08532E+00   1.4359E+00
 1.08646E+00   1.3194E+00
 1.08684E+00   1.2078E+00
 1.08798E+00   6.6262E-01
 1.08836E+00   5.5111E-01
 1.08874E+00   5.5034E-01
 1.08912E+00   6.5244E-01
 1.09026E+00   1.1141E+00
 1.09103E+00   1.2972E+00
 1.09447E+00   1.6915E+00
 1.09523E+00   1.8941E+00
 1.09562E+00   2.0907E+00
 1.09677E+00   3.0839E+00
 1.09715E+00   3.1358E+00
 1.09754E+00   2.7970E+00
 1.09830E+00   1.5440E+00
 1.09869E+00   1.1211E+00
 1.09907E+00   9.4770E-01
 1.09946E+00   9.3484E-01
 1.10138E+00   1.1672E+00
 1.10602E+00   1.3579E+00
 1.10795E+00   1.3740E+00
 1.10873E+00   1.2615E+00
 1.10989E+00   8.3018E-01
 1.11028E+00   7.6714E-01
 1.11067E+00   8.1136E-01
 1.11223E+00   1.3318E+00
 1.11378E+00   1.6874E+00
 1.11456E+00   2.1127E+00
 1.11495E+00   2.3689E+00
 1.11534E+00   2.4989E+00
 1.11573E+00   2.3782E+00
 1.11651E+00   1.5779E+00
 1.11690E+00   1.2456E+00
 1.11730E+00   1.0881E+00
 1.11769E+00   1.0632E+00
 1.12004E+00   1.2663E+00
 1.12200E+00   1.3318E+00
 1.12278E+00   1.2448E+00
 1.12357E+00   1.0230E+00
 1.12396E+00   9.4507E-01
 1.12435E+00   9.5124E-01
 1.12475E+00   1.0441E+00
 1.12593E+00   1.5086E+00
 1.12711E+00   2.0669E+00
 1.12751E+00   2.0827E+00
 1.12790E+00   1.9079E+00
 1.12869E+00   1.3476E+00
 1.12909E+00   1.1919E+00
 1.12948E+00   1.1486E+00
 1.13146E+00   1.2830E+00
 1.13225E+00   1.2330E+00
 1.13304E+00   1.0880E+00
 1.13344E+00   1.0632E+00
 1.13384E+00   1.1226E+00
 1.13423E+00   1.2679E+00
 1.13503E+00   1.6747E+00
 1.13542E+00   1.8132E+00
 1.13582E+00   1.8164E+00
 1.13701E+00   1.3040E+00
 1.13741E+00   1.2218E+00
 1.13900E+00   1.2101E+00
 1.13980E+00   1.1379E+00
 1.14020E+00   1.1517E+00
 1.14140E+00   1.3690E+00
 1.14260E+00   1.3742E+00
 1.27796E+00   1.1604E+00
 1.39039E+00   1.0438E+00
 1.41840E+00   1.0499E+00
 1.42188E+00   9.8662E-01
 1.42636E+00   6.9447E-01
 1.42786E+00   6.6728E-01
 1.43387E+00   8.1951E-01
 1.44545E+00   8.8566E-01
 1.51430E+00   8.5344E-01
 1.53350E+00   8.2058E-01
 1.53726E+00   9.0828E-01
 1.55674E+00   8.4848E-01
 1.57923E+00   8.5859E-01
 1.58089E+00   9.1603E-01
 1.58311E+00   1.1266E+00
 1.58422E+00   1.0937E+00
 1.58588E+00   8.5488E-01
 1.58699E+00   7.7343E-01
 1.62066E+00   7.7967E-01
 1.62293E+00   6.9064E-01
 1.62463E+00   5.9025E-01
 1.62577E+00   5.8698E-01
 1.62918E+00   7.0586E-01
 1.63890E+00   7.6094E-01
 1.64235E+00   7.5598E-01
 1.64522E+00   7.2721E-01
 1.66084E+00   7.7544E-01
 1.66258E+00   6.8680E-01
 1.66375E+00   6.1122E-01
 1.66491E+00   6.1897E-01
 1.66783E+00   6.9703E-01
 1.68483E+00   7.4184E-01
 1.70023E+00   7.2657E-01
 1.70559E+00   7.4529E-01
 1.70738E+00   7.0246E-01
 1.70918E+00   5.9271E-01
 1.71037E+00   5.9194E-01
 1.71337E+00   6.7547E-01
 1.71757E+00   6.9457E-01
 1.72058E+00   6.8652E-01
 1.72419E+00   7.0320E-01
 1.72661E+00   6.4231E-01
 1.73752E+00   6.9980E-01
 1.74117E+00   6.6548E-01
 1.74483E+00   6.6202E-01
 1.74849E+00   7.0753E-01
 1.75155E+00   6.4550E-01
 1.75462E+00   6.6673E-01
 1.76385E+00   6.5501E-01
 1.76756E+00   6.7488E-01
 1.77128E+00   6.3967E-01
 1.77500E+00   6.6838E-01
 1.78809E+00   6.4120E-01
 1.79310E+00   6.5577E-01
 1.79875E+00   6.3984E-01
 2.27394E+00   4.1313E-01
 2.28191E+00   4.0965E-01

2s2p3Po                      !Configuration name
20                           !Type of cross-section
122                          !Number of cross-section points
 1.00000E+00   1.9037E+00
 1.00914E+00   2.0192E+00
 1.01020E+00   2.0198E+00
 1.01161E+00   1.8815E+00
 1.03633E+00   1.8850E+00
 1.05832E+00   1.9140E+00
 1.06166E+00   2.0420E+00
 1.06240E+00   2.1788E+00
 1.06277E+00   2.4096E+00
 1.06314E+00   2.9830E+00
 1.06351E+00   4.1685E+00
 1.06426E+00   7.9895E+00
 1.06463E+00   9.0839E+00
 1.06500E+00   8.5966E+00
 1.06575E+00   4.9470E+00
 1.06612E+00   3.6704E+00
 1.06649E+00   3.1479E+00
 1.06724E+00   2.9285E+00
 1.06799E+00   2.3836E+00
 1.06874E+00   1.8235E+00
 1.06911E+00   1.6785E+00
 1.06986E+00   1.5780E+00
 1.07586E+00   1.6542E+00
 1.07775E+00   1.6037E+00
 1.10138E+00   1.6975E+00
 1.10292E+00   1.7939E+00
 1.10331E+00   1.9103E+00
 1.10370E+00   2.2053E+00
 1.10408E+00   2.8309E+00
 1.10486E+00   5.0128E+00
 1.10524E+00   5.7872E+00
 1.10563E+00   5.7447E+00
 1.10602E+00   4.9597E+00
 1.10679E+00   3.0148E+00
 1.10718E+00   2.3825E+00
 1.10757E+00   1.9620E+00
 1.10795E+00   1.6923E+00
 1.10834E+00   1.5401E+00
 1.10912E+00   1.4509E+00
 1.11223E+00   1.4769E+00
 1.12632E+00   1.5711E+00
 1.12711E+00   1.6354E+00
 1.12751E+00   1.7512E+00
 1.12790E+00   2.0245E+00
 1.12830E+00   2.5396E+00
 1.12909E+00   3.9327E+00
 1.12948E+00   4.2021E+00
 1.12988E+00   3.9103E+00
 1.13067E+00   2.4885E+00
 1.13106E+00   1.9305E+00
 1.13146E+00   1.6063E+00
 1.13185E+00   1.4597E+00
 1.13265E+00   1.4022E+00
 1.14220E+00   1.4983E+00
 1.14260E+00   1.5417E+00
 1.14300E+00   1.6527E+00
 1.14340E+00   1.8977E+00
 1.14380E+00   2.3193E+00
 1.14420E+00   2.8403E+00
 1.14460E+00   3.2330E+00
 1.14500E+00   3.2646E+00
 1.14540E+00   2.9025E+00
 1.14620E+00   1.8639E+00
 1.14660E+00   1.5597E+00
 1.14700E+00   1.4199E+00
 1.14781E+00   1.3605E+00
 1.15263E+00   1.4332E+00
 1.15344E+00   1.5478E+00
 1.15385E+00   1.7236E+00
 1.15465E+00   2.3662E+00
 1.15506E+00   2.6068E+00
 1.15546E+00   2.5888E+00
 1.15587E+00   2.3122E+00
 1.15667E+00   1.6209E+00
 1.15708E+00   1.4399E+00
 1.15789E+00   1.3454E+00
 1.16032E+00   1.4023E+00
 1.16113E+00   1.5596E+00
 1.16235E+00   2.2062E+00
 1.16276E+00   2.2543E+00
 1.16398E+00   1.7447E+00
 1.16480E+00   1.6448E+00
 1.23618E+00   1.5258E+00
 1.35201E+00   1.3887E+00
 1.48856E+00   1.1513E+00
 1.49797E+00   1.1205E+00
 1.50427E+00   1.1210E+00
 1.51271E+00   1.1621E+00
 1.51855E+00   9.5938E-01
 1.55293E+00   9.9676E-01
 1.60992E+00   9.2557E-01
 1.61387E+00   8.1140E-01
 1.61669E+00   8.7668E-01
 1.62009E+00   9.2045E-01
 1.68778E+00   8.6278E-01
 1.69074E+00   7.7912E-01
 1.69726E+00   8.2099E-01
 1.73691E+00   8.1632E-01
 1.73995E+00   6.9972E-01
 1.75155E+00   7.5970E-01
 1.77190E+00   7.5175E-01
 1.77935E+00   7.5816E-01
 1.79813E+00   7.3614E-01
 1.81519E+00   7.3995E-01
 1.81837E+00   7.1238E-01
 1.82411E+00   7.3255E-01
 1.82730E+00   6.5054E-01
 1.83499E+00   7.0079E-01
 1.84271E+00   7.2072E-01
 1.84464E+00   7.5147E-01
 1.84787E+00   6.9942E-01
 1.85500E+00   6.8481E-01
 1.86802E+00   6.7373E-01
 1.87130E+00   6.4467E-01
 1.88246E+00   6.7448E-01
 1.89104E+00   6.5512E-01
 1.90365E+00   6.5223E-01
 1.90765E+00   6.5294E-01
 1.91099E+00   6.3323E-01
 1.91971E+00   6.4107E-01
 2.22826E+00   4.6620E-01
 2.48353E+00   3.6104E-01

2s2p1Po                      !Configuration name
20                           !Type of cross-section
224                          !Number of cross-section points
 1.00000E+00   7.7837E-02
 1.00035E+00   9.2145E-02
 1.00070E+00   1.3177E-01
 1.00105E+00   1.9338E-01
 1.00280E+00   5.9987E-01
 1.00421E+00   8.4802E-01
 1.00667E+00   1.1256E+00
 1.01091E+00   1.5284E+00
 1.01161E+00   1.7524E+00
 1.01232E+00   2.3126E+00
 1.01268E+00   2.6111E+00
 1.01303E+00   2.7702E+00
 1.01338E+00   2.7499E+00
 1.01445E+00   2.3843E+00
 1.01943E+00   1.8991E+00
 1.02587E+00   1.7465E+00
 1.06314E+00   1.7317E+00
 1.07361E+00   1.8839E+00
 1.07737E+00   2.1350E+00
 1.07888E+00   2.4231E+00
 1.07964E+00   2.7404E+00
 1.08001E+00   3.0680E+00
 1.08039E+00   3.7483E+00
 1.08077E+00   5.2992E+00
 1.08115E+00   8.5495E+00
 1.08153E+00   1.4118E+01
 1.08190E+00   2.1168E+01
 1.08228E+00   2.6774E+01
 1.08266E+00   2.7584E+01
 1.08304E+00   2.2753E+01
 1.08342E+00   1.4939E+01
 1.08380E+00   7.8409E+00
 1.08418E+00   3.3946E+00
 1.08456E+00   1.3972E+00
 1.08494E+00   7.6789E-01
 1.08532E+00   6.7587E-01
 1.08608E+00   8.0706E-01
 1.08798E+00   1.1685E+00
 1.08836E+00   1.2782E+00
 1.08874E+00   1.4402E+00
 1.08988E+00   2.1925E+00
 1.09026E+00   2.3202E+00
 1.09065E+00   2.3030E+00
 1.09217E+00   1.8356E+00
 1.09409E+00   1.5899E+00
 1.09830E+00   1.4814E+00
 1.11730E+00   1.5326E+00
 1.12239E+00   1.6620E+00
 1.12435E+00   1.8470E+00
 1.12514E+00   2.0939E+00
 1.12554E+00   2.4558E+00
 1.12593E+00   3.3279E+00
 1.12632E+00   5.2002E+00
 1.12672E+00   8.3704E+00
 1.12711E+00   1.2245E+01
 1.12751E+00   1.5083E+01
 1.12790E+00   1.5078E+01
 1.12830E+00   1.2073E+01
 1.12869E+00   7.7535E+00
 1.12909E+00   4.1170E+00
 1.12948E+00   2.0240E+00
 1.12988E+00   1.1885E+00
 1.13027E+00   1.0194E+00
 1.13067E+00   1.1173E+00
 1.13185E+00   1.8095E+00
 1.13225E+00   1.9478E+00
 1.13265E+00   1.9560E+00
 1.13423E+00   1.5321E+00
 1.13582E+00   1.3916E+00
 1.14300E+00   1.3677E+00
 1.15022E+00   1.4792E+00
 1.15183E+00   1.6106E+00
 1.15223E+00   1.7184E+00
 1.15263E+00   1.9835E+00
 1.15304E+00   2.6295E+00
 1.15344E+00   3.9634E+00
 1.15425E+00   8.3579E+00
 1.15465E+00   9.6705E+00
 1.15506E+00   9.1038E+00
 1.15546E+00   6.9484E+00
 1.15587E+00   4.4228E+00
 1.15627E+00   2.6052E+00
 1.15667E+00   1.7700E+00
 1.15708E+00   1.5894E+00
 1.15789E+00   1.6961E+00
 1.15870E+00   1.5610E+00
 1.15992E+00   1.3423E+00
 1.16276E+00   1.2909E+00
 1.16847E+00   1.3804E+00
 1.16929E+00   1.4386E+00
 1.16970E+00   1.5157E+00
 1.17011E+00   1.7111E+00
 1.17052E+00   2.1874E+00
 1.17093E+00   3.1381E+00
 1.17175E+00   6.0162E+00
 1.17216E+00   6.7008E+00
 1.17257E+00   6.1617E+00
 1.17339E+00   3.2400E+00
 1.17380E+00   2.2454E+00
 1.17421E+00   1.7719E+00
 1.17462E+00   1.5769E+00
 1.17585E+00   1.3154E+00
 1.17750E+00   1.2503E+00
 1.18121E+00   1.3376E+00
 1.18163E+00   1.3966E+00
 1.18204E+00   1.5495E+00
 1.18245E+00   1.9158E+00
 1.18287E+00   2.6264E+00
 1.18370E+00   4.6183E+00
 1.18411E+00   5.0091E+00
 1.18452E+00   4.5668E+00
 1.18535E+00   2.5885E+00
 1.18577E+00   1.9047E+00
 1.18618E+00   1.5395E+00
 1.18660E+00   1.3651E+00
 1.18743E+00   1.2451E+00
 1.18951E+00   1.2589E+00
 1.19034E+00   1.3659E+00
 1.19076E+00   1.5585E+00
 1.19117E+00   1.9698E+00
