 Mass =   12.0000000000000     
 Rydberg constant=   109732.295932637     
 2s2s1Se                  2       0.4010
 2s2p3Po                  2       0.2800
 2s2p1Po                  2       0.1348
 2p2p3Pe                  2       0.0075
 2p2p1De                  2      -0.0270
 2p2p1Se                  3       0.7982
 2s3s3Se                  3       0.4170
 2s3s1Se                  3       0.3352
 2s3p1Po                  3       0.2148
 2s3p3Po                  3       0.2061
 2s3d3De                  3       0.0850
 2s3d1De                  3       0.0004
 2p3s3Po                  4       0.4407
 2s4s3Se                  4       0.4136
 2p3s1Po                  4       0.4007
 2s4s1Se                  4       0.3596
 2s4p3Po                  4       0.2014
 2p3p1Pe                  4       0.1469
 2s4d3De                  4       0.0963
 2s4f3Fo                  4       0.0788
 2s4p1Po                  4       0.0667
 2s4f1Fo                  4       0.0575
 2p3p3De                  4       0.0447
 2s4d1De                  4       0.0098
 2p3p3Se                  4      -0.0926
 2p3p3Pe                  5       0.8198
 2p3d1Do                  5       0.7055
 2p3p1De                  5       0.6883
 2p3d3Fo                  5       0.6760
 2p3d3Do                  5       0.4906
 2s5s1Se                  5       0.4511
 2s5s3Se                  5       0.3818
 2p3d3Po                  5       0.3728
 2p3d1Fo                  5       0.3085
 2s5p1Po                  5       0.2066
 2s5p3Po                  5       0.1512
 2p3p1Se                  5       0.1008
 2s5d3De                  5       0.0767
 2s5g3Ge                  5       0.0100
 2s5g1Ge                  5       0.0100
 2s5d1De                  5       0.0050
 2p3d1Po                  5       0.0016
 2s5f3Fo                  5      -0.0266
 2s5f1Fo                  6       0.8600
 2s6s3Se                  6       0.3903
 2s6s1Se                  6       0.3082
 2s6p3Po                  6       0.1835
 2s6p1Po                  6       0.1775
 2s6d3De                  6       0.0762
 2s6g1Ge                  6       0.0126
 2s6g3Ge                  6       0.0126
 2s6d1De                  6       0.0082
 2s6h1Ho                  6       0.0035
 2s6h3Ho                  6       0.0035
 2s6f3Fo                  6      -0.0047
 2s6f1Fo                  6      -0.0346
 2s7s3Se                  7       0.3936
 2s7s1Se                  7       0.3321
 2s7p1Po                  7       0.1979
 2s7p3Po                  7       0.1933
 2s7d3De                  7       0.0765
 2s7g3Ge                  7       0.0146
 2s7g1Ge                  7       0.0146
 2s7d1De                  7       0.0102
 2s7h3Ho                  7       0.0056
 2s7h1Ho                  7       0.0036
 2s7i1Ie                  7       0.0007
 2s7i3Ie                  7       0.0007
 2s7f3Fo                  7      -0.0055
