09-Apr-1997 18:34:43              !Date
217                               !Number of energy levels
2                                 !Number of photoionization routes
3.0                               !Screened nuclear charge
2p_2Po/2p2Po                      !Final state in ion
64555.80                          !Excitation energy of final state
6                                 !Statistical weight of ion
3000.0                            !Sigma used for Gaussian smoothing (km/s)
Megabarns                         !Cross-section unit
False                             !Split J levels
3455                              !Total number of data pairs

2s2s1Se                      !Configuration name
0                            !Type of cross-section
1                            !Number of cross-section points
0.0000E+00

2s2p3Po                      !Configuration name
0                            !Type of cross-section
1                            !Number of cross-section points
0.0000E+00

2s2p1Po                      !Configuration name
0                            !Type of cross-section
1                            !Number of cross-section points
0.0000E+00

2p2p3Pe                      !Configuration name
20                           !Type of cross-section
33                           !Number of cross-section points
 1.00000E+00   3.3107E+00
 1.11320E+00   2.5528E+00
 1.20868E+00   2.0818E+00
 1.25475E+00   1.9576E+00
 1.26417E+00   1.9941E+00
 1.27049E+00   2.1097E+00
 1.27684E+00   2.3183E+00
 1.28003E+00   2.3625E+00
 1.28323E+00   2.2792E+00
 1.28643E+00   2.0684E+00
 1.28964E+00   1.8008E+00
 1.29287E+00   1.5749E+00
 1.29609E+00   1.4484E+00
 1.29933E+00   1.4081E+00
 1.31563E+00   1.4759E+00
 1.38291E+00   1.3656E+00
 1.46821E+00   1.2054E+00
 1.47555E+00   1.2085E+00
 1.48292E+00   1.1525E+00
 1.49034E+00   1.0535E+00
 1.49406E+00   1.0284E+00
 1.50528E+00   1.0458E+00
 1.52037E+00   1.1263E+00
 1.52797E+00   1.1012E+00
 1.53945E+00   1.0274E+00
 1.57439E+00   9.3420E-01
 1.61818E+00   8.6491E-01
 1.64667E+00   8.4102E-01
 1.70093E+00   7.6122E-01
 1.83306E+00   6.1525E-01
 2.00024E+00   4.7717E-01
 2.19359E+00   3.5879E-01
 2.19906E+00   3.5601E-01

2p2p1De                      !Configuration name
20                           !Type of cross-section
39                           !Number of cross-section points
 1.00000E+00   3.1647E+00
 1.12436E+00   2.4409E+00
 1.20567E+00   2.1083E+00
 1.22385E+00   2.0316E+00
 1.24539E+00   1.9566E+00
 1.26417E+00   1.9170E+00
 1.27367E+00   1.8314E+00
 1.28964E+00   1.8869E+00
 1.29933E+00   1.9937E+00
 1.30583E+00   2.0861E+00
 1.30908E+00   2.0552E+00
 1.31236E+00   1.9193E+00
 1.31892E+00   1.4316E+00
 1.32221E+00   1.2457E+00
 1.32551E+00   1.1656E+00
 1.32882E+00   1.1748E+00
 1.33880E+00   1.3165E+00
 1.34885E+00   1.3719E+00
 1.38637E+00   1.3604E+00
 1.42492E+00   1.3436E+00
 1.43562E+00   1.3516E+00
 1.44280E+00   1.3001E+00
 1.45002E+00   1.2212E+00
 1.46455E+00   1.1827E+00
 1.49406E+00   1.1977E+00
 1.50153E+00   1.2023E+00
 1.51281E+00   1.1192E+00
 1.52417E+00   1.0181E+00
 1.53179E+00   1.0021E+00
 1.54715E+00   1.0377E+00
 1.56655E+00   9.8674E-01
 1.57832E+00   9.8082E-01
 1.61013E+00   9.1947E-01
 1.63440E+00   8.8521E-01
 1.67567E+00   8.3568E-01
 1.83306E+00   6.4331E-01
 2.02535E+00   4.8636E-01
 2.22666E+00   3.6634E-01
 2.23221E+00   3.6356E-01

2p2p1Se                      !Configuration name
20                           !Type of cross-section
51                           !Number of cross-section points
 1.00000E+00   3.8198E+00
 1.11597E+00   3.0280E+00
 1.22997E+00   2.4427E+00
 1.26733E+00   2.3131E+00
 1.28964E+00   2.2595E+00
 1.34549E+00   2.1027E+00
 1.37603E+00   2.1261E+00
 1.38982E+00   2.2359E+00
 1.39677E+00   2.4033E+00
 1.40027E+00   2.5695E+00
 1.40376E+00   2.8326E+00
 1.41078E+00   3.5391E+00
 1.41430E+00   3.7022E+00
 1.41783E+00   3.4887E+00
 1.42138E+00   2.9134E+00
 1.42492E+00   2.1847E+00
 1.42848E+00   1.5699E+00
 1.43204E+00   1.2175E+00
 1.43562E+00   1.0912E+00
 1.43920E+00   1.0987E+00
 1.45002E+00   1.2498E+00
 1.46821E+00   1.3995E+00
 1.47188E+00   1.4583E+00
 1.47924E+00   1.6513E+00
 1.48292E+00   1.7232E+00
 1.48663E+00   1.7193E+00
 1.49034E+00   1.6338E+00
 1.49779E+00   1.4158E+00
 1.50153E+00   1.3585E+00
 1.51281E+00   1.3319E+00
 1.55488E+00   1.3282E+00
 1.57439E+00   1.2829E+00
 1.59415E+00   1.3088E+00
 1.60212E+00   1.3760E+00
 1.61013E+00   1.4806E+00
 1.61414E+00   1.4836E+00
 1.61818E+00   1.4188E+00
 1.62627E+00   1.1864E+00
 1.63032E+00   1.1137E+00
 1.63440E+00   1.0858E+00
 1.66733E+00   1.0890E+00
 1.68405E+00   1.1612E+00
 1.70093E+00   1.1407E+00
 1.71798E+00   1.0385E+00
 1.73953E+00   1.0599E+00
 1.75697E+00   9.9430E-01
 1.91244E+00   8.1301E-01
 2.03547E+00   6.8494E-01
 2.16102E+00   5.8361E-01
 2.34053E+00   4.6591E-01
 2.42974E+00   4.1828E-01

2s3s3Se                      !Configuration name
0                            !Type of cross-section
1                            !Number of cross-section points
0.0000E+00

2s3s1Se                      !Configuration name
0                            !Type of cross-section
1                            !Number of cross-section points
0.0000E+00

2s3p1Po                      !Configuration name
0                            !Type of cross-section
1                            !Number of cross-section points
0.0000E+00

2s3p3Po                      !Configuration name
0                            !Type of cross-section
1                            !Number of cross-section points
0.0000E+00

2s3d3De                      !Configuration name
0                            !Type of cross-section
1                            !Number of cross-section points
0.0000E+00

2s3d1De                      !Configuration name
0                            !Type of cross-section
1                            !Number of cross-section points
0.0000E+00

2p3s3Po                      !Configuration name
20                           !Type of cross-section
148                          !Number of cross-section points
 1.00000E+00   1.1848E+00
 1.17891E+00   9.7032E-01
 1.30257E+00   8.8222E-01
 1.38637E+00   8.6855E-01
 1.43562E+00   9.0455E-01
 1.46821E+00   9.7525E-01
 1.49034E+00   1.0860E+00
 1.50153E+00   1.1889E+00
 1.51281E+00   1.3642E+00
 1.52037E+00   1.5612E+00
 1.52417E+00   1.7091E+00
 1.52797E+00   1.9216E+00
 1.53179E+00   2.2512E+00
 1.53561E+00   2.8284E+00
 1.53945E+00   3.9303E+00
 1.54329E+00   6.1680E+00
 1.54715E+00   1.0455E+01
 1.55101E+00   1.7904E+01
 1.55488E+00   2.8636E+01
 1.55876E+00   4.0998E+01
 1.56266E+00   5.1365E+01
 1.56655E+00   5.5440E+01
 1.57047E+00   5.1522E+01
 1.57439E+00   4.0890E+01
 1.57832E+00   2.7755E+01
 1.58226E+00   1.6226E+01
 1.58622E+00   8.2594E+00
 1.59017E+00   3.9512E+00
 1.59415E+00   1.9784E+00
 1.59812E+00   1.2354E+00
 1.60212E+00   9.3669E-01
 1.60611E+00   7.6523E-01
 1.61414E+00   4.6516E-01
 1.61818E+00   3.5002E-01
 1.62221E+00   2.7840E-01
 1.62627E+00   2.4496E-01
 1.63032E+00   2.3800E-01
 1.63848E+00   2.5341E-01
 1.65904E+00   2.9749E-01
 1.68825E+00   3.3261E-01
 1.73521E+00   3.6475E-01
 1.77017E+00   3.8388E-01
 1.77459E+00   3.9644E-01
 1.77902E+00   4.4614E-01
 1.78346E+00   6.3612E-01
 1.78792E+00   1.1948E+00
 1.79238E+00   2.5150E+00
 1.79686E+00   4.8305E+00
 1.80134E+00   7.8243E+00
 1.80584E+00   1.0369E+01
 1.81034E+00   1.1084E+01
 1.81487E+00   9.6161E+00
 1.82395E+00   3.9010E+00
 1.82849E+00   1.9391E+00
 1.83306E+00   9.0923E-01
 1.83764E+00   5.0962E-01
 1.84223E+00   3.8369E-01
 1.84682E+00   3.5484E-01
 1.86534E+00   3.5386E-01
 1.88875E+00   3.6998E-01
 1.90293E+00   3.8168E-01
 1.92681E+00   3.8562E-01
 1.93644E+00   4.0190E-01
 1.94127E+00   4.2969E-01
 1.94612E+00   5.0480E-01
 1.95098E+00   6.9928E-01
 1.95585E+00   1.1040E+00
 1.96073E+00   1.7658E+00
 1.96563E+00   2.5363E+00
 1.97054E+00   3.0659E+00
 1.97546E+00   3.0583E+00
 1.98039E+00   2.4957E+00
 1.98534E+00   1.7062E+00
 1.99029E+00   1.0379E+00
 1.99527E+00   6.2847E-01
 2.00024E+00   4.4591E-01
 2.00524E+00   3.8151E-01
 2.01024E+00   3.6742E-01
 2.01527E+00   3.7064E-01
 2.02029E+00   3.8693E-01
 2.02535E+00   4.2856E-01
 2.03040E+00   5.2777E-01
 2.03547E+00   7.1789E-01
 2.04565E+00   1.2771E+00
 2.05075E+00   1.4058E+00
 2.05588E+00   1.3030E+00
 2.06100E+00   1.0171E+00
 2.06616E+00   6.9705E-01
 2.07131E+00   4.5970E-01
 2.07649E+00   3.2910E-01
 2.08167E+00   2.8183E-01
 2.08687E+00   2.7662E-01
 2.10779E+00   3.1930E-01
 2.11305E+00   3.3637E-01
 2.11833E+00   3.6628E-01
 2.12361E+00   4.3299E-01
 2.12892E+00   5.8370E-01
 2.13423E+00   8.7308E-01
 2.13957E+00   1.2784E+00
 2.14490E+00   1.6560E+00
 2.15026E+00   1.8258E+00
 2.15563E+00   1.7162E+00
 2.16640E+00   1.1532E+00
 2.17182E+00   9.0299E-01
 2.17724E+00   6.9166E-01
 2.18268E+00   5.1532E-01
 2.18812E+00   3.9009E-01
 2.19359E+00   3.1687E-01
 2.19906E+00   2.8536E-01
 2.20456E+00   2.7626E-01
 2.21006E+00   2.7922E-01
 2.21558E+00   2.9248E-01
 2.22111E+00   3.2429E-01
 2.22666E+00   3.8993E-01
 2.23221E+00   5.1217E-01
 2.23780E+00   7.0678E-01
 2.24898E+00   1.2233E+00
 2.25459E+00   1.3540E+00
 2.26023E+00   1.2822E+00
 2.27153E+00   8.3360E-01
 2.27719E+00   8.0983E-01
 2.28289E+00   1.0796E+00
 2.28858E+00   1.6486E+00
 2.29430E+00   2.3311E+00
 2.30002E+00   2.7755E+00
 2.30577E+00   2.7117E+00
 2.31152E+00   2.1601E+00
 2.31730E+00   1.4541E+00
 2.32308E+00   9.0701E-01
 2.32889E+00   6.0651E-01
 2.33470E+00   4.9900E-01
 2.34053E+00   4.9408E-01
 2.34637E+00   5.5024E-01
 2.35224E+00   6.4246E-01
 2.35810E+00   7.5690E-01
 2.36400E+00   8.9036E-01
 2.38174E+00   1.3711E+00
 2.38770E+00   1.4844E+00
 2.41163E+00   1.7463E+00
 2.42369E+00   1.7402E+00
 2.46023E+00   1.6169E+00
 2.49732E+00   1.6204E+00
 2.74555E+00   1.2424E+00
 2.91489E+00   1.0626E+00
 3.14132E+00   8.6882E-01
 3.38535E+00   7.0331E-01
 3.63018E+00   5.7354E-01
 3.67572E+00   5.5324E-01

2s4s3Se                      !Configuration name
0                            !Type of cross-section
1                            !Number of cross-section points
0.0000E+00

2p3s1Po                      !Configuration name
20                           !Type of cross-section
213                          !Number of cross-section points
 1.00000E+00   1.0668E+00
 1.15275E+00   9.6059E-01
 1.25475E+00   9.4468E-01
 1.31563E+00   9.9326E-01
 1.33880E+00   1.0660E+00
 1.34885E+00   1.1367E+00
 1.35559E+00   1.2382E+00
 1.36237E+00   1.4341E+00
 1.36918E+00   1.7192E+00
 1.38291E+00   2.4099E+00
 1.38637E+00   2.5472E+00
 1.38982E+00   2.6125E+00
 1.39330E+00   2.5771E+00
 1.39677E+00   2.4269E+00
 1.40376E+00   1.9043E+00
 1.40727E+00   1.6326E+00
 1.41078E+00   1.4171E+00
 1.41430E+00   1.2720E+00
 1.41783E+00   1.1942E+00
 1.42138E+00   1.1615E+00
 1.43204E+00   1.1791E+00
 1.45002E+00   1.3164E+00
 1.46455E+00   1.4993E+00
 1.47555E+00   1.7095E+00
 1.48663E+00   2.0410E+00
 1.49406E+00   2.3852E+00
 1.49779E+00   2.6210E+00
 1.50153E+00   2.9227E+00
 1.50528E+00   3.3244E+00
 1.50904E+00   3.8737E+00
 1.51281E+00   4.6586E+00
 1.51659E+00   5.7906E+00
 1.52037E+00   7.4324E+00
 1.52417E+00   9.7547E+00
 1.52797E+00   1.2968E+01
 1.53179E+00   1.7108E+01
 1.53945E+00   2.6156E+01
 1.54329E+00   2.8673E+01
 1.54715E+00   2.8352E+01
 1.55101E+00   2.4948E+01
 1.55488E+00   1.9553E+01
 1.55876E+00   1.3738E+01
 1.56266E+00   8.7876E+00
 1.56655E+00   5.3232E+00
 1.57047E+00   3.1542E+00
 1.57439E+00   1.9310E+00
 1.57832E+00   1.2366E+00
 1.58226E+00   8.4888E-01
 1.58622E+00   6.1707E-01
 1.59017E+00   4.7735E-01
 1.59415E+00   3.8874E-01
 1.59812E+00   3.3379E-01
 1.60212E+00   2.9975E-01
 1.60611E+00   2.8122E-01
 1.61013E+00   2.7391E-01
 1.61414E+00   2.7626E-01
 1.61818E+00   2.8719E-01
 1.62221E+00   3.0743E-01
 1.62627E+00   3.3838E-01
 1.63032E+00   3.8384E-01
 1.63440E+00   4.4984E-01
 1.63848E+00   5.5113E-01
 1.64257E+00   7.1443E-01
 1.64667E+00   1.0148E+00
 1.65079E+00   1.6179E+00
 1.65490E+00   2.9261E+00
 1.65904E+00   5.5706E+00
 1.66318E+00   1.0351E+01
 1.66733E+00   1.7358E+01
 1.67149E+00   2.5324E+01
 1.67567E+00   3.1565E+01
 1.67985E+00   3.3197E+01
 1.68405E+00   2.9628E+01
 1.68825E+00   2.2492E+01
 1.69247E+00   1.4794E+01
 1.69669E+00   8.7728E+00
 1.70093E+00   4.9483E+00
 1.70517E+00   2.9418E+00
 1.70944E+00   1.9490E+00
 1.71370E+00   1.4718E+00
 1.71798E+00   1.2146E+00
 1.72227E+00   1.0608E+00
 1.72657E+00   9.5697E-01
 1.73088E+00   8.8463E-01
 1.73953E+00   7.9226E-01
 1.74823E+00   7.4309E-01
 1.76136E+00   7.2224E-01
 1.77017E+00   7.4155E-01
 1.77902E+00   7.9972E-01
 1.78346E+00   8.5474E-01
 1.78792E+00   9.4247E-01
 1.79238E+00   1.0997E+00
 1.79686E+00   1.4051E+00
 1.80134E+00   2.0483E+00
 1.80584E+00   3.3143E+00
 1.81034E+00   5.5270E+00
 1.81940E+00   1.1810E+01
 1.82395E+00   1.3841E+01
 1.82849E+00   1.3625E+01
 1.83306E+00   1.1351E+01
 1.83764E+00   8.0881E+00
 1.84223E+00   5.0807E+00
 1.84682E+00   2.9965E+00
 1.85144E+00   1.7837E+00
 1.85606E+00   1.1840E+00
 1.86070E+00   8.9475E-01
 1.86534E+00   7.5696E-01
 1.87000E+00   6.8413E-01
 1.87467E+00   6.4341E-01
 1.88404E+00   6.0588E-01
 1.89346E+00   5.9993E-01
 1.89819E+00   6.0849E-01
 1.90293E+00   6.3296E-01
 1.90768E+00   6.8735E-01
 1.91244E+00   7.9074E-01
