**********************************************************************
**********************************************************************

 Photoionization cross-sections for FeIV
 Smoothe Opacity project (3000km/s) and crude hydrogenic when 
 unavailable.

**********************************************************************
**********************************************************************

04-Nov-2000 00:04:27                   !Date
383                                    !Number of energy levels
1                                      !Number of photoionization routes
4.0                                    !Screened nuclear charge
3d4_5De                                !Final state in ion
0.0                                    !Excitation energy of final state
25.0                                   !Statistical weight of ion
Megabarns                              !Cross-section unit
False                                  !Split J levels
14741                                  !Total number of data pairs


3d4(5D)4s_6De                          !Configuration name
20                                     !Type of cross-section
21                                     !Number of cross-section points
 1.000D+00 1.915D-01
 1.348D+00 1.447D-01
 1.721D+00 1.086D-01
 2.153D+00 8.107D-02
 2.627D+00 6.179D-02
 3.190D+00 4.707D-02
 3.893D+00 3.527D-02
 4.704D+00 2.668D-02
 5.712D+00 2.026D-02
 6.732D+00 1.586D-02
 7.363D+00 1.223D-02
 7.934D+00 9.779D-03
 8.506D+00 7.934D-03
 9.030D+00 6.632D-03
 9.538D+00 5.627D-03
 1.054D+01 4.174D-03
 1.141D+01 3.286D-03
 1.217D+01 2.707D-03
 1.352D+01 1.978D-03
 1.442D+01 1.629D-03
 1.500D+01 1.470D-03

3d4(5D)4s_4De                          !Configuration name
20                                     !Type of cross-section
21                                     !Number of cross-section points
 1.000D+00 1.819D-01
 1.453D+00 1.219D-01
 1.836D+00 9.000D-02
 2.153D+00 7.210D-02
 2.627D+00 5.443D-02
 3.206D+00 4.093D-02
 3.912D+00 3.059D-02
 4.727D+00 2.313D-02
 5.827D+00 1.726D-02
 6.901D+00 1.354D-02
 7.548D+00 1.048D-02
 8.134D+00 8.373D-03
 8.721D+00 6.793D-03
 9.258D+00 5.679D-03
 9.779D+00 4.819D-03
 1.086D+01 3.521D-03
 1.176D+01 2.772D-03
 1.254D+01 2.283D-03
 1.393D+01 1.669D-03
 1.486D+01 1.374D-03
 1.546D+01 1.245D-03

3d4(3P2)4s_4Pe                         !Configuration name
20                                     !Type of cross-section
29                                     !Number of cross-section points
 1.000D+00 2.013D-01
 1.005D+00 1.806D-01
 1.015D+00 1.283D-01
 1.020D+00 1.196D-01
 1.025D+00 1.296D-01
 1.035D+00 1.709D-01
 1.041D+00 1.843D-01
 1.056D+00 1.936D-01
 1.179D+00 1.811D-01
 1.355D+00 1.554D-01
 1.721D+00 1.181D-01
 2.100D+00 9.168D-02
 2.601D+00 6.874D-02
 3.222D+00 5.102D-02
 3.971D+00 3.780D-02
 4.822D+00 2.836D-02
 5.885D+00 2.132D-02
 7.253D+00 1.577D-02
 7.934D+00 1.220D-02
 8.506D+00 9.896D-03
 9.075D+00 8.150D-03
 9.634D+00 6.813D-03
 1.018D+01 5.781D-03
 1.124D+01 4.288D-03
 1.217D+01 3.377D-03
 1.299D+01 2.780D-03
 1.442D+01 2.032D-03
 1.538D+01 1.674D-03
 1.593D+01 1.536D-03

3d4(3H)4s_4He                          !Configuration name
20                                     !Type of cross-section
29                                     !Number of cross-section points
 1.000D+00 3.492D-01
 1.005D+00 3.111D-01
 1.015D+00 1.910D-01
 1.020D+00 1.490D-01
 1.025D+00 1.374D-01
 1.030D+00 1.490D-01
 1.041D+00 1.832D-01
 1.046D+00 1.912D-01
 1.056D+00 1.951D-01
 1.512D+00 1.381D-01
 1.891D+00 1.053D-01
 2.343D+00 7.928D-02
 2.845D+00 6.076D-02
 3.472D+00 4.594D-02
 4.216D+00 3.467D-02
 5.094D+00 2.622D-02
 6.185D+00 1.992D-02
 7.253D+00 1.579D-02
 7.973D+00 1.205D-02
 8.591D+00 9.632D-03
 9.211D+00 7.814D-03
 9.779D+00 6.532D-03
 1.033D+01 5.542D-03
 1.141D+01 4.111D-03
 1.242D+01 3.189D-03
 1.325D+01 2.626D-03
 1.471D+01 1.919D-03
 1.569D+01 1.581D-03
 1.625D+01 1.451D-03

3d4(3F2)4s_4Fe                         !Configuration name
20                                     !Type of cross-section
38                                     !Number of cross-section points
 1.000D+00 1.464D-01
 1.005D+00 1.721D-01
 1.010D+00 1.805D-01
 1.015D+00 1.660D-01
 1.025D+00 1.053D-01
 1.030D+00 8.919D-02
 1.041D+00 8.283D-02
 1.046D+00 7.391D-02
 1.051D+00 6.179D-02
 1.056D+00 5.731D-02
 1.062D+00 7.245D-02
 1.067D+00 1.132D-01
 1.078D+00 2.270D-01
 1.083D+00 2.566D-01
 1.088D+00 2.553D-01
 1.099D+00 2.139D-01
 1.105D+00 1.994D-01
 1.116D+00 1.891D-01
 1.621D+00 1.279D-01
 1.978D+00 9.983D-02
 2.487D+00 7.368D-02
 3.112D+00 5.402D-02
 3.854D+00 3.982D-02
 4.727D+00 2.948D-02
 5.798D+00 2.196D-02
 7.326D+00 1.560D-02
 8.053D+00 1.186D-02
 8.721D+00 9.342D-03
 9.350D+00 7.579D-03
 9.975D+00 6.242D-03
 1.059D+01 5.218D-03
 1.119D+01 4.427D-03
 1.230D+01 3.333D-03
 1.331D+01 2.625D-03
 1.413D+01 2.194D-03
 1.561D+01 1.627D-03
 1.658D+01 1.361D-03
 1.708D+01 1.278D-03

3d4(3G)4s_4Ge                          !Configuration name
20                                     !Type of cross-section
32                                     !Number of cross-section points
 1.000D+00 1.247D-01
 1.005D+00 9.697D-02
 1.010D+00 7.916D-02
 1.015D+00 7.391D-02
 1.020D+00 7.916D-02
 1.035D+00 1.077D-01
 1.041D+00 1.134D-01
 1.056D+00 1.210D-01
 1.062D+00 1.312D-01
 1.078D+00 1.846D-01
 1.088D+00 2.014D-01
 1.116D+00 1.909D-01
 1.629D+00 1.292D-01
 1.988D+00 1.009D-01
 2.499D+00 7.454D-02
 3.127D+00 5.472D-02
 3.893D+00 4.007D-02
 4.774D+00 2.966D-02
 5.856D+00 2.210D-02
 7.399D+00 1.569D-02
 8.134D+00 1.193D-02
 8.808D+00 9.397D-03
 9.444D+00 7.623D-03
 1.008D+01 6.279D-03
 1.070D+01 5.248D-03
 1.130D+01 4.453D-03
 1.242D+01 3.353D-03
 1.338D+01 2.680D-03
 1.428D+01 2.207D-03
 1.577D+01 1.637D-03
 1.674D+01 1.369D-03
 1.725D+01 1.286D-03

3d4(3P2)4s_2Pe                         !Configuration name
20                                     !Type of cross-section
33                                     !Number of cross-section points
 1.000D+00 1.797D-03
 1.005D+00 5.146D-03
 1.010D+00 1.313D-02
 1.015D+00 2.939D-02
 1.020D+00 5.614D-02
 1.030D+00 1.273D-01
 1.035D+00 1.561D-01
 1.041D+00 1.740D-01
 1.046D+00 1.828D-01
 1.056D+00 1.868D-01
 1.067D+00 1.865D-01
 1.078D+00 1.869D-01
 1.295D+00 1.566D-01
 1.729D+00 1.113D-01
 2.089D+00 8.652D-02
 2.601D+00 6.392D-02
 3.238D+00 4.685D-02
 4.011D+00 3.437D-02
 4.895D+00 2.558D-02
 5.973D+00 1.927D-02
 7.399D+00 1.421D-02
 8.134D+00 1.082D-02
 8.808D+00 8.522D-03
 9.444D+00 6.914D-03
 1.008D+01 5.694D-03
 1.070D+01 4.760D-03
 1.130D+01 4.039D-03
 1.242D+01 3.041D-03
 1.345D+01 2.394D-03
 1.428D+01 2.001D-03
 1.577D+01 1.485D-03
 1.674D+01 1.241D-03
 1.725D+01 1.158D-03

3d4(3H)4s_2He                          !Configuration name
20                                     !Type of cross-section
30                                     !Number of cross-section points
 1.000D+00 1.896D-03
 1.005D+00 5.403D-03
 1.010D+00 1.370D-02
 1.015D+00 3.046D-02
 1.020D+00 5.778D-02
 1.030D+00 1.294D-01
 1.035D+00 1.579D-01
 1.041D+00 1.754D-01
 1.046D+00 1.839D-01
 1.056D+00 1.874D-01
 1.581D+00 1.240D-01
 1.998D+00 9.190D-02
 2.343D+00 7.379D-02
 2.859D+00 5.582D-02
 3.489D+00 4.201D-02
 4.258D+00 3.142D-02
 5.170D+00 2.360D-02
 6.310D+00 1.785D-02
 7.399D+00 1.421D-02
 8.134D+00 1.083D-02
 8.764D+00 8.659D-03
 9.397D+00 7.025D-03
 1.003D+01 5.785D-03
 1.059D+01 4.909D-03
 1.176D+01 3.587D-03
 1.279D+01 2.783D-03
 1.372D+01 2.258D-03
 1.523D+01 1.650D-03
 1.625D+01 1.358D-03
 1.691D+01 1.231D-03

3d4(3F2)4s_2Fe                         !Configuration name
20                                     !Type of cross-section
36                                     !Number of cross-section points
 1.000D+00 3.002D-03
 1.005D+00 8.512D-03
 1.010D+00 2.099D-02
 1.015D+00 4.419D-02
 1.025D+00 1.123D-01
