
******************************************************************************

       Energy levels and statistical weights for FeV   

 Data is from K Butler, Priv. Com. Feb 95   
 Date data calculated: 20-Jun-1989                             

 This data file was written by the program:
 Uhaul:/export/home1/users/dlmiller/atomic/create/mk_data_file.f
 See the comments in this routine for more information.  DLM

  Config        Statistical   Energy  Ionization
                  Weight      (cm-1)  Energy(eV)
******************************************************************************

28-Jun-1995                             !Date
182                                     !Number of energy levels
605000.0000                             !Ionization energy (cm-1)
5.0                                     !Screened nuclear charge
3800                                    !Number of transitions

3d4(4)5De[0]        1.         0.0000   75.00722
3d4(4)5De[1]        3.       142.1000   74.98960
3d4(4)5De[2]        5.       417.3000   74.95549
3d4(4)5De[3]        7.       803.1000   74.90765
3d4(4)5De[4]        9.      1282.8000   74.84818
3d4(4)3Pe[0]        1.     24055.4000   72.02486
3d4(4)3He[4]        9.     24932.5000   71.91612
3d4(4)3Pe[1]        3.     24972.9000   71.91111
3d4(4)3He[5]       11.     25225.9000   71.87974
3d4(4)3He[6]       13.     25528.5000   71.84223
3d4(4)3Pe[2]        5.     26468.3000   71.72571
3d4(4)3Fe[2]        5.     26760.7000   71.68946
3d4(4)3Fe[3]        7.     26842.3000   71.67934
3d4(4)3Fe[4]        9.     26974.0000   71.66302
3d4(4)3Ge[3]        7.     29817.1000   71.31053
3d4(4)3Ge[4]        9.     30147.0000   71.26963
3d4(4)3Ge[5]       11.     30430.1000   71.23453
3d4(4)1Ge[4]        9.     36586.3000   70.47129
3d4(4)3De[3]        7.     36630.1000   70.46586
3d4(4)3De[2]        5.     36758.5000   70.44994
3d4(4)3De[1]        3.     36925.4000   70.42925
3d41Ie[6]          13.     37511.7000   70.35656
3d4(4)1Se[0]        1.     39633.4000   70.09352
3d4(4)1De[2]        5.     46291.2000   69.26809
3d4(4)1Fe[3]        7.     52732.7000   68.46948
3d4(2)3Pe[2]        5.     61854.4000   67.33858
3d4(2)3Fe[4]        9.     62238.1000   67.29101
3d4(2)3Fe[2]        5.     62321.1000   67.28072
3d4(2)3Fe[3]        7.     62364.4000   67.27535
3d4(2)3Pe[1]        3.     62914.2000   67.20719
