
******************************************************************************

       Photoionization cross-sections for Fe VIII

>> Data is from the Opacity project
>>   Verner high energy tail included for gnd level
>>   Smoothed with a gausian of width 3000 km/sec

          Types of cross sections included:
         -----------------------------------

          20 - Opacity Project: smoothed [number of data pairs]         

******************************************************************************

08-May-1997                             !Date
153                                     !Number of energy levels
1                                       !Number of photoionization routes
8.0                                     !Screened nuclear charge
3s2_3p6_1Se                             !Final state in ion
0.0                                     !Excitation energy of final state
1.0                                     !Statistical weight of ion
3000.0                                  !Sigma used for Gaussian smoothing (km/s)
Megabarns                               !Cross-section unit
False                                   !Split J levels
30633                                   !Total number of data pairs

3p63d2De                            !Configuration name
20                                      !Type of cross-section
173                                     !Number of cross-section points
 1.000D+00 7.333D-01
 1.005D+00 7.686D-01
 1.010D+00 8.739D-01
 1.015D+00 1.052D+00
 1.030D+00 2.266D+00
 1.035D+00 2.682D+00
 1.041D+00 2.745D+00
 1.046D+00 2.411D+00
 1.051D+00 1.847D+00
 1.056D+00 1.328D+00
 1.062D+00 1.018D+00
 1.067D+00 8.919D-01
 1.072D+00 8.831D-01
 1.078D+00 9.075D-01
 1.083D+00 9.162D-01
 1.088D+00 8.876D-01
 1.099D+00 7.539D-01
 1.105D+00 7.046D-01
 1.110D+00 6.895D-01
 1.116D+00 7.097D-01
 1.121D+00 7.452D-01
 1.127D+00 7.748D-01
 1.133D+00 7.798D-01
 1.144D+00 7.313D-01
 1.150D+00 7.439D-01
 1.161D+00 9.116D-01
 1.167D+00 9.761D-01
 1.173D+00 9.529D-01
 1.179D+00 8.657D-01
 1.184D+00 7.797D-01
 1.190D+00 7.425D-01
 1.196D+00 7.515D-01
 1.202D+00 7.683D-01
 1.208D+00 7.732D-01
 1.214D+00 7.741D-01
 1.220D+00 7.842D-01
 1.226D+00 8.081D-01
 1.233D+00 8.521D-01
 1.239D+00 9.351D-01
 1.245D+00 1.101D+00
 1.257D+00 1.757D+00
 1.264D+00 2.084D+00
 1.270D+00 2.172D+00
 1.276D+00 1.995D+00
 1.283D+00 1.688D+00
 1.289D+00 1.451D+00
 1.295D+00 1.381D+00
 1.302D+00 1.426D+00
 1.308D+00 1.512D+00
 1.315D+00 1.586D+00
 1.322D+00 1.636D+00
 1.335D+00 1.696D+00
 1.341D+00 1.726D+00
 1.348D+00 1.774D+00
 1.362D+00 1.968D+00
 1.368D+00 2.082D+00
 1.375D+00 2.128D+00
 1.382D+00 2.071D+00
 1.396D+00 1.770D+00
 1.403D+00 1.669D+00
 1.410D+00 1.638D+00
