 
******************************************************************************
 
       Photoionization cross-sections for Na I
 
>> Data is from the Opacity project
>>   Verner high energy tail included for gnd level
>>   Smoothed with a gausian of width 3000 km/sec
 
          Types of cross sections included:
         -----------------------------------

   20 - Opacity Project: smoothed [Sigma=3000 km/s]
    2 - Hydrogenic: Split l (z states, n > 11)
    3 - Hydrogenic: Pure n level (all l, n >= 13)

******************************************************************************
 
24-May-1996                             !Date
65                                      !Number of energy levels
1                                       !Number of photoionization routes
1.0                                     !Screened nuclear charge
2s22p61Se/2p6_1Se                       !Final state in ion
0.0                                     !Excitation energy of final state
1.0                                     !Statistical weight of ion
3000.0                                  !Sigma used for Gaussian smoothing (km/s)
Megabarns                               !Cross-section unit
False                                   !Split J levels
5608                                    !Total number of data pairs
 
3s2Se                                   !Configuration name
20                                      !Type of cross-section
89                                      !Number of cross-section points
1.0000D+00 9.293D-02
1.0050D+00 9.182D-02
1.0252D+00 7.400D-02
1.0669D+00 3.964D-02
1.0992D+00 2.219D-02
1.1269D+00 1.214D-02
1.1496D+00 6.575D-03
1.1669D+00 3.650D-03
1.1904D+00 1.243D-03
1.2023D+00 6.080D-04
1.2083D+00 4.192D-04
1.2143D+00 3.064D-04
1.2204D+00 2.774D-04
1.2265D+00 3.227D-04
1.2326D+00 4.419D-04
1.2511D+00 1.213D-03
1.3282D+00 1.044D-02
1.3348D+00 1.137D-02
1.3414D+00 1.230D-02
1.3481D+00 1.323D-02
1.4672D+00 3.208D-02
1.4745D+00 3.336D-02
1.4967D+00 3.726D-02
1.5968D+00 5.394D-02
1.6048D+00 5.522D-02
1.6128D+00 5.650D-02
1.6208D+00 5.779D-02
1.7378D+00 7.465D-02
1.7465D+00 7.578D-02
1.9584D+00 9.861D-02
2.2179D+00 1.152D-01
2.3545D+00 1.203D-01
2.4870D+00 1.236D-01
2.6533D+00 1.259D-01
2.7611D+00 1.267D-01
2.7749D+00 1.267D-01
2.8027D+00 1.267D-01
2.8307D+00 1.268D-01
2.8448D+00 1.268D-01
2.8591D+00 1.268D-01
2.8733D+00 1.268D-01
2.8877D+00 1.268D-01
2.9901D+00 1.264D-01
3.2059D+00 1.246D-01
3.6489D+00 1.178D-01
3.8352D+00 1.121D-01
3.9713D+00 1.075D-01
4.1120D+00 1.044D-01
4.1326D+00 1.040D-01
4.2157D+00 1.023D-01
4.2367D+00 1.019D-01
5.4342D+00 8.021D-02
6.9703D+00 6.024D-02
7.2175D+00 5.770D-02
7.3627D+00 5.601D-02
7.5108D+00 5.308D-02
9.6337D+00 3.774D-02
1.2357D+01 2.685D-02
1.5849D+01 1.883D-02
2.0329D+01 1.307D-02
2.6075D+01 8.993D-03
3.3446D+01 6.152D-03
4.2899D+01 4.189D-03
5.5025D+01 2.842D-03
7.0577D+01 1.922D-03
9.0526D+01 1.298D-03
1.1611D+02 8.743D-04
1.4893D+02 5.883D-04
1.9103D+02 3.954D-04
2.4502D+02 2.655D-04
3.1428D+02 1.782D-04
4.0311D+02 1.195D-04
5.1705D+02 8.006D-05
6.6320D+02 5.363D-05
8.5065D+02 3.590D-05
1.0911D+03 2.402D-05
1.3995D+03 1.607D-05
1.7951D+03 1.074D-05
2.3024D+03 7.177D-06
2.9532D+03 4.793D-06
3.7880D+03 3.198D-06
4.8586D+03 2.133D-06
6.2319D+03 1.421D-06
7.9934D+03 9.464D-07
1.0253D+04 6.295D-07
1.3151D+04 4.183D-07
1.6868D+04 2.776D-07
1.9103D+04 2.260D-07
1.9487D+04 2.172D-07

3p2Po                                   !Configuration name
20                                      !Type of cross-section
74                                      !Number of cross-section points
1.0000D+00 7.251D+00
1.0050D+00 7.225D+00
1.0303D+00 6.649D+00
1.0938D+00 5.205D+00
1.1611D+00 4.067D+00
1.2326D+00 3.161D+00
1.3085D+00 2.450D+00
1.3890D+00 1.893D+00
1.4745D+00 1.482D+00
1.5268D+00 1.313D+00
1.5889D+00 1.114D+00
1.6128D+00 1.037D+00
1.6289D+00 9.849D-01
1.6783D+00 8.355D-01
1.7640D+00 6.909D-01
1.7994D+00 6.366D-01
1.8265D+00 5.951D-01
1.8448D+00 5.671D-01
1.9008D+00 4.850D-01
1.9878D+00 4.086D-01
2.0077D+00 3.931D-01
2.0278D+00 3.774D-01
2.0380D+00 3.695D-01
2.0481D+00 3.616D-01
2.0686D+00 3.456D-01
2.1313D+00 2.993D-01
2.2401D+00 2.503D-01
2.2513D+00 2.456D-01
2.2625D+00 2.409D-01
2.2852D+00 2.315D-01
2.3545D+00 2.037D-01
2.4870D+00 1.704D-01
2.4994D+00 1.676D-01
2.6533D+00 1.382D-01
2.7067D+00 1.311D-01
2.7202D+00 1.293D-01
