
******************************************************************************

       Photoionization cross-sections for Ne VIII

>> Data is from the Opacity project
>>   Smoothed with a gausian of width 2999 km/sec

          Types of cross sections included:
         -----------------------------------

           1 - Seaton formula fit [sigma_o,alpha,beta]                  

          20 - Opacity Project: smoothed [number of data pairs]         

******************************************************************************

19-Jun-2001                             !Date
53                                      !Number of energy levels
1                                       !Number of photoionization routes
8.0                                     !Screened nuclear charge
1s2_1Se                                 !Final state in ion
0.0                                     !Excitation energy of final state
1.0                                     !Statistical weight of ion
3000.0                                  !Sigma used for Gaussian smoothing (km/s)
Megabarns                               !Cross-section unit
False                                   !Split J levels
918                                     !Total number of data pairs

2s_2Se                                  !Configuration name
20                                      !Type of cross-section
39                                      !Number of cross-section points
 1.000D+00 1.972D-01
 1.179D+00 1.461D-01
 1.355D+00 1.114D-01
 1.550D+00 8.465D-02
 1.863D+00 5.618D-02
 2.274D+00 3.707D-02
 2.693D+00 2.570D-02
 3.112D+00 1.864D-02
 3.524D+00 1.404D-02
 3.971D+00 1.063D-02
 4.365D+00 8.505D-03
 4.634D+00 7.448D-03
 4.657D+00 7.539D-03
 4.680D+00 8.229D-03
 4.704D+00 1.075D-02
 4.727D+00 1.740D-02
 4.751D+00 3.100D-02
 4.774D+00 5.260D-02
 4.822D+00 1.079D-01
 4.846D+00 1.309D-01
 4.870D+00 1.460D-01
 4.919D+00 1.563D-01
 5.712D+00 1.090D-01
 6.063D+00 9.348D-02
 6.833D+00 6.851D-02
 7.624D+00 5.130D-02
 8.422D+00 3.930D-02
 9.211D+00 3.083D-02
 9.975D+00 2.480D-02
 1.075D+01 2.018D-02
 1.152D+01 1.663D-02
 1.223D+01 1.407D-02
 1.372D+01 1.019D-02
 1.500D+01 7.891D-03
 1.609D+01 6.460D-03
 1.699D+01 5.515D-03
 1.868D+01 4.190D-03
 1.954D+01 3.680D-03
 2.003D+01 3.524D-03
2p_2Po                                  !Configuration name
20                                      !Type of cross-section
33                                      !Number of cross-section points
 1.000D+00 2.198D-01
 1.110D+00 1.644D-01
 1.190D+00 1.331D-01
 1.289D+00 1.042D-01
 1.389D+00 8.301D-02
 1.489D+00 6.688D-02
 1.597D+00 5.380D-02
 1.704D+00 4.385D-02
 1.817D+00 3.571D-02
 1.920D+00 2.993D-02
 2.038D+00 2.469D-02
 2.153D+00 2.065D-02
 2.263D+00 1.750D-02
 2.378D+00 1.484D-02
 2.627D+00 1.059D-02
 2.775D+00 8.821D-03
 2.917D+00 7.432D-03
 3.206D+00 5.400D-03
 3.489D+00 4.030D-03
 3.778D+00 3.051D-03
