 
******************************************************************************
 
       Photoionization cross-sections for N III
 
>> Data is from the Opacity project
>>   Verner high energy tail included for gnd level
>>   Smoothed with a gausian of width  500 km/sec
 
          Types of cross sections included:
         -----------------------------------

           1 - Seaton formula fit [sigma_o,alpha,beta]                  

          20 - Opacity Project: smoothed [number of data pairs]         
 
******************************************************************************
 
30-Jan-2003                             !Date
231                                     !Number of energy levels
1                                       !Number of photoionization routes
3.0                                     !Screened nuclear charge
2s2_1Se/2s2s1Se                         !Final state in ion
0.0                                     !Excitation energy of final state
1.0                                     !Statistical weight of ion
500.0                                   !Sigma used for Gaussian smoothing (km/s)
Megabarns                               !Cross-section unit
False                                   !Split J levels
31185                                   !Total number of data pairs
 
2s2_2p_2Po                              !Configuration name
20                                      !Type of cross-section
240                                     !Number of cross-section points
1.00000E+00 1.149E+00
1.00501E+00 1.623E+00
1.00753E+00 1.761E+00
1.01173E+00 1.845E+00
1.05302E+00 2.206E+00
1.05565E+00 2.268E+00
1.05653E+00 2.361E+00
1.05741E+00 2.609E+00
1.05829E+00 3.221E+00
1.05918E+00 4.462E+00
1.06094E+00 8.391E+00
1.06183E+00 9.461E+00
1.06271E+00 8.835E+00
1.06360E+00 6.838E+00
1.06449E+00 4.593E+00
1.06537E+00 3.039E+00
1.06626E+00 2.353E+00
1.06715E+00 2.192E+00
1.06893E+00 2.103E+00
1.07160E+00 1.816E+00
1.07339E+00 1.777E+00
1.08870E+00 1.857E+00
1.09325E+00 1.795E+00
1.09507E+00 1.814E+00
1.09690E+00 1.935E+00
1.09781E+00 2.097E+00
1.09964E+00 2.667E+00
1.10056E+00 2.869E+00
1.10148E+00 2.821E+00
1.10424E+00 1.822E+00
1.10516E+00 1.664E+00
1.10608E+00 1.620E+00
1.11440E+00 1.821E+00
1.11533E+00 1.911E+00
1.11626E+00 2.158E+00
1.11719E+00 2.742E+00
1.11812E+00 3.799E+00
1.11905E+00 5.161E+00
1.11999E+00 6.233E+00
1.12092E+00 6.367E+00
1.12186E+00 5.452E+00
1.12279E+00 4.029E+00
1.12373E+00 2.789E+00
1.12466E+00 2.050E+00
1.12560E+00 1.740E+00
1.12654E+00 1.660E+00
1.12936E+00 1.786E+00
1.13030E+00 1.921E+00
1.13313E+00 2.625E+00
1.13407E+00 2.642E+00
1.13502E+00 2.434E+00
1.13691E+00 1.855E+00
1.13786E+00 1.758E+00
1.13881E+00 1.886E+00
1.13976E+00 2.295E+00
1.14166E+00 3.746E+00
1.14261E+00 4.204E+00
1.14356E+00 4.075E+00
1.14547E+00 2.759E+00
1.14642E+00 2.310E+00
1.14738E+00 2.197E+00
1.14834E+00 2.302E+00
1.15217E+00 2.969E+00
1.15505E+00 3.671E+00
1.15794E+00 3.791E+00
1.16084E+00 4.198E+00
1.16181E+00 4.021E+00
1.16375E+00 3.201E+00
1.16472E+00 2.881E+00
1.16666E+00 2.627E+00
1.16861E+00 2.603E+00
1.18232E+00 2.708E+00
1.18923E+00 2.465E+00
1.19320E+00 2.439E+00
1.19918E+00 2.462E+00
1.20118E+00 2.405E+00
1.20419E+00 2.148E+00
1.20519E+00 2.144E+00
1.20922E+00 2.347E+00
1.21224E+00 2.402E+00
1.21427E+00 2.374E+00
1.22341E+00 2.679E+00
1.22647E+00 2.707E+00
1.22851E+00 2.644E+00
1.23364E+00 2.287E+00
1.23776E+00 2.228E+00
1.25437E+00 2.240E+00
1.26066E+00 2.165E+00
1.26487E+00 2.394E+00
1.26909E+00 2.183E+00
1.27121E+00 2.157E+00
1.27971E+00 2.195E+00
1.28719E+00 2.393E+00
1.29580E+00 2.122E+00
1.29796E+00 2.309E+00
1.30121E+00 2.831E+00
1.30230E+00 2.814E+00
1.30556E+00 2.218E+00
1.30664E+00 2.094E+00
1.30773E+00 2.054E+00
1.31210E+00 2.201E+00
1.31429E+00 2.176E+00
1.31868E+00 2.300E+00
1.32198E+00 2.268E+00
1.32860E+00 2.400E+00
1.33193E+00 2.321E+00
1.33749E+00 1.873E+00
1.34083E+00 1.776E+00
1.35205E+00 2.180E+00
1.35431E+00 2.214E+00
1.37363E+00 1.795E+00
1.37477E+00 1.797E+00
1.37936E+00 1.772E+00
1.38281E+00 1.869E+00
1.38975E+00 2.274E+00
1.39206E+00 2.197E+00
1.39555E+00 1.850E+00
1.39787E+00 1.781E+00
1.40137E+00 1.770E+00
1.40840E+00 1.969E+00
1.41310E+00 1.748E+00
1.41546E+00 1.722E+00
1.41782E+00 1.793E+00
1.42136E+00 2.007E+00
1.42255E+00 2.017E+00
1.42611E+00 1.853E+00
1.42849E+00 1.819E+00
1.42968E+00 1.820E+00
1.43326E+00 1.783E+00
1.44164E+00 1.903E+00
1.44887E+00 1.806E+00
1.45491E+00 1.886E+00
1.46099E+00 1.752E+00
1.46343E+00 1.767E+00
1.46831E+00 1.725E+00
1.47199E+00 1.755E+00
2.18851E+00 8.903E-01
2.54476E+00 5.855E-01
3.44065E+00 3.181E-01
4.34109E+00 1.951E-01
5.24495E+00 1.294E-01
6.14974E+00 9.079E-02
7.05021E+00 6.653E-02
7.96885E+00 5.011E-02
8.85833E+00 3.906E-02
9.70052E+00 3.158E-02
9.71670E+00 3.320E-02
9.72479E+00 3.827E-02
9.73290E+00 5.243E-02
9.74101E+00 8.320E-02
9.74914E+00 1.355E-01
9.76540E+00 2.781E-01
9.77353E+00 3.379E-01
9.78168E+00 3.766E-01
9.81434E+00 4.359E-01
9.83890E+00 4.938E-01
9.85531E+00 5.033E-01
9.87998E+00 4.896E-01
1.04908E+01 4.850E-02
1.05083E+01 3.715E-02
1.05171E+01 3.264E-02
1.05259E+01 2.929E-02
1.05434E+01 2.600E-02
1.05698E+01 2.514E-02
1.13172E+01 2.115E-02
1.21377E+01 1.769E-02
1.32033E+01 1.424E-02
1.41842E+01 1.182E-02
1.52125E+01 9.832E-03
1.63017E+01 8.186E-03
1.74545E+01 6.819E-03
1.87043E+01 5.660E-03
2.00436E+01 4.690E-03
2.14788E+01 3.881E-03
2.30168E+01 3.206E-03
2.46649E+01 2.645E-03
2.63211E+01 2.206E-03
2.77397E+01 1.902E-03
2.95777E+01 1.586E-03
3.11199E+01 1.372E-03
3.31819E+01 1.142E-03
3.49120E+01 9.862E-04
3.72253E+01 8.191E-04
3.91662E+01 7.064E-04
4.17614E+01 5.856E-04
4.39388E+01 5.043E-04
4.61144E+01 4.373E-04
4.90472E+01 3.643E-04
5.16475E+01 3.123E-04
5.41597E+01 2.710E-04
5.76041E+01 2.252E-04
6.06581E+01 1.927E-04
