 
******************************************************************************
 
       Photoionization cross-sections for O I
 
 Data is from the Opacity project
   Verner high energy tail included for gnd level
   Smoothed with a gausian of width 3000 km/sec
 
          Types of cross sections included:
         -----------------------------------

           1 - Seaton formula fit [sigma_o,alpha,beta]                  
           2 - Hydrogenic (n,l)
           3 - Hydrogenic (n)
          20 - Opacity Project: smoothed [number of data pairs]         

 [Reference] O\,{\sc i} photoionization cross-sections were computed as part of the opacity project
 [Reference] \citep{Sea87_OP} and were obtained from \citep{Topbase93}.
 
******************************************************************************
 
 6-Oct-1999                             !Date
69                                      !Number of energy levels
1                                       !Number of photoionization routes
1.0                                     !Screened nuclear charge
2s2_2p3_4So/2p^3_4So                    !Final state in ion
0.0                                     !Excitation energy of final state
4.0                                     !Statistical weight of ion
3000.0                                  !Sigma used for Gaussian smoothing (km/s)
Megabarns                               !Cross-section unit
False                                   !Split J levels
11368                                   !Total number of data pairs
 
2s2_2p4_3Pe                             !Configuration name
20                                      !Type of cross-section
133                                     !Number of cross-section points
 1.000D+00 3.844D+00
 1.094D+00 3.785D+00
 1.105D+00 3.952D+00
 1.121D+00 4.509D+00
 1.133D+00 4.591D+00
 1.161D+00 4.137D+00
 1.167D+00 4.249D+00
 1.179D+00 4.791D+00
 1.202D+00 6.752D+00
 1.208D+00 6.822D+00
 1.214D+00 6.695D+00
 1.220D+00 6.747D+00
 1.226D+00 7.250D+00
 1.245D+00 9.930D+00
 1.257D+00 1.041D+01
 1.276D+00 9.936D+00
 1.302D+00 1.038D+01
 1.315D+00 1.030D+01
 1.341D+00 1.055D+01
 1.382D+00 1.155D+01
 1.827D+00 1.227D+01
 1.854D+00 1.251D+01
 1.882D+00 1.331D+01
 1.891D+00 1.323D+01
 1.920D+00 1.160D+01
 1.939D+00 1.130D+01
 1.988D+00 1.189D+01
 2.343D+00 1.022D+01
 2.817D+00 8.504D+00
 3.542D+00 6.397D+00
 3.971D+00 5.363D+00
 4.634D+00 4.201D+00
 5.274D+00 3.343D+00
 5.944D+00 2.676D+00
 6.665D+00 2.142D+00
 7.436D+00 1.717D+00
 8.256D+00 1.380D+00
 9.120D+00 1.115D+00
 1.008D+01 8.950D-01
 1.107D+01 7.230D-01
 1.217D+01 5.814D-01
 1.331D+01 4.710D-01
 1.456D+01 3.801D-01
 1.585D+01 3.094D-01
 1.725D+01 2.510D-01
