
********************************************************************************

                 Energy Levels and statistical weights for OSIX      
        Essentially the same as .1SEP89 except parity installed on names.
                   4z2Z level name changed to 4f2Fo (20-Dec-1996)
********************************************************************************

01-Sep-1989                                      !Date
35                                               !Number of energy levels
1114008.0000                                     !Ionization energy
6.0                                              !Screened nuclear charge
576                                              !Number of transitions

 2s2Se       2.0          0.00000000    33.397960     8.97660E+01       1
 2p2Po       6.0      96730.00000000    30.497994     9.83015E+01       2
 3s2Se       2.0     640039.80000000    14.209567     2.10985E+02       3
 3p2Po       6.0     666217.60000000    13.424756     2.23319E+02       4
 3d2De      10.0     674656.30000000    13.171764     2.27608E+02       5
 4s2Se       2.0     852696.00000000     7.834134     3.82684E+02       6
 4p2Po       6.0     863376.40000000     7.513935     3.98992E+02       7
 4d2De      10.0     866892.90000000     7.408511     4.04670E+02       8
 4f2Fo      14.0     867083.30000000     7.402803     4.04982E+02       9
 5___       50.0     955991.69040222     4.737329     6.32846E+02      10
 6___       72.0    1004274.45166821     3.289812     9.11298E+02      11
 7___       98.0    1033387.43387868     2.417005     1.24038E+03      12
 8___      128.0    1052282.87906337     1.850519     1.62009E+03      13
 9___      162.0    1065237.53407476     1.462139     2.05042E+03      14
10___      200.0    1074503.92260055     1.184332     2.53138E+03      15
11___      242.0    1081360.00214922     0.978787     3.06297E+03      16
12___      288.0    1086574.61291705     0.822453     3.64519E+03      17
13___      338.0    1090632.80627252     0.700788     4.27804E+03      18
14___      392.0    1093852.85846967     0.604251     4.96151E+03      19
15___      450.0    1096450.63226691     0.526370     5.69561E+03      20
16___      512.0    1098576.71976584     0.462630     6.48034E+03      21
17___      578.0    1100338.76906594     0.409804     7.31570E+03      22
18___      648.0    1101815.38351869     0.365535     8.20169E+03      23
19___      722.0    1103065.04227162     0.328070     9.13830E+03      24
20___      800.0    1104131.98065014     0.296083     1.01255E+04      25
21___      882.0    1105050.15931985     0.268556     1.11634E+04      26
22___      968.0    1105846.00053730     0.244697     1.22519E+04      27
23___     1058.0    1106540.31051050     0.223881     1.33910E+04      28
24___     1152.0    1107149.65322926     0.205613     1.45808E+04      29
25___     1250.0    1107687.34761609     0.189493     1.58212E+04      30
26___     1352.0    1108164.20156813     0.175197     1.71122E+04      31
27___     1458.0    1108589.05934164     0.162460     1.84538E+04      32
28___     1568.0    1108969.21461742     0.151063     1.98461E+04      33
29___     1682.0    1109310.72563621     0.140824     2.12889E+04      34
30___     1800.0    1109618.65806673     0.131592     2.27825E+04      35


********************************************************************************

                        Oscillator strengths for OSIX      

********************************************************************************

  Transition        f           A          Lam(A)      i-j    Trans. #

 2s2Se- 2p2Po     1.974E-01   4.107E+08     1033.78      1-  2      1
 2s2Se- 3p2Po     2.598E-01   2.564E+10      150.10      1-  4      2
 2s2Se- 4p2Po     7.286E-02   1.208E+10      115.82      1-  7      3
 2s2Se- 5___      3.146E-02   7.672E+08      104.60      1- 10      4
 2s2Se- 6___      1.673E-02   3.127E+08       99.57      1- 11      5
 2s2Se- 7___      1.005E-02   1.461E+08       96.77      1- 12      6
 2s2Se- 8___      6.580E-03   7.594E+07       95.03      1- 13      7
 2s2Se- 9___      3.393E-03   3.171E+07       93.87      1- 14      8
 2s2Se-10___      2.265E-03   1.744E+07       93.06      1- 15      9
 2s2Se-11___      2.368E-03   1.527E+07       92.47      1- 16     10
 2s2Se-12___      1.803E-03   9.861E+06       92.03      1- 17     11
 2s2Se-13___      1.753E-03   8.230E+06       91.69      1- 18     12
 2s2Se-14___      1.394E-03   5.677E+06       91.42      1- 19     13
 2s2Se-15___      1.127E-03   4.017E+06       91.20      1- 20     14
 2s2Se-16___      9.244E-04   2.907E+06       91.02      1- 21     15
 2s2Se-17___      7.678E-04   2.146E+06       90.88      1- 22     16
 2s2Se-18___      6.447E-04   1.611E+06       90.76      1- 23     17
 2s2Se-19___      5.467E-04   1.229E+06       90.65      1- 24     18
 2s2Se-20___      4.677E-04   9.509E+05       90.57      1- 25     19
 2s2Se-21___      4.032E-04   7.447E+05       90.49      1- 26     20
 2s2Se-22___      3.501E-04   5.901E+05       90.43      1- 27     21
 2s2Se-23___      3.060E-04   4.725E+05       90.37      1- 28     22
 2s2Se-24___      2.689E-04   3.817E+05       90.32      1- 29     23
 2s2Se-25___      2.377E-04   3.113E+05       90.28      1- 30     24
 2s2Se-26___      2.111E-04   2.558E+05       90.24      1- 31     25
 2s2Se-27___      1.883E-04   2.118E+05       90.20      1- 32     26
 2s2Se-28___      1.687E-04   1.765E+05       90.17      1- 33     27
 2s2Se-29___      1.517E-04   1.481E+05       90.14      1- 34     28
 2s2Se-30___      1.370E-04   1.250E+05       90.12      1- 35     29
 2p2Po- 3s2Se     2.819E-02   1.665E+10      184.05      2-  3     30
 2p2Po- 3d2De     6.528E-01   8.726E+10      173.03      2-  5     31
 2p2Po- 4s2Se     5.558E-03   6.356E+09      132.28      2-  6     32
 2p2Po- 4d2De     1.227E-01   2.913E+10      129.84      2-  8     33
 2p2Po- 5___      4.793E-02   2.833E+09      116.38      2- 10     34
 2p2Po- 6___      2.368E-02   1.084E+09      110.18      2- 11     35
 2p2Po- 7___      1.358E-02   4.866E+08      106.76      2- 12     36
 2p2Po- 8___      8.647E-03   2.469E+08      104.65      2- 13     37
 2p2Po- 9___      5.789E-03   1.342E+08      103.25      2- 14     38
 2p2Po-10___      4.050E-03   7.748E+07      102.27      2- 15     39
 2p2Po-11___      3.134E-03   5.025E+07      101.56      2- 16     40
 2p2Po-12___      2.290E-03   3.118E+07      101.02      2- 17     41
 2p2Po-13___      1.645E-03   1.924E+07      100.61      2- 18     42
 2p2Po-14___      1.304E-03   1.324E+07      100.29      2- 19     43
 2p2Po-15___      1.051E-03   9.342E+06      100.03      2- 20     44
 2p2Po-16___      8.605E-04   6.751E+06       99.81      2- 21     45
 2p2Po-17___      7.134E-04   4.976E+06       99.64      2- 22     46
 2p2Po-18___      5.982E-04   3.732E+06       99.49      2- 23     47
 2p2Po-19___      5.067E-04   2.845E+06       99.37      2- 24     48
 2p2Po-20___      4.330E-04   2.198E+06       99.26      2- 25     49
 2p2Po-21___      3.729E-04   1.720E+06       99.17      2- 26     50
 2p2Po-22___      3.236E-04   1.362E+06       99.09      2- 27     51
 2p2Po-23___      2.825E-04   1.090E+06       99.03      2- 28     52
 2p2Po-24___      2.482E-04   8.804E+05       98.97      2- 29     53
 2p2Po-25___      2.192E-04   7.173E+05       98.91      2- 30     54
 2p2Po-26___      1.946E-04   5.893E+05       98.87      2- 31     55
 2p2Po-27___      1.735E-04   4.876E+05       98.83      2- 32     56
 2p2Po-28___      1.554E-04   4.064E+05       98.79      2- 33     57
 2p2Po-29___      1.397E-04   3.408E+05       98.76      2- 34     58
 2p2Po-30___      1.261E-04   2.877E+05       98.73      2- 35     59
 3s2Se- 3p2Po     3.341E-01   5.091E+07     3819.93      3-  4     60
 3s2Se- 4p2Po     2.751E-01   3.051E+09      447.74      3-  7     61
 3s2Se- 5___      8.189E-02   2.181E+08      316.50      3- 10     62
 3s2Se- 6___      3.720E-02   9.145E+07      274.54      3- 11     63
 3s2Se- 7___      2.056E-02   4.331E+07      254.22      3- 12     64
 3s2Se- 8___      1.282E-03   2.271E+06      242.57      3- 13     65
 3s2Se- 9___      5.955E-03   8.866E+06      235.18      3- 14     66
 3s2Se-10___      3.825E-03   4.816E+06      230.16      3- 15     67
 3s2Se-11___      4.264E-03   4.578E+06      226.59      3- 16     68
 3s2Se-12___      3.206E-03   2.961E+06      223.94      3- 17     69
 3s2Se-13___      3.175E-03   2.544E+06      221.92      3- 18     70
 3s2Se-14___      2.503E-03   1.754E+06      220.35      3- 19     71
 3s2Se-15___      2.009E-03   1.241E+06      219.10      3- 20     72
 3s2Se-16___      1.639E-03   8.979E+05      218.08      3- 21     73
 3s2Se-17___      1.355E-03   6.627E+05      217.24      3- 22     74
 3s2Se-18___      1.133E-03   4.974E+05      216.55      3- 23     75
 3s2Se-19___      9.580E-04   3.795E+05      215.97      3- 24     76
 3s2Se-20___      8.172E-04   2.935E+05      215.47      3- 25     77
 3s2Se-21___      7.029E-04   2.299E+05      215.04      3- 26     78
 3s2Se-22___      6.091E-04   1.821E+05      214.68      3- 27     79
 3s2Se-23___      5.313E-04   1.458E+05      214.36      3- 28     80
 3s2Se-24___      4.663E-04   1.178E+05      214.08      3- 29     81
 3s2Se-25___      4.115E-04   9.605E+04      213.83      3- 30     82
 3s2Se-26___      3.650E-04   7.893E+04      213.61      3- 31     83
 3s2Se-27___      3.253E-04   6.535E+04      213.42      3- 32     84
 3s2Se-28___      2.911E-04   5.446E+04      213.25      3- 33     85
 3s2Se-29___      2.616E-04   4.569E+04      213.09      3- 34     86
 3s2Se-30___      2.360E-04   3.857E+04      212.95      3- 35     87
 3p2Po- 3d2De     4.820E-02   1.374E+06    11849.87      4-  5     88
 3p2Po- 4s2Se     6.378E-02   4.438E+09      536.24      4-  6     89
 3p2Po- 4d2De     5.541E-01   8.931E+09      498.30      4-  8     90
 3p2Po- 5___      1.465E-01   9.847E+08      345.09      4- 10     91
 3p2Po- 6___      6.034E-02   3.833E+08      295.80      4- 11     92
 3p2Po- 7___      3.148E-02   1.733E+08      272.35      4- 12     93
 3p2Po- 8___      1.881E-02   8.766E+07      259.02      4- 13     94
 3p2Po- 9___      1.221E-02   4.803E+07      250.61      4- 14     95
 3p2Po-10___      8.427E-03   2.811E+07      244.92      4- 15     96
 3p2Po-11___      6.134E-03   1.748E+07      240.88      4- 16     97
 3p2Po-12___      4.552E-03   1.118E+07      237.89      4- 17     98
 3p2Po-13___      3.355E-03   7.156E+06      235.61      4- 18     99
 3p2Po-14___      2.637E-03   4.924E+06      233.84      4- 19    100
 3p2Po-15___      2.112E-03   3.477E+06      232.43      4- 20    101
 3p2Po-16___      1.719E-03   2.512E+06      231.28      4- 21    102
 3p2Po-17___      1.419E-03   1.852E+06      230.34      4- 22    103
 3p2Po-18___      1.185E-03   1.389E+06      229.56      4- 23    104
 3p2Po-19___      1.001E-03   1.059E+06      228.91      4- 24    105
 3p2Po-20___      8.529E-04   8.183E+05      228.35      4- 25    106
 3p2Po-21___      7.329E-04   6.405E+05      227.87      4- 26    107
 3p2Po-22___      6.346E-04   5.071E+05      227.46      4- 27    108
 3p2Po-23___      5.532E-04   4.057E+05      227.10      4- 28    109
 3p2Po-24___      4.852E-04   3.277E+05      226.79      4- 29    110
 3p2Po-25___      4.280E-04   2.671E+05      226.51      4- 30    111
 3p2Po-26___      3.795E-04   2.194E+05      226.27      4- 31    112
 3p2Po-27___      3.380E-04   1.816E+05      226.05      4- 32    113
 3p2Po-28___      3.025E-04   1.514E+05      225.85      4- 33    114
 3p2Po-29___      2.717E-04   1.269E+05      225.68      4- 34    115
 3p2Po-30___      2.450E-04   1.071E+05      225.52      4- 35    116
 3d2De- 4p2Po     1.534E-02   6.074E+08      529.87      5-  7    117
 3d2De- 4f2Fo      1.015E+00   1.791E+10      519.66      5-  9    118
 3d2De- 5___      1.599E-01   1.688E+09      355.44      5- 10    119
 3d2De- 6___      5.528E-02   5.564E+08      303.37      5- 11    120
 3d2De- 7___      2.626E-02   2.300E+08      278.75      5- 12    121
 3d2De- 8___      1.485E-02   1.104E+08      264.81      5- 13    122
 3d2De- 9___      9.163E-03   5.756E+07      256.02      5- 14    123
 3d2De-10___      6.161E-03   3.285E+07      250.09      5- 15    124
 3d2De-11___      4.444E-03   2.026E+07      245.87      5- 16    125
 3d2De-12___      3.270E-03   1.285E+07      242.76      5- 17    126
 3d2De-13___      2.462E-03   8.408E+06      240.39      5- 18    127
 3d2De-14___      1.920E-03   5.741E+06      238.55      5- 19    128
 3d2De-15___      1.528E-03   4.030E+06      237.08      5- 20    129
 3d2De-16___      1.238E-03   2.899E+06      235.89      5- 21    130
 3d2De-17___      1.017E-03   2.127E+06      234.91      5- 22    131
 3d2De-18___      8.469E-04   1.591E+06      234.10      5- 23    132
 3d2De-19___      7.130E-04   1.209E+06      233.42      5- 24    133
 3d2De-20___      6.061E-04   9.322E+05      232.84      5- 25    134
 3d2De-21___      5.197E-04   7.281E+05      232.34      5- 26    135
 3d2De-22___      4.492E-04   5.755E+05      231.91      5- 27    136
 3d2De-23___      3.909E-04   4.597E+05      231.54      5- 28    137
 3d2De-24___      3.424E-04   3.709E+05      231.21      5- 29    138
 3d2De-25___      3.017E-04   3.019E+05      230.92      5- 30    139
 3d2De-26___      2.672E-04   2.478E+05      230.67      5- 31    140
 3d2De-27___      2.378E-04   2.049E+05      230.44      5- 32    141
 3d2De-28___      2.126E-04   1.706E+05      230.24      5- 33    142
 3d2De-29___      1.908E-04   1.430E+05      230.06      5- 34    143
 3d2De-30___      1.719E-04   1.205E+05      229.90      5- 35    144
 4s2Se- 4p2Po     4.616E-01   1.171E+07     9362.71      6-  7    145
 4s2Se- 5___      2.988E-01   8.507E+07      968.07      6- 10    146
 4s2Se- 6___      9.073E-02   3.863E+07      659.71      6- 11    147
 4s2Se- 7___      4.182E-02   1.859E+07      553.42      6- 12    148
 4s2Se- 8___      2.361E-02   9.803E+06      501.02      6- 13    149
 4s2Se- 9___      9.715E-03   3.614E+06      470.48      6- 14    150
 4s2Se-10___      5.918E-03   1.942E+06      450.83      6- 15    151
 4s2Se-11___      6.824E-03   1.967E+06      437.31      6- 16    152
 4s2Se-12___      5.018E-03   1.271E+06      427.56      6- 17    153
 4s2Se-13___      5.152E-03   1.151E+06      420.27      6- 18    154
 4s2Se-14___      4.007E-03   7.931E+05      414.66      6- 19    155
 4s2Se-15___      3.184E-03   5.609E+05      410.24      6- 20    156
 4s2Se-16___      2.575E-03   4.056E+05      406.69      6- 21    157
