
************************************************************************************************************

       Photoionization cross-sections for Si III

 Data is from the Opacity project
   Verner high energy tail included for gnd level
   Smoothed with a gausian of width 3000 km/sec

          Types of cross sections included:
         -----------------------------------

           2 - Hydrogenic levels (added 12-Nov-1996)
          20 - Opacity Project: smoothed [number of data pairs]         
          21 - Opacity Project: scaled, smoothed [number of data pairs] 
          
 [Reference] Si\,{\sc iii} photoionization cross-sections were computed by \cite{BKM93_Mg_seq} as part of the opacity
 [Reference] project \citep{Sea87_OP} and were obtained from TOPbase \citep{Topbase93}.

************************************************************************************************************

24-May-1996                             !Date
100                                     !Number of energy levels
1                                       !Number of photoionization routes
3.0                                     !Screened nuclear charge
3s_2Se/3s2Se                            !Final state in ion
0.0                                     !Excitation energy of final state
2.0                                     !Statistical weight of ion
3000.0                                  !Sigma used for Gaussian smoothing (km/s)
Megabarns                               !Cross-section unit
False                                   !Split J levels
21912                                   !Total number of data pairs

3s21Se                                  !Configuration name
20                                      !Type of cross-section
148                                     !Number of cross-section points
1.0000D+00 4.927D-01
1.0100D+00 5.145D-01
1.0151D+00 5.210D-01
1.0201D+00 5.130D-01
1.0252D+00 4.825D-01
1.0355D+00 3.711D-01
1.0406D+00 3.309D-01
1.0458D+00 3.192D-01
1.0510D+00 3.333D-01
1.0563D+00 3.576D-01
1.0722D+00 4.162D-01
1.0992D+00 4.707D-01
1.1047D+00 4.685D-01
1.1102D+00 4.546D-01
1.1158D+00 4.311D-01
1.1213D+00 4.083D-01
1.1269D+00 3.979D-01
1.1326D+00 4.020D-01
1.1439D+00 4.307D-01
1.1496D+00 4.389D-01
1.1553D+00 4.384D-01
1.1611D+00 4.313D-01
1.1669D+00 4.246D-01
1.1727D+00 4.231D-01
1.1844D+00 4.282D-01
1.1904D+00 4.286D-01
1.2204D+00 4.221D-01
1.2265D+00 4.211D-01
1.2326D+00 4.213D-01
1.2449D+00 4.237D-01
1.2511D+00 4.242D-01
1.2574D+00 4.240D-01
1.2699D+00 4.224D-01
1.2827D+00 4.210D-01
1.2891D+00 4.209D-01
1.2955D+00 4.215D-01
1.3085D+00 4.248D-01
1.3282D+00 4.333D-01
1.3348D+00 4.359D-01
1.3414D+00 4.362D-01
1.3481D+00 4.316D-01
1.3616D+00 4.107D-01
1.3684D+00 4.007D-01
1.3752D+00 3.944D-01
1.3821D+00 3.907D-01
1.3890D+00 3.891D-01
1.3960D+00 3.888D-01
1.4029D+00 3.897D-01
1.4099D+00 3.910D-01
1.4169D+00 3.922D-01
1.4240D+00 3.930D-01
1.4311D+00 3.930D-01
1.4383D+00 3.922D-01
1.4527D+00 3.884D-01
1.4599D+00 3.869D-01
1.4672D+00 3.864D-01
1.4745D+00 3.868D-01
1.4819D+00 3.871D-01
1.4893D+00 3.856D-01
1.5042D+00 3.762D-01
1.5192D+00 3.664D-01
1.5268D+00 3.638D-01
1.5344D+00 3.628D-01
1.5421D+00 3.630D-01
1.5575D+00 3.667D-01
1.5653D+00 3.682D-01
1.5731D+00 3.679D-01
1.5889D+00 3.627D-01
1.5968D+00 3.606D-01
1.6048D+00 3.596D-01
1.6128D+00 3.589D-01
1.6370D+00 3.548D-01
1.6452D+00 3.536D-01
1.6534D+00 3.529D-01
1.6617D+00 3.529D-01
1.6783D+00 3.539D-01
1.6867D+00 3.539D-01
1.6951D+00 3.529D-01
1.7120D+00 3.494D-01
1.7292D+00 3.465D-01
1.7378D+00 3.456D-01
1.7465D+00 3.451D-01
1.7552D+00 3.443D-01
1.7728D+00 3.417D-01
1.7816D+00 3.406D-01
1.7905D+00 3.403D-01
1.7994D+00 3.409D-01
1.8084D+00 3.414D-01
1.8174D+00 3.410D-01
1.8819D+00 3.264D-01
1.9390D+00 3.148D-01
2.0077D+00 3.009D-01
2.0790D+00 2.866D-01
2.1742D+00 2.760D-01
2.2852D+00 2.646D-01
2.2966D+00 2.634D-01
2.3428D+00 2.587D-01
2.3899D+00 2.538D-01
2.6010D+00 2.297D-01
2.6140D+00 2.281D-01
2.6402D+00 2.248D-01
2.6533D+00 2.231D-01
2.6666D+00 2.215D-01
2.7749D+00 2.094D-01
2.7887D+00 2.087D-01
2.9021D+00 2.058D-01
2.9901D+00 2.037D-01
3.0050D+00 2.030D-01
3.0200D+00 2.018D-01
3.0351D+00 1.999D-01
3.0807D+00 1.891D-01
3.1271D+00 1.788D-01
3.8352D+00 1.309D-01
3.8544D+00 1.299D-01
3.9515D+00 1.245D-01
4.8464D+00 9.019D-02
5.9437D+00 6.484D-02
7.2898D+00 4.606D-02
8.9404D+00 3.235D-02
1.0965D+01 2.247D-02
1.3448D+01 1.545D-02
1.6493D+01 1.051D-02
2.0228D+01 7.074D-03
2.4809D+01 4.712D-03
3.0427D+01 3.106D-03
3.7317D+01 2.025D-03
4.5767D+01 1.307D-03
5.6131D+01 8.337D-04
6.8841D+01 5.261D-04
8.4431D+01 3.283D-04
1.0355D+02 2.026D-04
1.2700D+02 1.236D-04
1.5576D+02 7.461D-05
1.9103D+02 4.453D-05
2.3428D+02 2.628D-05
2.8734D+02 1.535D-05
3.5241D+02 8.867D-06
4.3221D+02 5.070D-06
5.3008D+02 2.870D-06
6.5012D+02 1.609D-06
7.9733D+02 8.938D-07
9.7790D+02 4.920D-07
1.1993D+03 2.686D-07
1.4709D+03 1.454D-07
1.8040D+03 7.813D-08
2.2125D+03 4.167D-08
2.7135D+03 2.208D-08
2.9679D+03 1.667D-08
3s3p3Po                                 !Configuration name
20                                      !Type of cross-section
159                                     !Number of cross-section points
1.0000D+00 3.213D-01
1.0151D+00 3.379D-01
1.0355D+00 3.769D-01
1.0406D+00 3.944D-01
1.0458D+00 4.260D-01
1.0510D+00 4.910D-01
1.0616D+00 7.680D-01
1.0669D+00 9.302D-01
1.0722D+00 1.004D+00
1.0776D+00 9.425D-01
1.0883D+00 5.551D-01
1.0938D+00 3.997D-01
1.0992D+00 3.153D-01
1.1047D+00 2.902D-01
1.1102D+00 2.930D-01
1.1213D+00 3.247D-01
1.1326D+00 3.735D-01
1.1382D+00 4.195D-01
1.1496D+00 5.859D-01
1.1553D+00 6.681D-01
1.1611D+00 6.874D-01
1.1669D+00 6.315D-01
1.1727D+00 5.296D-01
1.1786D+00 4.393D-01
1.1844D+00 3.984D-01
1.1904D+00 4.006D-01
1.1963D+00 4.251D-01
1.2023D+00 4.481D-01
1.2083D+00 4.560D-01
1.2143D+00 4.487D-01
1.2204D+00 4.357D-01
1.2265D+00 4.314D-01
1.2326D+00 4.422D-01
1.2387D+00 4.591D-01
1.2449D+00 4.706D-01
1.2511D+00 4.753D-01
1.2574D+00 4.776D-01
1.2699D+00 4.849D-01
1.2763D+00 4.911D-01
1.2955D+00 5.287D-01
1.3020D+00 5.397D-01
1.3085D+00 5.462D-01
1.3150D+00 5.497D-01
1.3215D+00 5.514D-01
1.3752D+00 5.575D-01
1.3821D+00 5.574D-01
1.3890D+00 5.563D-01
1.4099D+00 5.475D-01
