 
******************************************************************************
 
       Photoionization cross-sections for S V
 
>> Data is from the Opacity project
>>   Verner high energy tail included for gnd level
>>   Smoothed with a gausian of width  500 km/sec
 
          Types of cross sections included:
         -----------------------------------

           1 - Seaton formula fit [sigma_o,alpha,beta]                  

          20 - Opacity Project: smoothed [number of data pairs]         
 
******************************************************************************
 
29-Jan-2003                             !Date
168                                     !Number of energy levels
1                                       !Number of photoionization routes
5.0                                     !Screened nuclear charge
2p6_3s_2Se/3s_2Se                       !Final state in ion
0.0                                     !Excitation energy of final state
2.0                                     !Statistical weight of ion
500.0                                   !Sigma used for Gaussian smoothing (km/s)
Megabarns                               !Cross-section unit
False                                   !Split J levels
97924                                   !Total number of data pairs
 
3s2_1Se                                 !Configuration name
20                                      !Type of cross-section
178                                     !Number of cross-section points
1.00000E+00 4.809E-01
1.00669E+00 4.987E-01
1.00837E+00 4.635E-01
1.01089E+00 3.344E-01
1.01173E+00 3.230E-01
1.01511E+00 3.947E-01
1.01850E+00 4.201E-01
1.02446E+00 4.230E-01
1.02788E+00 4.163E-01
1.03131E+00 3.787E-01
1.03217E+00 3.819E-01
1.03303E+00 4.035E-01
1.03475E+00 4.732E-01
1.03648E+00 5.006E-01
1.04777E+00 4.582E-01
1.04951E+00 4.327E-01
1.05214E+00 3.691E-01
1.05302E+00 3.734E-01
1.05565E+00 4.330E-01
1.05741E+00 4.477E-01
1.05918E+00 4.318E-01
1.06006E+00 4.045E-01
1.06183E+00 3.260E-01
1.06271E+00 3.042E-01
1.06360E+00 3.083E-01
1.06626E+00 3.876E-01
1.06893E+00 4.199E-01
1.08057E+00 4.603E-01
1.08237E+00 4.403E-01
1.08508E+00 3.863E-01
1.08870E+00 4.202E-01
1.09052E+00 4.085E-01
1.09325E+00 3.513E-01
1.09416E+00 3.536E-01
1.09781E+00 4.118E-01
1.10332E+00 4.422E-01
1.10884E+00 4.000E-01
1.10977E+00 4.023E-01
1.11347E+00 3.710E-01
1.11999E+00 4.277E-01
1.12748E+00 3.827E-01
1.13219E+00 4.176E-01
1.13596E+00 4.059E-01
1.13786E+00 4.062E-01
1.14451E+00 3.883E-01
1.19320E+00 3.746E-01
1.21023E+00 4.093E-01
1.21224E+00 3.929E-01
1.21427E+00 3.493E-01
1.21629E+00 3.272E-01
1.22443E+00 3.541E-01
1.24086E+00 3.638E-01
1.26803E+00 3.477E-01
1.29149E+00 3.524E-01
1.31429E+00 3.356E-01
1.32528E+00 3.421E-01
1.33860E+00 3.304E-01
1.34755E+00 3.353E-01
1.35883E+00 3.267E-01
1.36564E+00 3.398E-01
1.37363E+00 3.075E-01
1.38628E+00 3.170E-01
1.40840E+00 3.081E-01
1.41546E+00 2.959E-01
1.42492E+00 3.074E-01
1.44887E+00 3.066E-01
1.45370E+00 3.080E-01
1.46099E+00 2.889E-01
1.47199E+00 3.015E-01
1.47813E+00 2.969E-01
1.48554E+00 3.032E-01
1.49298E+00 2.854E-01
1.49797E+00 2.885E-01
1.51176E+00 2.737E-01
1.51934E+00 2.795E-01
1.52568E+00 2.788E-01
1.53077E+00 2.800E-01
1.54358E+00 2.729E-01
1.54874E+00 2.735E-01
1.55650E+00 2.674E-01
1.56430E+00 2.725E-01
1.56821E+00 2.703E-01
1.57476E+00 2.737E-01
1.58794E+00 2.657E-01
1.59856E+00 2.673E-01
1.61327E+00 2.636E-01
1.61596E+00 2.683E-01
1.62136E+00 3.004E-01
1.62677E+00 2.645E-01
1.62949E+00 2.607E-01
1.63356E+00 2.624E-01
1.65411E+00 2.566E-01
1.66656E+00 2.664E-01
1.67352E+00 2.598E-01
1.67491E+00 2.599E-01
1.69033E+00 2.525E-01
1.69881E+00 2.579E-01
1.71017E+00 2.466E-01
1.72017E+00 2.511E-01
1.72735E+00 2.463E-01
1.73312E+00 2.476E-01
1.74180E+00 2.448E-01
1.74326E+00 2.448E-01
2.05422E+00 1.865E-01
2.47368E+00 1.441E-01
2.82645E+00 1.158E-01
3.17880E+00 9.461E-02
3.56913E+00 7.805E-02
4.00404E+00 6.410E-02
4.49196E+00 5.244E-02
5.03932E+00 4.274E-02
5.54608E+00 3.595E-02
6.18572E+00 2.942E-02
6.81343E+00 2.456E-02
7.47987E+00 2.059E-02
8.32864E+00 1.676E-02
9.16618E+00 1.390E-02
1.00544E+01 1.159E-02
1.10194E+01 9.649E-03
1.20872E+01 8.003E-03
1.32474E+01 6.634E-03
1.42552E+01 5.700E-03
1.55327E+01 4.763E-03
1.67283E+01 4.072E-03
1.79560E+01 3.501E-03
1.95488E+01 2.915E-03
2.10536E+01 2.480E-03
2.41766E+01 1.827E-03
2.77397E+01 1.342E-03
2.96765E+01 1.151E-03
3.18014E+01 9.817E-04
3.40786E+01 8.365E-04
3.65187E+01 7.118E-04
4.10713E+01 5.395E-04
4.60760E+01 4.097E-04
5.16906E+01 3.100E-04
5.78446E+01 2.352E-04
6.48933E+01 1.766E-04
7.28008E+01 1.322E-04
8.00550E+01 1.038E-04
8.93623E+01 7.818E-05
9.84306E+01 6.078E-05
1.08058E+02 4.756E-05
1.18430E+02 3.729E-05
1.29582E+02 2.930E-05
1.42020E+02 2.288E-05
1.55652E+02 1.782E-05
1.70592E+02 1.386E-05
1.83417E+02 1.134E-05
1.97043E+02 9.289E-06
2.14342E+02 7.336E-06
2.30649E+02 5.964E-06
2.47371E+02 4.889E-06
2.64422E+02 4.042E-06
2.83356E+02 3.314E-06
3.03645E+02 2.715E-06
3.25387E+02 2.221E-06
3.42068E+02 1.921E-06
3.64126E+02 1.600E-06
3.83112E+02 1.378E-06
4.08157E+02 1.143E-06
4.29796E+02 9.808E-07
4.50701E+02 8.519E-07
4.93961E+02 6.479E-07
5.41374E+02 4.920E-07
5.91857E+02 3.758E-07
6.36884E+02 3.009E-07
6.92801E+02 2.328E-07
7.44887E+02 1.864E-07
7.98224E+02 1.507E-07
8.38445E+02 1.295E-07
8.79226E+02 1.118E-07
9.62817E+02 8.434E-08
1.03262E+03 6.781E-08
1.10288E+03 5.518E-08
1.21176E+03 4.106E-08
1.29205E+03 3.354E-08
1.35603E+03 2.889E-08
3s_3p_3Po                               !Configuration name
20                                      !Type of cross-section
152                                     !Number of cross-section points
1.00000E+00 4.545E-01
1.01596E+00 5.613E-01
1.02020E+00 6.476E-01
1.02190E+00 7.340E-01
1.02275E+00 8.220E-01
1.02360E+00 9.786E-01
1.02446E+00 1.245E+00
1.02617E+00 2.061E+00
1.02702E+00 2.353E+00
1.02788E+00 2.339E+00
1.02873E+00 1.999E+00
