
******************************************************************************

       Photoionization cross-sections for S VI

>> Verner high energy tail included for gnd level
>> Opacity project data smoothed by phot_smooth.f
>>   Smoothed with a gausian of width 3000 km/sec

          Types of cross sections included:
         -----------------------------------

          20 - Opacity Project: smoothed [number of data pairs]         

******************************************************************************

08-Jul-99                               !Date
31                                      !Number of energy levels
1                                       !Number of photoionization routes
6.0                                     !Screened nuclear charge
1Se                                     !Final state in ion
0.0                                     !Excitation energy of final state
1.0                                     !Statistical weight of ion
3000.0                                  !Sigma used for Gaussian smoothing (km/s)
Megabarns                               !Cross-section unit
False                                   !Split J levels
4806                                    !Total number of data pairs

3s2Se                                   !Configuration name
20                                      !Type of cross-section
229                                     !Number of cross-section points
1.0000D+00 2.372D-01
1.0050D+00 2.370D-01
1.0355D+00 2.298D-01
1.1844D+00 1.947D-01
1.3549D+00 1.637D-01
1.5042D+00 1.430D-01
1.5117D+00 1.421D-01
1.5192D+00 1.412D-01
1.5421D+00 1.385D-01
1.5575D+00 1.367D-01
1.5653D+00 1.357D-01
1.7036D+00 1.215D-01
1.7292D+00 1.192D-01
1.7465D+00 1.176D-01
1.7552D+00 1.168D-01
1.8913D+00 1.059D-01
1.9008D+00 1.052D-01
1.9102D+00 1.046D-01
1.9390D+00 1.026D-01
1.9584D+00 1.012D-01
1.9780D+00 9.985D-02
2.1420D+00 9.000D-02
2.1742D+00 8.827D-02
2.1960D+00 8.710D-02
2.2069D+00 8.651D-02
2.3780D+00 7.842D-02
2.3899D+00 7.793D-02
2.4018D+00 7.744D-02
2.4380D+00 7.596D-02
2.4624D+00 7.495D-02
2.4870D+00 7.394D-02
2.6666D+00 6.748D-02
2.6799D+00 6.706D-02
2.6933D+00 6.664D-02
2.7338D+00 6.536D-02
2.7611D+00 6.450D-02
2.7749D+00 6.406D-02
2.9901D+00 5.807D-02
3.0050D+00 5.771D-02
3.0200D+00 5.734D-02
3.0655D+00 5.624D-02
3.0961D+00 5.550D-02
3.1271D+00 5.475D-02
3.3528D+00 4.997D-02
3.3695D+00 4.966D-02
3.3864D+00 4.934D-02
3.4373D+00 4.840D-02
3.4717D+00 4.776D-02
3.4891D+00 4.744D-02
3.7596D+00 4.299D-02
3.7784D+00 4.273D-02
3.7972D+00 4.246D-02
3.8930D+00 4.110D-02
