 
******************************************************************************
 
       Photoionization cross-sections for S VI
 
>> Data is from the Opacity project
>>   Verner high energy tail included for gnd level
>>   Smoothed with a gausian of width  500 km/sec
 
          Types of cross sections included:
         -----------------------------------

          20 - Opacity Project: smoothed [number of data pairs]         
 
******************************************************************************
 
29-Jan-2003                             !Date
57                                      !Number of energy levels
1                                       !Number of photoionization routes
6.0                                     !Screened nuclear charge
2s2_2p6_1Se                             !Final state in ion
0.0                                     !Excitation energy of final state
1.0                                     !Statistical weight of ion
500.0                                   !Sigma used for Gaussian smoothing (km/s)
Megabarns                               !Cross-section unit
False                                   !Split J levels
1113                                    !Total number of data pairs
 
3s_2Se                                  !Configuration name
20                                      !Type of cross-section
73                                      !Number of cross-section points
1.00000E+00 2.390E-01
1.22137E+00 1.872E-01
1.44766E+00 1.497E-01
1.62271E+00 1.141E-01
1.82652E+00 9.415E-02
2.08527E+00 7.566E-02
2.35109E+00 6.183E-02
2.63319E+00 5.094E-02
2.95406E+00 4.174E-02
3.31403E+00 3.410E-02
3.71786E+00 2.780E-02
4.17090E+00 2.260E-02
4.59033E+00 1.899E-02
5.11973E+00 1.555E-02
5.63928E+00 1.300E-02
6.19087E+00 1.092E-02
6.79076E+00 9.178E-03
7.45499E+00 7.690E-03
8.14337E+00 6.496E-03
8.92501E+00 5.446E-03
9.78168E+00 4.559E-03
1.07206E+01 3.812E-03
1.17594E+01 3.178E-03
1.28881E+01 2.650E-03
1.38686E+01 2.290E-03
1.51114E+01 1.927E-03
1.62746E+01 1.659E-03
1.74836E+01 1.434E-03
1.90186E+01 1.207E-03
2.04826E+01 1.036E-03
2.19858E+01 8.951E-04
2.39360E+01 7.498E-04
2.76013E+01 5.555E-04
3.17220E+01 4.130E-04
3.63366E+01 3.082E-04
4.16919E+01 2.284E-04
4.69284E+01 1.759E-04
5.26907E+01 1.359E-04
5.91114E+01 1.049E-04
6.62592E+01 8.094E-05
7.42095E+01 6.238E-05
8.31829E+01 4.786E-05
9.15479E+01 3.824E-05
1.00419E+02 3.073E-05
1.10149E+02 2.465E-05
1.20722E+02 1.977E-05
1.31979E+02 1.593E-05
1.44647E+02 1.273E-05
1.58531E+02 1.016E-05
1.70450E+02 8.485E-06
1.85724E+02 6.846E-06
2.00020E+02 5.679E-06
2.14700E+02 4.746E-06
2.29499E+02 4.003E-06
2.45727E+02 3.359E-06
2.63323E+02 2.810E-06
2.82177E+02 2.348E-06
3.02131E+02 1.964E-06
3.39795E+02 1.441E-06
3.80566E+02 1.066E-06
4.18488E+02 8.261E-07
4.58656E+02 6.446E-07
5.01844E+02 5.044E-07
5.50013E+02 3.921E-07
5.90872E+02 3.217E-07
6.31600E+02 2.673E-07
6.76825E+02 2.203E-07
7.59299E+02 1.594E-07
8.32181E+02 1.230E-07
8.91769E+02 1.009E-07
9.36703E+02 8.769E-08
1.02490E+03 6.767E-08
1.12328E+03 5.209E-08
3p_2Po                                  !Configuration name
20                                      !Type of cross-section
45                                      !Number of cross-section points
1.00000E+00 4.473E-01
1.13596E+00 3.829E-01
1.39787E+00 2.839E-01
1.52568E+00 2.456E-01
1.68471E+00 2.100E-01
1.86032E+00 1.795E-01
2.05422E+00 1.535E-01
2.27782E+00 1.304E-01
2.50479E+00 1.122E-01
2.77742E+00 9.534E-02
3.05417E+00 8.200E-02
3.38378E+00 6.977E-02
3.72096E+00 6.002E-02
4.12597E+00 5.100E-02
4.53709E+00 4.386E-02
5.02674E+00 3.732E-02
5.55070E+00 3.190E-02
6.10380E+00 2.745E-02
6.76253E+00 2.335E-02
7.47987E+00 1.992E-02
8.21835E+00 1.715E-02
9.07499E+00 1.466E-02
1.00209E+01 1.254E-02
1.10654E+01 1.072E-02
