
******************************************************************************

       Photoionization cross-sections for Ar VII

>> Data is from the Opacity project
>>   Verner high energy tail included for gnd level
>>   Smoothed with a gausian of width 3000 km/sec

          Types of cross sections included:
         -----------------------------------

           1 - Seaton formula fit [sigma_o,alpha,beta]                  

          20 - Opacity Project: smoothed [number of data pairs]         

******************************************************************************

15-Feb-2001                             !Date
153                                     !Number of energy levels
1                                       !Number of photoionization routes
7.0                                     !Screened nuclear charge
2p6_3s_2Se/3s_2Se                       !Final state in ion
0.0                                     !Excitation energy of final state
2.0                                     !Statistical weight of ion
3000.0                                  !Sigma used for Gaussian smoothing (km/s)
Megabarns                               !Cross-section unit
False                                   !Split J levels
32686                                   !Total number of data pairs

3s2_1Se                                 !Configuration name
20                                      !Type of cross-section
84                                      !Number of cross-section points
 1.000D+00 3.417D-01
 1.025D+00 3.487D-01
 1.083D+00 3.203D-01
 1.116D+00 3.152D-01
 1.150D+00 2.875D-01
 1.179D+00 2.851D-01
 1.348D+00 2.385D-01
 1.355D+00 2.386D-01
 1.417D+00 2.168D-01
 1.497D+00 2.021D-01
 1.512D+00 2.024D-01
 1.629D+00 1.793D-01
 1.882D+00 1.430D-01
 2.131D+00 1.172D-01
 2.402D+00 9.624D-02
 2.693D+00 7.919D-02
 3.005D+00 6.532D-02
 3.353D+00 5.379D-02
 3.722D+00 4.455D-02
 4.133D+00 3.679D-02
 4.565D+00 3.057D-02
 5.043D+00 2.533D-02
 5.544D+00 2.113D-02
 6.094D+00 1.758D-02
 6.665D+00 1.473D-02
 7.290D+00 1.232D-02
 7.934D+00 1.038D-02
 8.634D+00 8.733D-03
 9.397D+00 7.329D-03
 1.018D+01 6.202D-03
 1.102D+01 5.239D-03
 1.187D+01 4.464D-03
 1.279D+01 3.798D-03
 1.379D+01 3.226D-03
 1.486D+01 2.736D-03
 1.593D+01 2.342D-03
 1.708D+01 2.002D-03
 1.831D+01 1.708D-03
 2.095D+01 1.254D-03
 2.384D+01 9.257D-04
 2.700D+01 6.884D-04
 3.058D+01 5.095D-04
 3.446D+01 3.801D-04
 3.864D+01 2.859D-04
 4.311D+01 2.170D-04
 4.786D+01 1.662D-04
 5.314D+01 1.269D-04
 5.870D+01 9.788D-05
 6.485D+01 7.528D-05
 7.128D+01 5.852D-05
 7.835D+01 4.538D-05
 8.570D+01 3.559D-05
 9.374D+01 2.785D-05
 1.020D+02 2.206D-05
 1.105D+02 1.768D-05
 1.196D+02 1.414D-05
 1.289D+02 1.146D-05
 1.389D+02 9.274D-06
 1.497D+02 7.494D-06
