
******************************************************************************

       Photoionization cross-sections for Ar VIII

>> Data is from the Opacity project
>>   Smoothed with a gausian of width 3000 km/sec

          Types of cross sections included:
         -----------------------------------

          20 - Opacity Project: smoothed [number of data pairs]         

******************************************************************************

14-Feb-2001                             !Date
57                                      !Number of energy levels
1                                       !Number of photoionization routes
8.0                                     !Screened nuclear charge
2p6_1Se                                 !Final state in ion
0.0                                     !Excitation energy of final state
1.0                                     !Statistical weight of ion
3000.0                                  !Sigma used for Gaussian smoothing (km/s)
Megabarns                               !Cross-section unit
False                                   !Split J levels
1053                                    !Total number of data pairs

3s_2Se                                  !Configuration name
20                                      !Type of cross-section
40                                      !Number of cross-section points
 1.000D+00 1.775D-01
 1.167D+00 1.445D-01
 1.341D+00 1.182D-01
 1.519D+00 9.887D-02
 1.695D+00 8.447D-02
 1.882D+00 7.268D-02
 2.100D+00 6.210D-02
 2.331D+00 5.344D-02
 2.601D+00 4.566D-02
 2.888D+00 3.929D-02
 3.222D+00 3.357D-02
 3.577D+00 2.889D-02
 3.971D+00 2.486D-02
 4.822D+00 1.884D-02
 5.544D+00 1.540D-02
 6.698D+00 1.174D-02
 7.662D+00 9.677D-03
 9.211D+00 7.429D-03
 1.043D+01 6.205D-03
 1.176D+01 5.231D-03
 1.318D+01 4.441D-03
 1.561D+01 3.483D-03
 1.768D+01 2.908D-03
 1.973D+01 2.483D-03
 2.201D+01 2.122D-03
 2.444D+01 1.826D-03
 2.727D+01 1.560D-03
 3.311D+01 1.182D-03
 3.788D+01 9.733D-04
 4.531D+01 7.538D-04
 5.158D+01 6.245D-04
 5.755D+01 5.335D-04
 6.421D+01 4.559D-04
 7.128D+01 3.923D-04
 8.073D+01 3.284D-04
 9.053D+01 2.788D-04
 9.852D+01 2.464D-04
 1.094D+02 2.120D-04
 1.220D+02 1.811D-04
 1.355D+02 1.578D-04
3p_2Po                                  !Configuration name
20                                      !Type of cross-section
36                                      !Number of cross-section points
 1.000D+00 3.180D-01
 1.220D+00 2.330D-01
 1.424D+00 1.758D-01
 1.550D+00 1.511D-01
 1.695D+00 1.288D-01
 1.854D+00 1.096D-01
 2.185D+00 8.184D-02
 2.462D+00 6.608D-02
 2.873D+00 5.011D-02
 3.206D+00 4.119D-02
 3.722D+00 3.157D-02
 4.195D+00 2.547D-02
 4.870D+00 1.952D-02
 5.434D+00 1.602D-02
 5.944D+00 1.364D-02
 6.533D+00 1.152D-02
 7.146D+00 9.817D-03
 7.777D+00 8.437D-03
 8.506D+00 7.187D-03
 9.304D+00 6.123D-03
 1.018D+01 5.216D-03
 1.113D+01 4.443D-03
 1.217D+01 3.785D-03
 1.331D+01 3.224D-03
 1.569D+01 2.406D-03
 1.760D+01 1.960D-03
 2.043D+01 1.502D-03
 2.268D+01 1.243D-03
 2.493D+01 1.050D-03
 2.727D+01 8.944D-04
 2.983D+01 7.619D-04
 3.498D+01 5.739D-04
 3.883D+01 4.752D-04
 4.269D+01 4.013D-04
 5.031D+01 2.994D-04
 5.585D+01 2.524D-04
3d_2De                                  !Configuration name
20                                      !Type of cross-section
37                                      !Number of cross-section points
 1.000D+00 3.737D-01
 1.094D+00 2.868D-01
 1.173D+00 2.277D-01
 1.257D+00 1.804D-01
 1.341D+00 1.450D-01
 1.424D+00 1.182D-01
 1.512D+00 9.628D-02
 1.597D+00 7.995D-02
 1.687D+00 6.642D-02
 1.782D+00 5.519D-02
 1.873D+00 4.662D-02
 1.968D+00 3.938D-02
 2.069D+00 3.327D-02
 2.174D+00 2.810D-02
 2.297D+00 2.335D-02
 2.414D+00 1.972D-02
 2.537D+00 1.666D-02
 2.667D+00 1.408D-02
 2.817D+00 1.169D-02
 2.960D+00 9.877D-03
