 
******************************************************************************
 
       Photoionization cross-sections for Ca X
 
>> Data is from the Opacity project
>>   Verner high energy tail included for gnd level
>>   Smoothed with a gausian of width  500 km/sec
 
          Types of cross sections included:
         -----------------------------------

          20 - Opacity Project: smoothed [number of data pairs]         
 
******************************************************************************
 
30-Mar-2002                             !Date
57                                      !Number of energy levels
1                                       !Number of photoionization routes
10.0                                    !Screened nuclear charge
2p6_1Se                                 !Final state in ion
0.0                                     !Excitation energy of final state
1.0                                     !Statistical weight of ion
500.0                                   !Sigma used for Gaussian smoothing (km/s)
Megabarns                               !Cross-section unit
False                                   !Split J levels
1157                                    !Total number of data pairs
 
3s_2Se                                  !Configuration name
20                                      !Type of cross-section
66                                      !Number of cross-section points
1.00000E+00 1.354E-01
1.19619E+00 1.036E-01
1.38975E+00 8.205E-02
1.53460E+00 6.306E-02
1.72160E+00 5.140E-02
1.89631E+00 4.326E-02
2.11501E+00 3.552E-02
2.32964E+00 2.977E-02
2.55751E+00 2.505E-02
2.80767E+00 2.105E-02
3.12626E+00 1.718E-02
3.43778E+00 1.433E-02
3.77090E+00 1.199E-02
4.13285E+00 1.004E-02
4.53331E+00 8.369E-03
4.96844E+00 6.978E-03
5.34643E+00 6.027E-03
5.82554E+00 5.069E-03
6.27396E+00 4.360E-03
6.84187E+00 3.651E-03
7.36853E+00 3.132E-03
7.90931E+00 2.703E-03
8.61090E+00 2.261E-03
9.92949E+00 1.671E-03
1.14119E+01 1.238E-03
1.30720E+01 9.204E-04
1.50110E+01 6.775E-04
1.72233E+01 4.975E-04
1.93704E+01 3.808E-04
2.17489E+01 2.916E-04
2.43992E+01 2.231E-04
2.73040E+01 1.711E-04
3.06311E+01 1.301E-04
3.43637E+01 9.854E-05
3.77878E+01 7.817E-05
4.14840E+01 6.213E-05
4.54658E+01 4.948E-05
4.98299E+01 3.933E-05
5.45219E+01 3.132E-05
5.97552E+01 2.479E-05
6.54908E+01 1.958E-05
7.04145E+01 1.623E-05
7.66605E+01 1.300E-05
8.26303E+01 1.067E-05
8.86208E+01 8.866E-06
9.47293E+01 7.422E-06
1.01512E+02 6.166E-06
1.08781E+02 5.117E-06
1.16473E+02 4.251E-06
1.24813E+02 3.520E-06
1.40373E+02 2.548E-06
1.57216E+02 1.860E-06
1.72737E+02 1.429E-06
1.89475E+02 1.101E-06
2.07144E+02 8.543E-07
2.22532E+02 6.961E-07
2.38665E+02 5.693E-07
2.55116E+02 4.695E-07
2.73155E+02 3.851E-07
2.87158E+02 3.329E-07
3.05421E+02 2.780E-07
3.35855E+02 2.102E-07
3.60804E+02 1.700E-07
3.84711E+02 1.405E-07
4.22693E+02 1.061E-07
4.63651E+02 8.058E-08
3p_2Po                                  !Configuration name
20                                      !Type of cross-section
42                                      !Number of cross-section points
1.00000E+00 2.294E-01
1.14642E+00 1.800E-01
1.35996E+00 1.288E-01
1.55650E+00 9.790E-02
1.69456E+00 8.270E-02
1.83262E+00 7.072E-02
1.99685E+00 5.964E-02
2.16674E+00 5.068E-02
2.35305E+00 4.301E-02
2.55325E+00 3.655E-02
2.77049E+00 3.107E-02
3.00620E+00 2.640E-02
3.26469E+00 2.240E-02
3.54541E+00 1.901E-02
3.84386E+00 1.618E-02
4.15702E+00 1.384E-02
4.51447E+00 1.174E-02
4.89857E+00 9.978E-03
5.31534E+00 8.481E-03
5.77239E+00 7.196E-03
6.26351E+00 6.116E-03
6.79642E+00 5.198E-03
7.37467E+00 4.418E-03
8.00879E+00 3.748E-03
8.69019E+00 3.186E-03
9.42957E+00 2.708E-03
1.02746E+01 2.284E-03
1.11116E+01 1.953E-03
1.20973E+01 1.649E-03
1.31375E+01 1.399E-03
1.42671E+01 1.187E-03
