**************************************************************************************************

 C III photoioization data

 [Reference] C\,{\sc iii} photoioization data is from P.~J.Storey (private communication).

**************************************************************************************************

09-Apr-1997 18:34:43              !Date
217                               !Number of energy levels
2                                 !Number of photoionization routes
3.0                               !Screened nuclear charge
2s2Se/2s_2Se                      !Final state in ion
0                                 !Excitation energy of final state
2                                 !Statistical weight of ion
3000.0                            !Sigma used for Gaussian smoothing (km/s)
Megabarns                         !Cross-section unit
False                             !Split J levels
26501                             !Total number of data pairs

2s2s1Se                      !Configuration name
20                           !Type of cross-section
54                           !Number of cross-section points
 1.00000E+00   2.0133E+00
 1.00250E+00   2.1099E+00
 1.00751E+00   2.5002E+00
 1.01002E+00   2.5434E+00
 1.01255E+00   2.3545E+00
 1.01761E+00   1.6203E+00
 1.02015E+00   1.3854E+00
 1.02270E+00   1.2985E+00
 1.02525E+00   1.3074E+00
 1.03553E+00   1.4562E+00
 1.04071E+00   1.4595E+00
 1.04331E+00   1.4109E+00
 1.04853E+00   1.2244E+00
 1.05114E+00   1.1748E+00
 1.05377E+00   1.2194E+00
 1.05640E+00   1.3683E+00
 1.06168E+00   1.7771E+00
 1.06433E+00   1.8838E+00
 1.06699E+00   1.8453E+00
 1.07232E+00   1.5184E+00
 1.07500E+00   1.3944E+00
 1.07768E+00   1.3391E+00
 1.08578E+00   1.2955E+00
 1.08849E+00   1.3323E+00
 1.09393E+00   1.5103E+00
 1.09666E+00   1.5500E+00
 1.09940E+00   1.5112E+00
 1.10490E+00   1.3625E+00
 1.10766E+00   1.3401E+00
 1.11597E+00   1.4122E+00
 1.12716E+00   1.3660E+00
 1.14701E+00   1.3339E+00
 1.36578E+00   1.0547E+00
 1.41078E+00   1.0419E+00
 1.41783E+00   9.8196E-01
 1.42492E+00   8.7213E-01
 1.42848E+00   8.3283E-01
 1.43204E+00   8.1992E-01
 1.45002E+00   8.8427E-01
 1.49779E+00   8.7186E-01
 1.52797E+00   8.4498E-01
 1.54715E+00   8.6190E-01
 1.56655E+00   8.5132E-01
 1.58226E+00   8.7363E-01
 1.59812E+00   7.9948E-01
 1.61414E+00   7.6911E-01
 1.62627E+00   7.2085E-01
 1.65079E+00   7.4420E-01
 1.67149E+00   7.1197E-01
 1.69247E+00   7.2694E-01
 1.71798E+00   6.8075E-01
 1.85144E+00   6.1421E-01
 2.15563E+00   4.6324E-01
 2.27719E+00   4.1145E-01

2s2p3Po                      !Configuration name
20                           !Type of cross-section
52                           !Number of cross-section points
 1.00000E+00   1.9320E+00
 1.02781E+00   1.9039E+00
 1.04853E+00   1.8831E+00
 1.05114E+00   1.9197E+00
 1.05377E+00   2.0195E+00
 1.05640E+00   2.2309E+00
 1.06168E+00   2.8812E+00
 1.06433E+00   3.0393E+00
 1.06699E+00   2.9039E+00
 1.07232E+00   2.1558E+00
 1.07500E+00   1.8651E+00
 1.07768E+00   1.7130E+00
 1.08038E+00   1.6517E+00
 1.08849E+00   1.6409E+00
 1.09121E+00   1.6621E+00
 1.09393E+00   1.7189E+00
 1.09666E+00   1.8358E+00
 1.10215E+00   2.1971E+00
 1.10490E+00   2.2763E+00
 1.10766E+00   2.1956E+00
 1.11320E+00   1.7807E+00
 1.11597E+00   1.6471E+00
 1.11876E+00   1.6155E+00
 1.12155E+00   1.6749E+00
 1.12716E+00   1.8746E+00
 1.12998E+00   1.8934E+00
 1.13563E+00   1.7459E+00
 1.13846E+00   1.7041E+00
 1.14701E+00   1.7351E+00
 1.15562E+00   1.6892E+00
 1.16721E+00   1.6796E+00
 1.19668E+00   1.5651E+00
 1.33214E+00   1.4288E+00
 1.46090E+00   1.1844E+00
 1.50904E+00   1.1067E+00
 1.52417E+00   9.9580E-01
 1.57047E+00   9.7849E-01
 1.60212E+00   9.3532E-01
 1.61818E+00   8.9988E-01
 1.64257E+00   8.9948E-01
 1.68405E+00   8.4958E-01
 1.70093E+00   8.2209E-01
 1.72657E+00   8.1453E-01
 1.74823E+00   7.5617E-01
 1.78346E+00   7.4478E-01
 1.81940E+00   7.1755E-01
 1.83764E+00   7.0166E-01
 1.86070E+00   6.8210E-01
 1.98534E+00   5.9686E-01
 2.19359E+00   4.8163E-01
 2.45409E+00   3.7197E-01
 2.47870E+00   3.6270E-01

2s2p1Po                      !Configuration name
20                           !Type of cross-section
86                           !Number of cross-section points
 1.00000E+00   7.0852E-01
 1.00250E+00   7.8243E-01
 1.00500E+00   9.8463E-01
 1.01002E+00   1.5560E+00
 1.01255E+00   1.7975E+00
 1.01508E+00   1.9356E+00
 1.01761E+00   1.9677E+00
 1.02781E+00   1.7590E+00
 1.04071E+00   1.7080E+00
 1.06168E+00   1.7385E+00
 1.06433E+00   1.7691E+00
 1.06699E+00   1.8492E+00
 1.06965E+00   2.0580E+00
 1.07232E+00   2.5435E+00
 1.07500E+00   3.4045E+00
 1.07768E+00   4.5131E+00
 1.08038E+00   5.3971E+00
 1.08307E+00   5.5051E+00
 1.08578E+00   4.7772E+00
 1.08849E+00   3.6368E+00
 1.09121E+00   2.6287E+00
 1.09393E+00   2.0052E+00
 1.09666E+00   1.6929E+00
 1.09940E+00   1.5618E+00
 1.10215E+00   1.5081E+00
 1.10766E+00   1.4921E+00
 1.11042E+00   1.5156E+00
 1.11320E+00   1.5863E+00
 1.11597E+00   1.7702E+00
 1.11876E+00   2.1395E+00
 1.12436E+00   3.2720E+00
 1.12716E+00   3.5462E+00
 1.12998E+00   3.3556E+00
 1.13563E+00   2.1963E+00
 1.13846E+00   1.7733E+00
 1.14131E+00   1.5966E+00
 1.14415E+00   1.6582E+00
 1.14701E+00   1.9102E+00
 1.14987E+00   2.2681E+00
 1.15275E+00   2.5586E+00
 1.15562E+00   2.6045E+00
 1.15851E+00   2.4037E+00
 1.16140E+00   2.1266E+00
 1.16430E+00   1.9771E+00
 1.16721E+00   2.0207E+00
 1.17013E+00   2.1442E+00
 1.17304E+00   2.2051E+00
 1.18186E+00   2.0944E+00
 1.19370E+00   2.1742E+00
 1.20868E+00   1.9982E+00
 1.23920E+00   1.9273E+00
 1.33214E+00   1.8865E+00
 1.51659E+00   1.4805E+00
 1.57832E+00   1.4204E+00
 1.61013E+00   1.4714E+00
 1.62221E+00   1.5536E+00
 1.63032E+00   1.6842E+00
 1.63848E+00   1.8576E+00
 1.64257E+00   1.8884E+00
 1.64667E+00   1.8166E+00
 1.65079E+00   1.6327E+00
 1.65904E+00   1.1432E+00
 1.66318E+00   9.8681E-01
 1.66733E+00   9.1864E-01
 1.67149E+00   9.1309E-01
 1.68825E+00   9.9051E-01
 1.72227E+00   1.0665E+00
 1.73521E+00   1.0950E+00
 1.76576E+00   1.0271E+00
 1.80584E+00   1.0095E+00
 1.82395E+00   1.0039E+00
 1.84223E+00   9.6824E-01
 1.86534E+00   9.6141E-01
 1.88404E+00   1.0354E+00
 1.88875E+00   1.0233E+00
 1.90293E+00   8.7069E-01
 1.90768E+00   8.3921E-01
 1.92681E+00   8.1212E-01
 1.96073E+00   8.4597E-01
 1.98534E+00   8.3301E-01
 2.00524E+00   7.5844E-01
 2.04055E+00   7.7787E-01
 2.06100E+00   7.3712E-01
 2.38174E+00   5.4064E-01
 2.69803E+00   4.1029E-01
 2.75239E+00   3.9099E-01

2p2p3Pe                      !Configuration name
20                           !Type of cross-section
82                           !Number of cross-section points
 1.00000E+00   4.3508E+00
 1.00250E+00   6.9532E+00
 1.00500E+00   1.0879E+01
 1.00751E+00   1.4244E+01
 1.01002E+00   1.5031E+01
 1.01255E+00   1.2822E+01
 1.01761E+00   4.9988E+00
 1.02015E+00   2.4297E+00
 1.02270E+00   1.0739E+00
 1.02525E+00   5.0175E-01
 1.02781E+00   2.7040E-01
 1.03038E+00   1.7347E-01
 1.03295E+00   1.2483E-01
 1.03553E+00   9.5311E-02
 1.03812E+00   7.4654E-02
 1.04071E+00   5.9706E-02
 1.04331E+00   4.8278E-02
 1.04591E+00   3.9449E-02
 1.04853E+00   3.2389E-02
 1.05114E+00   2.6737E-02
 1.05377E+00   2.2129E-02
 1.05640E+00   2.0361E-02
 1.05904E+00   2.6264E-02
 1.06168E+00   6.1468E-02
 1.06433E+00   1.7353E-01
 1.06699E+00   4.3842E-01
 1.06965E+00   8.8003E-01
 1.07232E+00   1.3854E+00
 1.07500E+00   1.7089E+00
 1.07768E+00   1.6446E+00
 1.08038E+00   1.2623E+00
 1.08307E+00   8.3050E-01
 1.08578E+00   6.6025E-01
 1.08849E+00   1.0264E+00
 1.09121E+00   2.0783E+00
 1.09666E+00   5.3956E+00
 1.09940E+00   6.1480E+00
 1.10215E+00   5.5631E+00
 1.10490E+00   3.9848E+00
 1.10766E+00   2.2839E+00
 1.11042E+00   1.0776E+00
 1.11320E+00   4.3029E-01
 1.11597E+00   1.6812E-01
 1.11876E+00   7.9922E-02
 1.12155E+00   7.5428E-02
 1.12436E+00   1.3739E-01
 1.12716E+00   2.8847E-01
 1.12998E+00   5.1985E-01
 1.13563E+00   1.0237E+00
 1.13846E+00   1.3316E+00
 1.14131E+00   1.8471E+00
 1.14415E+00   2.5514E+00
 1.14701E+00   3.1081E+00
 1.14987E+00   3.0948E+00
 1.15275E+00   2.4718E+00
 1.15562E+00   1.5795E+00
 1.15851E+00   8.4723E-01
 1.16140E+00   4.9125E-01
 1.16430E+00   4.7602E-01
 1.16721E+00   7.2115E-01
 1.17013E+00   1.1348E+00
 1.17304E+00   1.6073E+00
 1.17598E+00   1.9556E+00
 1.17891E+00   1.9773E+00
 1.18186E+00   1.6737E+00
 1.18480E+00   1.2658E+00
 1.18776E+00   1.0337E+00
 1.19073E+00   1.0905E+00
 1.19370E+00   1.3014E+00
 1.19668E+00   1.4522E+00
 1.19967E+00   1.4400E+00
 1.20266E+00   1.3337E+00
 1.20567E+00   1.2700E+00
 1.20868E+00   1.2926E+00
 1.21776E+00   1.4581E+00
 1.22079E+00   1.4838E+00
 1.22385E+00   1.4609E+00
 1.23303E+00   1.2603E+00
 1.23920E+00   1.2119E+00
 1.26417E+00   1.1460E+00
 1.26667E+00   1.1460E-01
 1.26916E+00   1.1460E-02

2p2p1De                      !Configuration name
20                           !Type of cross-section
86                           !Number of cross-section points
 1.00000E+00   6.3945E+00
 1.00250E+00   8.1966E+00
 1.00500E+00   1.1800E+01
 1.00751E+00   1.7142E+01
 1.01002E+00   2.3494E+01
 1.01255E+00   2.9112E+01
 1.01508E+00   3.1706E+01
 1.01761E+00   3.0179E+01
 1.02015E+00   2.5017E+01
 1.02270E+00   1.8320E+01
 1.02525E+00   1.2138E+01
 1.02781E+00   7.4946E+00
 1.03038E+00   4.5480E+00
 1.03295E+00   2.7904E+00
 1.03553E+00   1.7927E+00
 1.03812E+00   1.1911E+00
 1.04071E+00   8.1894E-01
 1.04331E+00   5.7055E-01
 1.04591E+00   4.0222E-01
 1.04853E+00   2.8366E-01
 1.05114E+00   2.0126E-01
 1.05377E+00   1.4421E-01
 1.05640E+00   1.0801E-01
 1.05904E+00   8.8612E-02
 1.06168E+00   8.6720E-02
 1.06433E+00   1.0562E-01
 1.06699E+00   1.5766E-01
 1.06965E+00   2.6326E-01
 1.07232E+00   4.5153E-01
 1.07500E+00   7.2850E-01
 1.07768E+00   1.0503E+00
 1.08038E+00   1.3186E+00
 1.08307E+00   1.4400E+00
 1.08578E+00   1.4409E+00
 1.08849E+00   1.4934E+00
 1.09121E+00   1.9040E+00
 1.09393E+00   3.1225E+00
 1.09666E+00   5.5436E+00
 1.09940E+00   9.2354E+00
 1.10215E+00   1.3305E+01
 1.10490E+00   1.5990E+01
 1.10766E+00   1.5922E+01
 1.11042E+00   1.3028E+01
 1.11320E+00   8.8472E+00
 1.11597E+00   5.0735E+00
 1.11876E+00   2.5124E+00
 1.12155E+00   1.1537E+00
 1.12436E+00   5.1934E-01
 1.12716E+00   2.7288E-01
 1.12998E+00   2.1391E-01
 1.13280E+00   2.8879E-01
 1.13563E+00   4.7816E-01
 1.13846E+00   7.8592E-01
 1.14131E+00   1.2751E+00
 1.14415E+00   2.1721E+00
 1.14701E+00   3.7510E+00
 1.15275E+00   8.1968E+00
 1.15562E+00   9.1504E+00
 1.15851E+00   8.2859E+00
 1.16140E+00   6.0329E+00
 1.16430E+00   3.5744E+00
 1.16721E+00   1.8384E+00
 1.17013E+00   1.0487E+00
 1.17304E+00   1.1302E+00
 1.17598E+00   1.9177E+00
 1.17891E+00   3.2735E+00
 1.18186E+00   4.7584E+00
 1.18480E+00   5.6356E+00
 1.18776E+00   5.4217E+00
 1.19370E+00   3.1298E+00
 1.19668E+00   2.6715E+00
 1.19967E+00   3.0179E+00
 1.20266E+00   3.6853E+00
 1.20567E+00   4.0480E+00
 1.20868E+00   3.8952E+00
 1.21170E+00   3.5510E+00
 1.21472E+00   3.3653E+00
 1.22079E+00   3.2290E+00
 1.22385E+00   3.0500E+00
 1.22690E+00   2.9456E+00
 1.22997E+00   3.0051E+00
 1.23612E+00   3.3042E+00
 1.24230E+00   3.3955E+00
 1.27049E+00   3.2368E+00
 1.27331E+00   3.2368E-01
 1.27613E+00   3.2368E-02

2p2p1Se                      !Configuration name
20                           !Type of cross-section
101                          !Number of cross-section points
 1.00000E+00   7.6994E-02
 1.00250E+00   1.3970E-01
 1.00500E+00   3.6565E-01
 1.00751E+00   1.0193E+00
 1.01002E+00   2.9797E+00
 1.01255E+00   7.9989E+00
 1.01508E+00   1.8768E+01
 1.01761E+00   3.6181E+01
 1.02015E+00   5.6499E+01
 1.02270E+00   7.0994E+01
 1.02525E+00   7.1317E+01
 1.02781E+00   5.7974E+01
 1.03038E+00   3.8434E+01
 1.03295E+00   2.1299E+01
 1.03553E+00   1.0553E+01
 1.03812E+00   5.0752E+00
 1.04071E+00   2.7452E+00
 1.04331E+00   1.7263E+00
 1.04591E+00   1.2307E+00
 1.04853E+00   9.3895E-01
 1.05114E+00   7.3880E-01
 1.05377E+00   5.8753E-01
 1.05640E+00   4.7013E-01
 1.05904E+00   3.7468E-01
 1.06168E+00   2.9632E-01
 1.06433E+00   2.3008E-01
 1.06699E+00   1.7443E-01
 1.06965E+00   1.2739E-01
 1.07232E+00   8.9624E-02
 1.07500E+00   6.2714E-02
 1.07768E+00   5.4532E-02
 1.08038E+00   8.1770E-02
 1.08307E+00   1.8791E-01
 1.08578E+00   4.4375E-01
 1.08849E+00   9.4565E-01
 1.09121E+00   1.7122E+00
 1.09393E+00   2.5978E+00
 1.09666E+00   3.2811E+00
 1.09940E+00   3.4292E+00
 1.10215E+00   2.9990E+00
 1.10766E+00   1.4123E+00
 1.11042E+00   9.0059E-01
 1.11320E+00   9.3267E-01
 1.11597E+00   2.1242E+00
 1.11876E+00   5.4509E+00
 1.12155E+00   1.1830E+01
 1.12436E+00   2.0296E+01
 1.12716E+00   2.7383E+01
 1.12998E+00   2.9283E+01
