CIII            [SPEC_NAME]
386241.0        [ION_SPEC]                        !Ionization energy
12.0D0          [MASS]
30              [MAX_PQN]
14              [N_SPLIT]
7               [MAX_L]
102             [N_ADD]
2s              [CORE]
2               [N_MULT]
1               [MULT_1]
3               [MULT_2]
2s8z1Z      8     0.00
2s8z3Z      8     0.00
2s9z1Z      9     0.00
2s9z3Z      9     0.00
2s10z1Z    10     0.00
2s10z3Z    10     0.00
2s11s1Se   11     0.35
2s11s3Se   11     0.40
2s11p1Po   11     0.31
2s11p3Po   11     0.20
2s11d1De   11     0.01
2s11d3De   11     0.08
2s11f1Fo   11     -0.01
2s11f3Fo   11     -0.005
2s11g1Ge   11     0.017
2s11g3Ge   11     0.017
2s11h1Ho   11     0.004
2s11h3Ho   11     0.004
2s11i1Ie   11     0.001
2s11i3Ie   11     0.001
2s11z1Z    11     0.00
2s11z3Z    11     0.00
2s12s1Se   12     0.35
2s12s3Se   12     0.40
2s12p1Po   12     0.31
2s12p3Po   12     0.20
2s12d1De   12     0.01
2s12d3De   12     0.08
2s12f1Fo   12     -0.01
2s12f3Fo   12     -0.005
2s12g1Ge   12     0.017
2s12g3Ge   12     0.017
2s12h1Ho   12     0.004
2s12h3Ho   12     0.004
2s12i1Ie   12     0.001
2s12i3Ie   12     0.001
2s12z1Z    12     0.00
2s12z3Z    12     0.00
2s13s1Se   13     0.35
2s13s3Se   13     0.40
2s13p1Po   13     0.31
2s13p3Po   13     0.20
2s13d1De   13     0.01
2s13d3De   13     0.08
2s13f1Fo   13     -0.01
2s13f3Fo   13     -0.005
2s13g1Ge   13     0.017
2s13g3Ge   13     0.017
2s13h1Ho   13     0.004
2s13h3Ho   13     0.004
2s13i1Ie   13     0.001
2s13i3Ie   13     0.001
2s13z1Z    13     0.00
2s13z3Z    13     0.00
2s14s1Se   14     0.35
2s14s3Se   14     0.40
2s14p1Po   14     0.31
2s14p3Po   14     0.20
2s14d1De   14     0.01
2s14d3De   14     0.08
2s14f1Fo   14     -0.01
2s14f3Fo   14     -0.005
2s14g1Ge   14     0.017
2s14g3Ge   14     0.017
2s14h1Ho   14     0.004
2s14h3Ho   14     0.004
2s14i1Ie   14     0.001
2s14i3Ie   14     0.001
2s14z1Z    14     0.00
2s14z3Z    14     0.00
2s15w1W    15     0.00
2s15w3W    15     0.00
2s16w1W    16     0.00
2s16w3W    16     0.00
2s17w1W    17     0.00
2s17w3W    17     0.00
2s18w1W    18     0.00
2s18w3W    18     0.00
2s19w1W    19     0.00
2s19w3W    19     0.00
2s20w1W    20     0.00
2s20w3W    20     0.00
2s21w1W    21     0.00
2s21w3W    21     0.00
2s22w1W    22     0.00
2s22w3W    22     0.00
2s23w1W    23     0.00
2s23w3W    23     0.00
2s24w1W    24     0.00
2s24w3W    24     0.00
2s25w1W    25     0.00
2s25w3W    25     0.00
2s26w1W    26     0.00
2s26w3W    26     0.00
2s27w1W    27     0.00
2s27w3W    27     0.00
2s28w1W    28     0.00
2s28w3W    28     0.00
2s29w1W    29     0.00
2s29w3W    29     0.00
2s30w1W    30     0.00
2s30w3W    30     0.00
