
******************************************************************************

       Photoionization cross-sections for Fe V

>> Data is from the Opacity project
>>   Verner high energy tail included for gnd level
>>   Smoothed with a gausian of width 3000 km/sec

          Types of cross sections included:
         -----------------------------------

          20 - Opacity Project: smoothed [number of data pairs]         

          21 - Opacity Project: scaled, smoothed [number of data pairs] 

******************************************************************************

24-May-1996                             !Date
80                                      !Number of energy levels
1                                       !Number of photoionization routes
5.0                                     !Screened nuclear charge
3d34Fe/3d3(3)4Fe                        !Final state in ion
0.0                                     !Excitation energy of final state
28.0                                    !Statistical weight of ion
3000.0                                  !Sigma used for Gaussian smoothing (km/s)
Megabarns                               !Cross-section unit
False                                   !Split J levels
9339                                    !Total number of data pairs

3d45De                                  !Configuration name
20                                      !Type of cross-section
55                                      !Number of cross-section points
1.0000D+00 6.117D+00
1.0829D+00 5.751D+00
1.0883D+00 5.723D+00
1.0938D+00 5.695D+00
1.1439D+00 5.473D+00
1.1904D+00 5.260D+00
1.1963D+00 5.230D+00
1.2023D+00 5.201D+00
1.2387D+00 5.025D+00
1.2637D+00 4.893D+00
1.3215D+00 4.652D+00
1.3549D+00 4.502D+00
1.3821D+00 4.386D+00
1.4169D+00 4.223D+00
1.6208D+00 3.441D+00
1.7206D+00 3.035D+00
2.0686D+00 1.747D+00
2.4870D+00 1.005D+00
2.9901D+00 5.784D-01
3.5949D+00 3.328D-01
4.3219D+00 1.916D-01
5.1962D+00 1.102D-01
6.2471D+00 6.343D-02
7.3261D+00 3.972D-02
7.5108D+00 4.660D-02
7.6619D+00 5.110D-02
7.8160D+00 4.850D-02
9.3968D+00 2.681D-02
1.1298D+01 1.458D-02
1.3583D+01 7.798D-03
1.6330D+01 4.106D-03
1.9633D+01 2.128D-03
2.3604D+01 1.087D-03
2.8378D+01 5.465D-04
3.4118D+01 2.708D-04
4.1019D+01 1.322D-04
4.9316D+01 6.364D-05
5.9290D+01 3.020D-05
7.1284D+01 1.413D-05
8.5701D+01 6.524D-06
1.0304D+02 2.971D-06
1.2388D+02 1.336D-06
1.4893D+02 5.932D-07
1.7906D+02 2.602D-07
2.1527D+02 1.128D-07
2.5881D+02 4.835D-08
3.1117D+02 2.050D-08
3.7410D+02 8.603D-09
4.4977D+02 3.574D-09
5.4074D+02 1.471D-09
6.5012D+02 6.003D-10
7.8161D+02 2.429D-10
9.3972D+02 9.748D-11
1.1298D+03 3.884D-11
1.3118D+03 1.841D-11
3d4b3Pe                                 !Configuration name
20                                      !Type of cross-section
68                                      !Number of cross-section points
1.0000D+00 5.972D+00
1.0050D+00 5.987D+00
1.0100D+00 6.024D+00
1.0151D+00 6.056D+00
1.0201D+00 6.045D+00
1.0252D+00 5.976D+00
1.0303D+00 5.870D+00
1.0355D+00 5.778D+00
