
******************************************************************************

       Photoionization cross-sections for Fe VI

>> Data is from the Opacity project
>>   Verner high energy tail included for gnd level
>>   Smoothed with a gausian of width 3000 km/sec

          Types of cross sections included:
         -----------------------------------

          20 - Opacity Project: smoothed [number of data pairs]         

******************************************************************************

24-May-1996                             !Date
34                                      !Number of energy levels
1                                       !Number of photoionization routes
6.0                                     !Screened nuclear charge
3p63d23Fe                               !Final state in ion
0.0                                     !Excitation energy of final state
21.0                                    !Statistical weight of ion
3000.0                                  !Sigma used for Gaussian smoothing (km/s)
Megabarns                               !Cross-section unit
False                                   !Split J levels
3309                                    !Total number of data pairs

3d34Fe                                  !Configuration name
20                                      !Type of cross-section
61                                      !Number of cross-section points
1.0000D+00 5.492D+00
1.0050D+00 5.484D+00
1.0406D+00 5.238D+00
1.0458D+00 5.198D+00
1.0938D+00 4.825D+00
1.1047D+00 4.740D+00
1.1102D+00 4.697D+00
1.1158D+00 4.654D+00
1.1326D+00 4.523D+00
1.1439D+00 4.435D+00
1.1496D+00 4.391D+00
1.1611D+00 4.302D+00
1.1669D+00 4.256D+00
1.2891D+00 3.471D+00
1.3150D+00 3.327D+00
1.3282D+00 3.254D+00
1.3348D+00 3.217D+00
1.3890D+00 2.932D+00
1.4527D+00 2.710D+00
1.5192D+00 2.487D+00
1.5344D+00 2.436D+00
1.6289D+00 2.104D+00
1.9390D+00 1.248D+00
2.3081D+00 7.397D-01
2.7474D+00 4.386D-01
3.2704D+00 2.600D-01
3.8930D+00 1.542D-01
4.6339D+00 9.140D-02
5.5161D+00 5.419D-02
6.5660D+00 3.213D-02
7.1816D+00 2.455D-02
7.3994D+00 2.104D-02
8.8080D+00 1.097D-02
1.0484D+01 6.080D-03
1.2480D+01 3.325D-03
1.4856D+01 1.796D-03
1.7684D+01 9.578D-04
2.1050D+01 5.046D-04
2.5057D+01 2.626D-04
2.9827D+01 1.350D-04
3.5505D+01 6.860D-05
4.2263D+01 3.443D-05
5.0308D+01 1.708D-05
5.9884D+01 8.373D-06
7.1284D+01 4.057D-06
8.4852D+01 1.944D-06
1.0100D+02 9.206D-07
1.2023D+02 4.314D-07
1.4312D+02 1.999D-07
1.7036D+02 9.170D-08
2.0279D+02 4.163D-08
2.4139D+02 1.872D-08
2.8734D+02 8.335D-09
3.4203D+02 3.678D-09
4.0715D+02 1.609D-09
4.8464D+02 6.978D-10
5.7690D+02 3.003D-10
6.8671D+02 1.282D-10
8.1744D+02 5.436D-11
9.7303D+02 2.289D-11
1.0126D+03 1.898D-11
3d34Pe                                  !Configuration name
20                                      !Type of cross-section
46                                      !Number of cross-section points
1.0000D+00 5.948D+00
1.0050D+00 5.939D+00
1.0406D+00 5.647D+00
1.0458D+00 5.599D+00
1.0883D+00 5.207D+00
1.1213D+00 4.903D+00
1.1269D+00 4.851D+00
1.1904D+00 4.312D+00
1.2449D+00 3.948D+00
1.2763D+00 3.753D+00
1.3481D+00 3.338D+00
1.4240D+00 3.020D+00
1.4383D+00 2.963D+00
1.4819D+00 2.789D+00
1.5192D+00 2.640D+00
1.5344D+00 2.580D+00
1.6048D+00 2.316D+00
1.6452D+00 2.167D+00
1.7378D+00 1.839D+00
1.8356D+00 1.560D+00
1.9390D+00 1.324D+00
2.0481D+00 1.123D+00
2.1634D+00 9.531D-01
2.2852D+00 8.087D-01
2.4139D+00 6.861D-01
2.5497D+00 5.822D-01
2.6933D+00 4.940D-01
2.8448D+00 4.191D-01
3.0050D+00 3.557D-01
3.1741D+00 3.018D-01
3.3528D+00 2.560D-01
3.5415D+00 2.172D-01
3.7409D+00 1.844D-01
3.9515D+00 1.564D-01
4.1740D+00 1.327D-01
4.4089D+00 1.126D-01
4.6571D+00 9.553D-02
4.9192D+00 8.107D-02
5.1962D+00 6.878D-02
5.4886D+00 5.836D-02
5.7977D+00 4.952D-02
6.1240D+00 4.202D-02
6.4688D+00 3.565D-02
6.8328D+00 3.025D-02
7.2175D+00 2.567D-02
7.5482D+00 2.243D-02
3d32Ge                                  !Configuration name
20                                      !Type of cross-section
60                                      !Number of cross-section points
1.0000D+00 5.027D+00
1.0050D+00 5.085D+00
1.0100D+00 5.223D+00
1.0151D+00 5.362D+00
1.0201D+00 5.432D+00
1.0252D+00 5.417D+00
1.0355D+00 5.221D+00
1.0458D+00 5.046D+00
1.0616D+00 4.909D+00
1.0883D+00 4.680D+00
1.1047D+00 4.548D+00
1.1102D+00 4.517D+00
1.1213D+00 4.485D+00
1.1326D+00 4.447D+00
1.1727D+00 4.168D+00
1.1786D+00 4.125D+00
1.1904D+00 4.039D+00
1.2204D+00 3.830D+00
1.2387D+00 3.755D+00
1.2699D+00 3.587D+00
1.2827D+00 3.511D+00
1.3020D+00 3.437D+00
1.3282D+00 3.281D+00
1.3821D+00 3.030D+00
1.3960D+00 2.976D+00
1.4169D+00 2.897D+00
1.4383D+00 2.812D+00
1.5192D+00 2.532D+00
1.5344D+00 2.483D+00
1.5498D+00 2.434D+00
1.6370D+00 2.140D+00
1.6452D+00 2.110D+00
1.7378D+00 1.790D+00
1.8356D+00 1.519D+00
1.9390D+00 1.289D+00
2.0481D+00 1.094D+00
2.1634D+00 9.279D-01
2.2852D+00 7.874D-01
2.4139D+00 6.681D-01
2.5497D+00 5.669D-01
2.6933D+00 4.809D-01
2.8448D+00 4.082D-01
3.0050D+00 3.463D-01
3.1741D+00 2.938D-01
3.3528D+00 2.493D-01
3.5415D+00 2.116D-01
3.7409D+00 1.795D-01
3.9515D+00 1.523D-01
4.1740D+00 1.292D-01
4.4089D+00 1.097D-01
4.6571D+00 9.303D-02
4.9192D+00 7.894D-02
5.1962D+00 6.697D-02
5.4886D+00 5.682D-02
5.7977D+00 4.821D-02
6.1240D+00 4.091D-02
6.4688D+00 3.472D-02
6.8328D+00 2.946D-02
7.2175D+00 2.499D-02
7.5482D+00 2.184D-02
3d32Pe                                  !Configuration name
20                                      !Type of cross-section
63                                      !Number of cross-section points
1.0000D+00 5.510D+00
1.0050D+00 5.534D+00
1.0151D+00 5.687D+00
1.0201D+00 5.752D+00
1.0252D+00 5.775D+00
1.0303D+00 5.749D+00
1.0406D+00 5.633D+00
1.0992D+00 4.992D+00
1.1047D+00 4.949D+00
1.1102D+00 4.921D+00
1.1158D+00 4.912D+00
1.1213D+00 4.915D+00
1.1269D+00 4.915D+00
1.1326D+00 4.897D+00
1.1496D+00 4.747D+00
1.2143D+00 4.149D+00
1.2204D+00 4.119D+00
1.2326D+00 4.087D+00
1.2387D+00 4.066D+00
1.2637D+00 3.861D+00
1.2891D+00 3.643D+00
1.3085D+00 3.544D+00
