**************************************************************************************************************************
**************************************************************************************************************************
Collision strengths (Omega[i,k]) for HYD. The collisional excitation rate
is defined by

           C(i,k)=8.63D-08 OMEGA(i,k) EXP(-U0) / Gi /sqrt(T_4).

We also use the same definition for the ionization collision strength.
For ionization of low lying levels we expect OMEGA(i,i) to be propotional to T.
**************************************************************************************************************************
**************************************************************************************************************************

450                                                         !Number of transitions
9                                                           !Number of T values OMEGA tabulated at.
1.0                                                         !Scaling factor for OMEGA (non-file values)
0.1                                                         !Value for OMEGA if f=0

Transition\T          0.2         0.5         1.0         2.0         5.0        10.0        20.0        50.0       100.0

 1___-    I         0.0171      0.0427      0.0969      0.2167      0.6172      1.3488      2.6977      6.7442     13.4884
 1___- 2___         0.6625      0.6625      0.7459      0.9010      1.3185      1.6408      1.6408      1.6408      1.6408
 1___- 3___         0.1931      0.1931      0.1965      0.2130      0.3090      0.3844      0.3844      0.3844      0.3844
 1___- 4___         0.0171      0.0171      0.0271      0.0452      0.0887      0.1165      0.1165      0.1165      0.1165
 1___- 5___       2.34E-02    2.34E-02    2.64E-02    3.24E-02    4.99E-02    6.20E-02    6.20E-02    6.20E-02    6.20E-02
 1___- 6___       1.31E-02    1.31E-02    1.48E-02    1.81E-02    2.80E-02    3.48E-02    3.48E-02    3.48E-02    3.48E-02
 1___- 7___       8.05E-03    8.05E-03    9.11E-03    1.12E-02    1.73E-02    2.15E-02    2.15E-02    2.15E-02    2.15E-02
 1___- 8___       5.33E-03    5.33E-03    6.03E-03    7.41E-03    1.14E-02    1.42E-02    1.42E-02    1.42E-02    1.42E-02
 1___- 9___       3.71E-03    3.71E-03    4.20E-03    5.16E-03    7.97E-03    9.91E-03    9.91E-03    9.91E-03    9.91E-03
 1___-10___       2.68E-03    2.68E-03    3.04E-03    3.74E-03    5.77E-03    7.18E-03    7.18E-03    7.18E-03    7.18E-03
 1___-11___       2.01E-03    2.01E-03    2.27E-03    2.80E-03    4.32E-03    5.37E-03    5.37E-03    5.37E-03    5.37E-03
 1___-12___       1.54E-03    1.54E-03    1.74E-03    2.15E-03    3.32E-03    4.13E-03    4.13E-03    4.13E-03    4.13E-03
 1___-13___       1.21E-03    1.21E-03    1.37E-03    1.68E-03    2.60E-03    3.24E-03    3.24E-03    3.24E-03    3.24E-03
 1___-14___       9.65E-04    9.65E-04    1.09E-03    1.35E-03    2.08E-03    2.59E-03    2.59E-03    2.59E-03    2.59E-03
 1___-15___       7.83E-04    7.83E-04    8.87E-04    1.09E-03    1.69E-03    2.10E-03    2.10E-03    2.10E-03    2.10E-03
 1___-16___       4.85E-04    5.08E-04    5.55E-04    6.62E-04    1.00E-03    1.51E-03    2.31E-03    3.85E-03    5.35E-03
 1___-17___       4.04E-04    4.23E-04    4.62E-04    5.51E-04    8.34E-04    1.26E-03    1.92E-03    3.20E-03    4.45E-03
 1___-18___       3.40E-04    3.56E-04    3.88E-04    4.63E-04    7.01E-04    1.06E-03    1.62E-03    2.69E-03    3.74E-03
 1___-19___       2.89E-04    3.02E-04    3.30E-04    3.94E-04    5.96E-04    8.98E-04    1.37E-03    2.29E-03    3.18E-03
 1___-20___       2.47E-04    2.59E-04    2.82E-04    3.37E-04    5.10E-04    7.69E-04    1.18E-03    1.96E-03    2.72E-03
 1___-21___       2.13E-04    2.23E-04    2.44E-04    2.91E-04    4.40E-04    6.64E-04    1.01E-03    1.69E-03    2.35E-03
 1___-22___       1.85E-04    1.94E-04    2.12E-04    2.53E-04    3.83E-04    5.77E-04    8.82E-04    1.47E-03    2.04E-03
 1___-23___       1.62E-04    1.70E-04    1.85E-04    2.21E-04    3.35E-04    5.04E-04    7.71E-04    1.28E-03    1.78E-03
 1___-24___       1.43E-04    1.49E-04    1.63E-04    1.94E-04    2.94E-04    4.44E-04    6.78E-04    1.13E-03    1.57E-03
 1___-25___       1.26E-04    1.32E-04    1.44E-04    1.72E-04    2.60E-04    3.92E-04    5.99E-04    9.99E-04    1.39E-03
 1___-26___       1.12E-04    1.17E-04    1.28E-04    1.53E-04    2.31E-04    3.48E-04    5.33E-04    8.87E-04    1.23E-03
 1___-27___       1.00E-04    1.05E-04    1.14E-04    1.36E-04    2.06E-04    3.11E-04    4.75E-04    7.92E-04    1.10E-03
 1___-28___       8.96E-05    9.39E-05    1.02E-04    1.22E-04    1.85E-04    2.79E-04    4.26E-04    7.10E-04    9.86E-04
 1___-29___       8.07E-05    8.45E-05    9.22E-05    1.10E-04    1.66E-04    2.51E-04    3.83E-04    6.39E-04    8.87E-04
 1___-30___       7.28E-05    7.63E-05    8.32E-05    9.93E-05    1.50E-04    2.26E-04    3.46E-04    5.77E-04    8.01E-04

 2___-    I         1.6448      4.1119      8.6751     17.7676     41.7949     70.0139    140.0278    350.0694    700.1388
 2___- 3___        27.4963     27.4963     32.9953     45.2925     87.1937    115.6265    115.6265    115.6265    115.6265
 2___- 4___         3.4429      3.4429      6.0130     10.8792     23.2905     30.3104     30.3104     30.3104     30.3104
 2___- 5___         2.8340      2.8340      4.1053      6.3644     11.3600     13.9652     13.9652     13.9652     13.9652
 2___- 6___         1.4093      1.4093      2.0481      3.1796      5.6641      6.9554      6.9554      6.9554      6.9554
 2___- 7___         0.8123      0.8123      1.1825      1.8373      3.2688      4.0108      4.0108      4.0108      4.0108
 2___- 8___         0.5145      0.5145      0.7499      1.1657      2.0727      2.5422      2.5422      2.5422      2.5422
 2___- 9___         0.3479      0.3479      0.5075      0.7892      1.4028      1.7201      1.7201      1.7201      1.7201
 2___-10___         0.2469      0.2469      0.3604      0.5607      0.9966      1.2219      1.2219      1.2219      1.2219
 2___-11___         0.1818      0.1818      0.2655      0.4131      0.7340      0.8998      0.8998      0.8998      0.8998
 2___-12___         0.1380      0.1380      0.2015      0.3136      0.5572      0.6830      0.6830      0.6830      0.6830
 2___-13___         0.1073      0.1073      0.1567      0.2439      0.4332      0.5310      0.5310      0.5310      0.5310
 2___-14___         0.0851      0.0851      0.1244      0.1936      0.3439      0.4215      0.4215      0.4215      0.4215
 2___-15___         0.0687      0.0687      0.1004      0.1563      0.2776      0.3402      0.3402      0.3402      0.3402
 2___-16___         0.0197      0.0245      0.0330      0.0489      0.0856      0.1268      0.1789      0.2615      0.3315
 2___-17___         0.0163      0.0202      0.0273      0.0404      0.0708      0.1049      0.1480      0.2164      0.2744
 2___-18___         0.0137      0.0169      0.0228      0.0338      0.0593      0.0878      0.1239      0.1811      0.2297
 2___-19___         0.0116      0.0143      0.0193      0.0286      0.0501      0.0742      0.1048      0.1532      0.1943
 2___-20___         0.0099      0.0122      0.0165      0.0244      0.0427      0.0633      0.0894      0.1307      0.1658
 2___-21___         0.0085      0.0105      0.0142      0.0210      0.0368      0.0545      0.0769      0.1125      0.1426
 2___-22___         0.0074      0.0091      0.0123      0.0182      0.0319      0.0472      0.0666      0.0975      0.1236
 2___-23___         0.0064      0.0080      0.0107      0.0159      0.0278      0.0412      0.0581      0.0850      0.1079
 2___-24___       5.64E-03    6.98E-03    9.40E-03    1.39E-02    2.44E-02    3.61E-02    5.10E-02    7.46E-02    9.47E-02
 2___-25___       4.98E-03    6.16E-03    8.29E-03    1.23E-02    2.15E-02    3.19E-02    4.50E-02    6.59E-02    8.36E-02
 2___-26___       4.42E-03    5.47E-03    7.36E-03    1.09E-02    1.91E-02    2.83E-02    4.00E-02    5.84E-02    7.41E-02
 2___-27___       3.94E-03    4.87E-03    6.56E-03    9.71E-03    1.70E-02    2.52E-02    3.56E-02    5.21E-02    6.61E-02
 2___-28___       3.53E-03    4.36E-03    5.87E-03    8.69E-03    1.52E-02    2.26E-02    3.19E-02    4.66E-02    5.91E-02
 2___-29___       3.17E-03    3.92E-03    5.27E-03    7.81E-03    1.37E-02    2.03E-02    2.86E-02    4.19E-02    5.32E-02
 2___-30___       2.86E-03    3.54E-03    4.76E-03    7.04E-03    1.23E-02    1.83E-02    2.58E-02    3.78E-02    4.80E-02

 3___-    I        19.4871     48.7178     98.6514    183.2496    361.8930    517.9328   1035.8656   2589.6640   5179.3280
 3___- 4___        91.3017     91.3017    197.5528    413.4784   1039.6000   1413.6944   1413.6944   1413.6944   1413.6944
 3___- 5___       390.5494    390.5494    420.5076    468.9288    552.4500    594.5291    594.5291    594.5291    594.5291
 3___- 6___        22.7974     22.7974     38.3302     65.2696    120.9190    148.0330    148.0330    148.0330    148.0330
 3___- 7___        11.6169     11.6169     19.4724     33.0355     60.7230     74.1248     74.1248     74.1248     74.1248
 3___- 8___         6.8328      6.8328     11.4367     19.3654     35.4397     43.1860     43.1860     43.1860     43.1860
 3___- 9___         4.4063      4.4063      7.3704     12.4688     22.7738     27.7387     27.7387     27.7387     27.7387
 3___-10___         3.0254      3.0254      5.0585      8.5522     15.5940     18.9793     18.9793     18.9793     18.9793
 3___-11___         2.1761      2.1761      3.6376      6.1473     11.1965     13.6219     13.6219     13.6219     13.6219
 3___-12___         1.6228      1.6228      2.7123      4.5823      8.3402     10.1438     10.1438     10.1438     10.1438
 3___-13___         1.2446      1.2446      2.0800      3.5136      6.3929      7.7761      7.7761      7.7761      7.7761
 3___-14___         0.9770      0.9770      1.6326      2.7571      5.0139      6.0973      6.0973      6.0973      6.0973
 3___-15___         0.7817      0.7817      1.3062      2.2056      4.0087      4.8729      4.8729      4.8729      4.8729
 3___-16___         0.2022      0.3013      0.4520      0.6917      1.1593      1.6194      2.1537      2.9427      3.5809
 3___-17___         0.1656      0.2465      0.3696      0.5657      0.9485      1.3252      1.7630      2.4095      2.9327
 3___-18___         0.1376      0.2047      0.3068      0.4695      0.7875      1.1006      1.4645      2.0021      2.4372
 3___-19___         0.1156      0.1718      0.2575      0.3941      0.6611      0.9241      1.2299      1.6817      2.0474
 3___-20___         0.0981      0.1457      0.2183      0.3341      0.5607      0.7839      1.0435      1.4270      1.7376
 3___-21___         0.0839      0.1246      0.1867      0.2858      0.4797      0.6708      0.8930      1.2214      1.4874
 3___-22___         0.0724      0.1075      0.1610      0.2465      0.4137      0.5786      0.7704      1.0539      1.2835
 3___-23___         0.0629      0.0934      0.1399      0.2141      0.3594      0.5028      0.6695      0.9160      1.1155
 3___-24___         0.0551      0.0817      0.1223      0.1872      0.3143      0.4397      0.5856      0.8013      0.9759
 3___-25___         0.0484      0.0719      0.1076      0.1647      0.2765      0.3869      0.5153      0.7051      0.8589
 3___-26___         0.0429      0.0636      0.0952      0.1457      0.2446      0.3423      0.4559      0.6239      0.7600
 3___-27___         0.0381      0.0565      0.0846      0.1295      0.2175      0.3043      0.4053      0.5548      0.6758
 3___-28___         0.0340      0.0505      0.0755      0.1156      0.1942      0.2718      0.3620      0.4955      0.6037
 3___-29___         0.0305      0.0453      0.0678      0.1037      0.1742      0.2438      0.3248      0.4445      0.5415
 3___-30___         0.0275      0.0408      0.0610      0.0934      0.1568      0.2195      0.2924      0.4003      0.4877

 4___-    I       110.9426    277.3564    514.8608    883.5934   1540.7682   1862.4292   3724.8584   9312.1460  18624.2920
 4___- 5___      6289.5600   6289.5600   8118.1800  10941.2400  15106.5000  17170.2742  17170.2742  17170.2742  17170.2742
 4___- 6___      2000.4320   2000.4320   2177.3960   2454.7280   2886.5000   3100.7585   3100.7585   3100.7585   3100.7585
 4___- 7___       112.4192    112.4192    199.8834    348.9472    641.7850    778.4236    778.4236    778.4236    778.4236
 4___- 8___        57.7595     57.7595    101.8061    176.4988    321.2425    388.3617    388.3617    388.3617    388.3617
 4___- 9___        34.2872     34.2872     60.1626    103.9148    188.0090    226.8178    226.8178    226.8178    226.8178
 4___-10___        22.2946     22.2946     39.0168     67.2424    121.2280    146.0846    146.0846    146.0846    146.0846
 4___-11___        15.4334     15.4334     26.9628     46.4004     83.4540    100.4881    100.4881    100.4881    100.4881
 4___-12___        11.1913     11.1913     19.5281     33.5698     60.2605     72.5032     72.5032     72.5032     72.5032
 4___-13___         8.4093      8.4093     14.6624     25.1894     45.1718     54.3309     54.3309     54.3309     54.3309
 4___-14___         6.4916      6.4916     11.3107     19.4200     34.7957     41.8459     41.8459     41.8459     41.8459
 4___-15___         5.1303      5.1303      8.9349     15.3347     27.4557     33.0070     33.0070     33.0070     33.0070
 4___-16___         1.2355      2.0559      3.1484      4.7120      7.4731      9.9990     12.8036     16.8002     19.9610
 4___-17___         0.9970      1.6574      2.5381      3.8002      6.0315      8.0743     10.3436     13.5786     16.1377
