 
******************************************************************************
 
       Photoionization cross-sections for N III
 
>> Data is from the Opacity project
>>   Verner high energy tail included for gnd level
>>   Smoothed with a gausian of width 3000 km/sec
 
          Types of cross sections included:
         -----------------------------------

           1 - Seaton formula fit [sigma_o,alpha,beta]                  

          20 - Opacity Project: smoothed [number of data pairs]         
 
******************************************************************************
 
 7-Jun-1999                             !Date
102                                     !Number of energy levels
1                                       !Number of photoionization routes
3.0                                     !Screened nuclear charge
2s2s1Se/2s2_1Se                         !Final state in ion
0.0                                     !Excitation energy of final state
1.0                                     !Statistical weight of ion
3000.0                                  !Sigma used for Gaussian smoothing (km/s)
Megabarns                               !Cross-section unit
False                                   !Split J levels
12820                                   !Total number of data pairs
 
2s2_2p_2Po                              !Configuration name
20                                      !Type of cross-section
270                                     !Number of cross-section points
 1.000D+00 1.658D+00
 1.005D+00 1.684D+00
 1.015D+00 1.823D+00
 1.025D+00 1.955D+00
 1.035D+00 2.110D+00
 1.041D+00 2.290D+00
 1.051D+00 3.076D+00
 1.056D+00 3.518D+00
 1.062D+00 3.678D+00
 1.067D+00 3.459D+00
 1.078D+00 2.470D+00
 1.083D+00 2.142D+00
 1.088D+00 1.996D+00
 1.094D+00 1.994D+00
 1.099D+00 2.086D+00
 1.110D+00 2.542D+00
 1.116D+00 2.805D+00
 1.121D+00 2.964D+00
 1.127D+00 2.975D+00
 1.133D+00 2.940D+00
 1.138D+00 2.967D+00
 1.144D+00 3.062D+00
 1.150D+00 3.153D+00
 1.155D+00 3.173D+00
 1.161D+00 3.099D+00
 1.173D+00 2.823D+00
 1.184D+00 2.603D+00
 1.196D+00 2.471D+00
 1.202D+00 2.441D+00
 1.208D+00 2.442D+00
 1.214D+00 2.460D+00
 1.220D+00 2.472D+00
 1.226D+00 2.455D+00
 1.239D+00 2.344D+00
 1.245D+00 2.290D+00
 1.251D+00 2.255D+00
 1.257D+00 2.239D+00
 1.264D+00 2.235D+00
 1.270D+00 2.242D+00
 1.276D+00 2.258D+00
 1.289D+00 2.313D+00
 1.295D+00 2.334D+00
 1.302D+00 2.335D+00
 1.308D+00 2.314D+00
 1.335D+00 2.123D+00
 1.341D+00 2.081D+00
 1.355D+00 2.037D+00
 1.368D+00 1.978D+00
 1.375D+00 1.955D+00
 1.389D+00 1.941D+00
 1.396D+00 1.925D+00
 1.403D+00 1.900D+00
 1.410D+00 1.876D+00
 1.417D+00 1.862D+00
 1.431D+00 1.849D+00
 1.438D+00 1.843D+00
 1.445D+00 1.833D+00
 1.467D+00 1.774D+00
 1.489D+00 1.722D+00
 1.542D+00 1.655D+00
 1.550D+00 1.646D+00
 1.558D+00 1.636D+00
 1.565D+00 1.627D+00
 1.573D+00 1.618D+00
 1.581D+00 1.609D+00
 1.597D+00 1.590D+00
 1.605D+00 1.581D+00
 1.613D+00 1.571D+00
 1.621D+00 1.562D+00
 1.629D+00 1.552D+00
 1.637D+00 1.542D+00
 1.645D+00 1.533D+00
 1.653D+00 1.523D+00
 1.662D+00 1.513D+00
 1.670D+00 1.503D+00
 1.687D+00 1.484D+00
 1.695D+00 1.474D+00
 1.704D+00 1.464D+00
 1.721D+00 1.444D+00
 1.738D+00 1.423D+00
 1.746D+00 1.413D+00
 1.773D+00 1.382D+00
 1.782D+00 1.371D+00
 1.791D+00 1.361D+00
 1.808D+00 1.340D+00
 1.817D+00 1.329D+00
