 
******************************************************************************
 
       Energy levels and statistical weights for O I
 
>> Data is from the Opacity Project
>>   Maximum energy included = Ionization energy =>   110063.
>>   Created by user heather
>> Data is from NIST
>>   Maximum energy included = Ionization energy =>   109837.
>>   Created by user heather
>>   Packed according to J states by pack.f
>> Data from the Opacity Project rewritten with NIST energies
>>   48 energies from NIST included
>>   Energies from NIST: denoted by positive position number
>>   21 energies from the Opacity Project scaled by  0.9936: denoted by negative position number
>>   Oscillator strengths scaled to conserve (g*f)/(h*nu)
 
  Config           Statistical   Energy   Ionization  Frequency  Wavelength
                     Weight      (cm^-1)  Energy(eV)  (Hz 10^15) (Angstroms)
******************************************************************************
 
 6-Oct-1999                             !Date
69                                      !Number of energy levels
109759.05                               !Ionization energy
1.0                                     !Screened nuclear charge
418                                     !Number of transitions
 
2s2_2p4_3Pe            9.          0.000   13.608       3.2905      911.1    1
2s2_2p4_1De            5.      15789.887   11.650       2.8171     1064.2    2
2s2_2p4_1Se            1.      33714.608    9.428       2.2798     1315.0    3
2s2_2p3(4So)3s_5So     5.      73690.225    4.472       1.0813     2772.5    4
2s2_2p3(4So)3s_3So     3.      76717.003    4.097       0.9906     3026.4    5
2s2_2p3(4So)3p_5Pe    15.      86551.115    2.877       0.6958     4308.9    6
2s2_2p3(4So)3p_3Pe     9.      88553.002    2.629       0.6357     4715.6    7
2s2_2p3(4So)4s_5So     5.      95398.753    1.780       0.4305     6963.6    8
2s2_2p3(4So)4s_3So     3.      96147.074    1.688       0.4081     7346.5    9
2s2_2p3(4So)3d_5Do    25.      97342.773    1.539       0.3722     8053.9   10
2s2_2p3(4So)3d_3Do    15.      97410.501    1.531       0.3702     8098.1   11
2s2_2p3(4So)4p_5Pe    15.      99016.090    1.332       0.3221     9308.4   12
2s2_2p3(4So)4p_3Pe     9.      99603.076    1.259       0.3045     9846.4   13
2s2_2p3(2Do)3s_3Do    15.     101065.475    1.078       0.2606    11502.7   14
2s2_2p3(4So)5s_5So     5.     102038.723    0.957       0.2314    12952.8   15
2s2_2p3(4So)5s_3So     3.     102334.020    0.921       0.2226    13468.0   16
2s2_2p3(2Do)3s_1Do     5.     102584.051    0.890       0.2151    13937.3   17
2s2_2p3(4So)4d_5Do    25.     102787.588    0.864       0.2090    14344.2   18
2s2_2p3(4So)4d_3Do    15.     102830.445    0.859       0.2077    14432.9   19
2s2_2p3(4So)4f_5Fe    35.     102890.274    0.852       0.2059    14558.6   20
2s2_2p3(4So)4f_3Fe    21.     102890.368    0.852       0.2059    14558.8   21
2s2_2p3(4So)5p_5Pe    15.     103548.298    0.770       0.1862    16101.1   22
2s2_2p3(4So)5p_3Pe     9.     103792.045    0.740       0.1789    16758.8   23
2s2_2p3(4So)6s_5So     5.     104941.332    0.597       0.1444    20756.7   24
2s2_2p3(4So)6s_3So     3.     105087.257    0.579       0.1401    21405.1   25
2s2_2p3(4So)5d_5Do    25.     105307.410    0.552       0.1335    22463.6   26
2s2_2p3(4So)5d_3Do    15.     105331.033    0.549       0.1327    22583.5   27
2s2_2p3(4So)5f_5Fe    35.     105363.670    0.545       0.1318    22751.2   28
2s2_2p3(4So)5f_3Fe    21.     105363.749    0.545       0.1318    22751.6   29
2s2_2p3(4So)6p_5Pe    15.     105710.709    0.502       0.1214    24701.5   30
2s2_2p3(4So)6p_3Pe     9.     105834.056    0.487       0.1177    25477.7   31
2s2_2p3(4So)7s_5So     5.     106467.379    0.408       0.0987    30379.7   32
2s2_2p3(4So)7s_3So     3.     106549.959    0.398       0.0962    31161.5   33
2s2_2p3(4So)6d_5Do    25.     106673.487    0.383       0.0925    32409.0   34
2s2_2p3(4So)6d_3Do    15.     106687.828    0.381       0.0921    32560.3   35
2s2_2p3(4So)6f_5Fe    35.     106707.185    0.378       0.0915    32766.8   36
2s2_2p3(4So)6f_3Fe    21.     106707.226    0.378       0.0915    32767.3   37
2s2_2p3(4So)7p_5Pe    15.     106906.805    0.354       0.0855    35060.1  -38
2s2_2p3(4So)7p_3Pe     9.     106982.288    0.344       0.0832    36013.2  -39
2s2_2p3(4So)8s_5So     5.     107368.061    0.296       0.0717    41823.7   40
2s2_2p3(4So)8s_3So     3.     107419.249    0.290       0.0701    42738.7   41
2s2_2p3(4So)7d_5Do    25.     107495.512    0.281       0.0679    44178.6   42
2s2_2p3(4So)7d_3Do    15.     107504.802    0.279       0.0676    44360.7   43
2s2_2p3(4So)7f_5Fe    35.     107517.165    0.278       0.0672    44605.3   44
2s2_2p3(4So)7f_3Fe    21.     107517.172    0.278       0.0672    44605.5   45
2s2_2p3(4So)8p_5Pe    15.     107642.511    0.262       0.0635    47247.0  -46
2s2_2p3(4So)8p_3Pe     9.     107689.814    0.257       0.0620    48327.0  -47
2s2_2p3(4So)9s_5So     5.     107943.425    0.225       0.0544    55077.5   48
2s2_2p3(4So)9s_3So     3.     107978.025    0.221       0.0534    56147.4   49
2s2_2p3(4So)8d_5Do    25.     108028.104    0.215       0.0519    57771.9   50
2s2_2p3(4So)8f_3Fe    21.     108034.016    0.214       0.0517    57969.9  -51
2s2_2p3(4So)8f_5Fe    35.     108034.016    0.214       0.0517    57969.9  -52
2s2_2p3(4So)8d_3Do    15.     108036.025    0.214       0.0517    58037.5   53
2s2_2p3(4So)9p_5Pe    15.     108126.608    0.202       0.0489    61257.9  -54
2s2_2p3(4So)9p_3Pe     9.     108157.807    0.199       0.0480    62451.5  -55
2s2_2p3(4So)10s_5So    5.     108334.025    0.177       0.0427    70174.2   56
2s2_2p3(4So)10s_3So    3.     108358.325    0.174       0.0420    71391.6   57
2s2_2p3(4So)9d_5Do    25.     108392.255    0.169       0.0410    73163.9   58
2s2_2p3(4So)9f_3Fe    21.     108395.327    0.169       0.0409    73328.7  -59
2s2_2p3(4So)9f_5Fe    35.     108395.327    0.169       0.0409    73328.7  -60
2s2_2p3(4So)9d_3Do    15.     108398.725    0.169       0.0408    73511.8   61
2s2_2p3(4So)10p_5Pe   15.     108460.745    0.161       0.0389    77023.5  -62
2s2_2p3(4So)10p_3Pe    9.     108482.887    0.158       0.0383    78359.9  -63
2s2_2p3(4So)11s_5So    5.     108607.685    0.143       0.0345    86853.4  -64
2s2_2p3(4So)11s_3So    3.     108627.525    0.140       0.0339    88376.3   65
2s2_2p3(4So)10d_5Do   25.     108653.555    0.137       0.0331    90457.2   66
2s2_2p3(4So)10f_5Fe   35.     108654.988    0.137       0.0331    90574.6  -67
2s2_2p3(4So)10f_3Fe   21.     108654.988    0.137       0.0331    90574.6  -68
2s2_2p3(4So)10d_3Do   15.     108658.125    0.136       0.0330    90832.7   69
 

*************************************************************************************
 
  Oscillator strengths for O I
 
  Listed according to increasing lower level, i
 
*************************************************************************************
 
   Transition                                f(abs)         A           Lam(A)     i-j          #
 
2s2_2p4_3Pe-2s2_2p3(4So)3s_3So             5.0381D-02   5.9336D+08    1303.492     1-   5       1
2s2_2p4_3Pe-2s2_2p3(4So)4s_3So             9.0423D-03   1.6727D+08    1040.073     1-   9       2
2s2_2p4_3Pe-2s2_2p3(4So)3d_3Do             1.8807D-02   7.1422D+07    1026.583     1-  11       3
2s2_2p4_3Pe-2s2_2p3(2Do)3s_3Do             5.3528D-02   2.1882D+08     989.458     1-  14       4
2s2_2p4_3Pe-2s2_2p3(4So)5s_3So             3.2657D-03   6.8436D+07     977.192     1-  16       5
2s2_2p4_3Pe-2s2_2p3(4So)4d_3Do             1.5390D-02   6.5129D+07     972.475     1-  19       6
2s2_2p4_3Pe-2s2_2p3(4So)6s_3So             1.5616D-03   3.4510D+07     951.590     1-  25       7
2s2_2p4_3Pe-2s2_2p3(4So)5d_3Do             6.2470D-03   2.7738D+07     949.388     1-  27       8
2s2_2p4_3Pe-2s2_2p3(4So)7s_3So             8.6625D-04   1.9680D+07     938.527     1-  33       9
2s2_2p4_3Pe-2s2_2p3(4So)6d_3Do             3.6003D-03   1.6401D+07     937.314     1-  35      10
2s2_2p4_3Pe-2s2_2p3(4So)8s_3So             5.3176D-04   1.2279D+07     930.932     1-  41      11
2s2_2p4_3Pe-2s2_2p3(4So)7d_3Do             2.2711D-03   1.0505D+07     930.191     1-  43      12
2s2_2p4_3Pe-2s2_2p3(4So)9s_3So             3.5010D-04   8.1682D+06     926.114     1-  49      13
2s2_2p4_3Pe-2s2_2p3(4So)8d_3Do             1.5289D-03   7.1420D+06     925.617     1-  53      14
2s2_2p4_3Pe-2s2_2p3(4So)10s_3So            2.4264D-04   5.7010D+06     922.864     1-  57      15
2s2_2p4_3Pe-2s2_2p3(4So)9d_3Do             1.0748D-03   5.0543D+06     922.520     1-  61      16
2s2_2p4_3Pe-2s2_2p3(4So)11s_3So            1.7506D-04   4.1338D+06     920.577     1-  65      17
2s2_2p4_3Pe-2s2_2p3(4So)10d_3Do            7.8446D-04   3.7068D+06     920.318     1-  69      18
2s2_2p4_1De-2s2_2p3(2Do)3s_1Do             1.0706D-01   5.3796D+08    1152.151     2-  17      19
2s2_2p3(4So)3s_5So-2s2_2p3(4So)3p_5Pe      1.0111D+00   3.7185D+07    7775.512     4-   6      20
2s2_2p3(4So)3s_5So-2s2_2p3(4So)4p_5Pe      3.2283D-03   4.6040D+05    3948.532     4-  12      21
2s2_2p3(4So)3s_5So-2s2_2p3(4So)5p_5Pe      7.3243D-05   1.4518D+04    3349.178     4-  22      22
2s2_2p3(4So)3s_5So-2s2_2p3(4So)6p_5Pe      1.7604D-07   4.0133D+01    3123.001     4-  30      23
2s2_2p3(4So)3s_5So-2s2_2p3(4So)7p_5Pe      6.9831D-06   1.7131D+03    3010.545     4-  38      24
2s2_2p3(4So)3s_5So-2s2_2p3(4So)8p_5Pe      9.8054D-06   2.5132D+03    2945.310     4-  46      25
2s2_2p3(4So)3s_5So-2s2_2p3(4So)9p_5Pe      9.5575D-06   2.5200D+03    2903.905     4-  54      26
2s2_2p3(4So)3s_5So-2s2_2p3(4So)10p_5Pe     8.3487D-06   2.2442D+03    2876.000     4-  62      27
2s2_2p3(4So)3s_3So-2s2_2p3(4So)3p_3Pe      1.0903D+00   3.3962D+07    8448.801     5-   7      28
2s2_2p3(4So)3s_3So-2s2_2p3(4So)4p_3Pe      7.9047D-03   9.2057D+05    4369.470     5-  13      29
2s2_2p3(4So)3s_3So-2s2_2p3(4So)5p_3Pe      5.5890D-04   9.1095D+04    3693.438     5-  23      30
2s2_2p3(4So)3s_3So-2s2_2p3(4So)6p_3Pe      6.2677D-05   1.1815D+04    3434.414     5-  31      31
2s2_2p3(4So)3s_3So-2s2_2p3(4So)7p_3Pe      6.0582D-06   1.2338D+03    3304.116     5-  39      32
2s2_2p3(4So)3s_3So-2s2_2p3(4So)8p_3Pe      5.3370D-08   1.1384D+01    3228.638     5-  47      33
2s2_2p3(4So)3s_3So-2s2_2p3(4So)9p_3Pe      5.6090D-07   1.2328D+02    3180.580     5-  55      34
2s2_2p3(4So)3s_3So-2s2_2p3(4So)10p_3Pe     1.4020D-06   3.1456D+02    3148.031     5-  63      35
2s2_2p3(4So)3p_5Pe-2s2_2p3(4So)4s_5So      1.6700D-01   2.6160D+07   11302.452     6-   8      36
2s2_2p3(4So)3p_5Pe-2s2_2p3(4So)3d_5Do      9.5028D-01   4.4292D+07    9266.417     6-  10      37
2s2_2p3(4So)3p_5Pe-2s2_2p3(4So)5s_5So      1.7136D-02   8.2253D+06    6456.775     6-  15      38
2s2_2p3(4So)3p_5Pe-2s2_2p3(4So)4d_5Do      7.4163D-02   7.8248D+06    6158.973     6-  18      39
2s2_2p3(4So)3p_5Pe-2s2_2p3(4So)6s_5So      5.6917D-03   3.8520D+06    5437.674     6-  24      40
2s2_2p3(4So)3p_5Pe-2s2_2p3(4So)5d_5Do      1.9292D-02   2.7163D+06    5331.543     6-  26      41
2s2_2p3(4So)3p_5Pe-2s2_2p3(4So)7s_5So      2.6809D-03   2.1279D+06    5021.022     6-  32      42
2s2_2p3(4So)3p_5Pe-2s2_2p3(4So)6d_5Do      7.8740D-03   1.2760D+06    4969.593     6-  34      43
2s2_2p3(4So)3p_5Pe-2s2_2p3(4So)8s_5So      1.5061D-03   1.3061D+06    4803.779     6-  40      44
2s2_2p3(4So)3p_5Pe-2s2_2p3(4So)7d_5Do      4.0098D-03   7.0397D+05    4774.547     6-  42      45
2s2_2p3(4So)3p_5Pe-2s2_2p3(4So)9s_5So      9.3594D-04   8.5711D+05    4674.577     6-  48      46
2s2_2p3(4So)3p_5Pe-2s2_2p3(4So)8d_5Do      2.3468D-03   4.3324D+05    4656.146     6-  50      47
2s2_2p3(4So)3p_5Pe-2s2_2p3(4So)10s_5So     6.2523D-04   5.9367D+05    4590.755     6-  56      48
2s2_2p3(4So)3p_5Pe-2s2_2p3(4So)9d_5Do      1.5054D-03   2.8741D+05    4578.516     6-  58      49
2s2_2p3(4So)3p_5Pe-2s2_2p3(4So)11s_5So     4.3996D-04   4.2832D+05    4533.796     6-  64      50
2s2_2p3(4So)3p_5Pe-2s2_2p3(4So)10d_5Do     1.0239D-03   2.0018D+05    4524.387     6-  66      51
2s2_2p3(4So)3p_3Pe-2s2_2p3(4So)4s_3So      1.8775D-01   2.1667D+07   13168.166     7-   9      52
2s2_2p3(4So)3p_3Pe-2s2_2p3(4So)3d_3Do      9.9235D-01   3.1159D+07   11289.869     7-  11      53
2s2_2p3(4So)3p_3Pe-2s2_2p3(2Do)3s_3Do      1.0383D-03   6.5059D+04    7992.025     7-  14      54
2s2_2p3(4So)3p_3Pe-2s2_2p3(4So)5s_3So      1.7598D-02   6.6879D+06    7256.358     7-  16      55
2s2_2p3(4So)3p_3Pe-2s2_2p3(4So)4d_3Do      4.0890D-02   3.3359D+06    7004.055     7-  19      56
2s2_2p3(4So)3p_3Pe-2s2_2p3(4So)6s_3So      5.7262D-03   3.1326D+06    6048.050     7-  25      57
2s2_2p3(4So)3p_3Pe-2s2_2p3(4So)5d_3Do      8.1208D-03   9.1491D+05    5960.175     7-  27      58
2s2_2p3(4So)3p_3Pe-2s2_2p3(4So)7s_3So      2.6741D-03   1.7332D+06    5556.495     7-  33      59
