
******************************************************************************

       Photoionization cross-sections for S V

>> Verner high energy tail included for gnd level
>> Opacity project data smoothed by phot_smooth.f
>>   Smoothed with a gausian of width 3000 km/sec

          Types of cross sections included:
         -----------------------------------

          20 - Opacity Project: smoothed [number of data pairs]         

          21 - Opacity Project: scaled, smoothed [number of data pairs] 

******************************************************************************

24-May-1996                             !Date
42                                     !Number of energy levels
1                                       !Number of photoionization routes
5.0                                     !Screened nuclear charge
3s2Se                                   !Final state in ion
0.0                                     !Excitation energy of final state
1.0                                     !Statistical weight of ion
3000.0                                  !Sigma used for Gaussian smoothing (km/s)
Megabarns                               !Cross-section unit
False                                   !Split J levels
8962                                   !Total number of data pairs

3s21Se                                  !Configuration name
20                                      !Type of cross-section
119                                     !Number of cross-section points
1.0000D+00 4.539D-01
1.0100D+00 4.311D-01
1.0151D+00 4.216D-01
1.0201D+00 4.193D-01
1.0252D+00 4.236D-01
1.0303D+00 4.321D-01
1.0355D+00 4.401D-01
1.0406D+00 4.424D-01
1.0458D+00 4.371D-01
1.0563D+00 4.146D-01
1.0616D+00 4.086D-01
1.0669D+00 4.092D-01
1.0722D+00 4.137D-01
1.0776D+00 4.168D-01
1.0829D+00 4.157D-01
1.0883D+00 4.119D-01
1.0938D+00 4.088D-01
1.0992D+00 4.072D-01
1.1047D+00 4.064D-01
1.1158D+00 4.037D-01
1.1269D+00 4.013D-01
1.1326D+00 3.997D-01
1.1496D+00 3.903D-01
1.1669D+00 3.831D-01
1.1786D+00 3.806D-01
1.1844D+00 3.801D-01
1.1904D+00 3.801D-01
1.1963D+00 3.800D-01
1.2023D+00 3.784D-01
1.2143D+00 3.681D-01
1.2204D+00 3.625D-01
1.2265D+00 3.591D-01
1.2326D+00 3.580D-01
1.2387D+00 3.575D-01
1.2449D+00 3.566D-01
1.2574D+00 3.530D-01
1.2637D+00 3.513D-01
1.2699D+00 3.503D-01
1.2827D+00 3.493D-01
1.2891D+00 3.482D-01
1.3020D+00 3.439D-01
1.3348D+00 3.353D-01
1.3549D+00 3.301D-01
1.3684D+00 3.234D-01
1.4029D+00 3.098D-01
1.4099D+00 3.078D-01
1.4169D+00 3.066D-01
1.4240D+00 3.061D-01
1.4311D+00 3.058D-01
1.4383D+00 3.053D-01
1.4599D+00 3.001D-01
1.4745D+00 2.964D-01
1.4967D+00 2.862D-01
1.5117D+00 2.794D-01
1.5268D+00 2.763D-01
1.5421D+00 2.733D-01
1.5575D+00 2.705D-01
1.5653D+00 2.698D-01
1.5731D+00 2.695D-01
1.5810D+00 2.691D-01
1.5889D+00 2.688D-01
1.5968D+00 2.688D-01
1.6048D+00 2.693D-01
1.6128D+00 2.698D-01
1.6208D+00 2.693D-01
1.6370D+00 2.649D-01
1.6452D+00 2.626D-01
1.6534D+00 2.611D-01
1.6617D+00 2.603D-01
1.6700D+00 2.593D-01
1.6951D+00 2.540D-01
1.7292D+00 2.479D-01
1.7728D+00 2.392D-01
1.8540D+00 2.231D-01
1.9198D+00 2.109D-01
1.9390D+00 2.074D-01
1.9486D+00 2.056D-01
1.9681D+00 2.020D-01
1.9780D+00 2.002D-01
2.0584D+00 1.866D-01
2.1527D+00 1.776D-01
2.1960D+00 1.737D-01
2.2179D+00 1.718D-01
2.3428D+00 1.581D-01
2.8166D+00 1.165D-01
3.3864D+00 8.532D-02
4.0713D+00 6.230D-02
4.8948D+00 4.504D-02
5.8848D+00 3.226D-02
7.0752D+00 2.289D-02
8.5062D+00 1.609D-02
1.0227D+01 1.121D-02
1.2295D+01 7.733D-03
1.4782D+01 5.287D-03
1.7772D+01 3.580D-03
2.1367D+01 2.402D-03
2.5688D+01 1.596D-03
3.0885D+01 1.051D-03
3.7131D+01 6.850D-04
4.4642D+01 4.423D-04
5.3671D+01 2.829D-04
6.4528D+01 1.793D-04
7.7578D+01 1.125D-04
9.3271D+01 7.000D-05
