
********************************************************************************

                 Energy Levels and statistical weights for SVI       

>> Data is from the Opacity Project
>>   Maximum energy included = Ionization energy =>   705986.
>>   Put into John`s format by create.f
>> Data is from NIST
>>   Maximum energy included = Ionization energy =>   710194.
>>   Put into John`s format by create.f
>>   Packed according to J states by pack.f
>> Data from the Opacity Project rewritten with NIST energies
>>   27 energies from NIST included
>>   4 energies from the Opacity Project scaled by  0.9932

********************************************************************************

08-Jul-1999                                      !Date
35                                               !Number of energy levels
710194.7000                                      !Ionization energy
6.0                                              !Screened nuclear charge
246                                              !Number of transitions

3s2Se[1/2]       2.0          0.00000000    21.291101     1.40806E+02       1
3p2Po[1/2]       2.0     105873.60200000    18.117091     1.65475E+02       2
3p2Po[3/2]       4.0     107137.70300000    18.079194     1.65822E+02       3
3d2De[3/2]       4.0     247422.50000000    13.873562     2.16089E+02       4
3d2De[5/2]       6.0     247455.00000000    13.872587     2.16104E+02       5
4s2Se[1/2]       2.0     362988.81300000    10.408971     2.88014E+02       6
4p2Po[1/2]       2.0     401169.18800000     9.264352     3.23598E+02       7
4p2Po[3/2]       4.0     401627.09400000     9.250624     3.24078E+02       8
4d2De[3/2]       4.0     451796.81300000     7.746574     3.87000E+02       9
4d2De[5/2]       6.0     451813.81300000     7.746064     3.87026E+02      10
4f2Fo           14.0     462650.09400000     7.421201     4.03968E+02      11
5s2Se            2.0     504102.40000000     6.178492     4.85219E+02      12
5p2Po            6.0     522139.30000000     5.637759     5.31758E+02      13
5d2De           10.0     546053.10000000     4.920841     6.09230E+02      14
5f2Fo           14.0     551759.60000000     4.749765     6.31173E+02      15
6s2Se            2.0     573737.70000000     4.090878     7.32832E+02      16
6p2Po            6.0     583612.70000000     3.794833     7.90002E+02      17
6d2De           10.0     596857.15000000     3.397774     8.82320E+02      18
6f2Fo           14.0     600189.40000000     3.297876     9.09047E+02      19
7s2Se            2.0     613198.80000000     2.907864     1.03097E+03      20
7p2Po            6.0     619180.65000000     2.728533     1.09873E+03      21
7d2De           10.0     627287.00000000     2.485510     1.20616E+03      22
7f2Fo           14.0     629390.30000000     2.422455     1.23756E+03      23
8s2Se            2.0     637709.00000000     2.173067     1.37958E+03      24
8p2Po            6.0     641605.50000000     2.056252     1.45796E+03      25
8d2De           10.0     646931.00000000     1.896598     1.58069E+03      26
8f2Fo           14.0     648343.20000000     1.854261     1.61678E+03      27
9s2Se            2.0     654333.91300000     1.674664     1.79016E+03      28
9p2Po            2.0     656658.00000000     1.604990     1.86788E+03      29
9d2De           10.0     660341.00000000     1.494576     2.00587E+03      30
9f2Fo           14.0     661327.00000000     1.465017     2.04634E+03      31
10s2Se           2.0     665724.41700000     1.333186     2.24869E+03      32
10p2Po           6.0     667647.25700000     1.275540     2.35032E+03      33
10d2De          10.0     670284.99200000     1.196463     2.50566E+03      34
10f2Fo          14.0     670626.00000000     1.186240     2.52725E+03      35


********************************************************************************

                        Oscillator strengths for SVI       
             Wavelengths in air for lambda > 2000 Ang, else vacuum

********************************************************************************

  Transition                  f           A          Lam(A)      i-j    Trans. #

